"Iteration #"	"Inertia"	"Number of features"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	20	241128.33704364	241128.33704364	20	20	20
1	1	20	241128.33704364	241128.33704364	20	20	20
1	1	20	241128.33704364	241128.33704364	20	20	20
1	1	20	241128.33704364	241128.33704364	20	20	20
1	1	20	241128.33704364	241128.33704364	20	20	20
1	1	20	241128.33704364	241128.33704364	20	20	20
1	1	20	241128.33704364	241128.33704364	20	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
1	1	20	241128.33704364	241128.33704364	6	20	20
2	1	20	241128.33704364	137536.540726973	11	20	11
2	1	20	241128.33704364	137536.540726973	11	20	11
2	1	20	241128.33704364	137536.540726973	11	20	11
2	1	20	241128.33704364	137536.540726973	11	20	11
2	1	20	241128.33704364	137536.540726973	11	20	11
2	1	20	241128.33704364	137536.540726973	11	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
2	1	20	241128.33704364	137536.540726973	15	20	11
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	12	20	12
3	1	20	241128.33704364	182059.301588524	15	20	12
3	1	20	241128.33704364	182059.301588524	15	20	12
3	1	20	241128.33704364	182059.301588524	15	20	12
3	1	20	241128.33704364	182059.301588524	15	20	12
4	1	20	241128.33704364	173153.648770688	11	20	11
4	1	20	241128.33704364	173153.648770688	11	20	11
4	1	20	241128.33704364	173153.648770688	11	20	11
4	1	20	241128.33704364	173153.648770688	11	20	11
4	1	20	241128.33704364	173153.648770688	11	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
4	1	20	241128.33704364	173153.648770688	19	20	11
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	16	20	16
5	1	20	241128.33704364	193431.981820534	15	20	16
5	1	20	241128.33704364	193431.981820534	15	20	16
5	1	20	241128.33704364	193431.981820534	15	20	16
5	1	20	241128.33704364	193431.981820534	15	20	16
5	1	20	241128.33704364	193431.981820534	15	20	16
5	1	20	241128.33704364	193431.981820534	15	20	16
5	1	20	241128.33704364	193431.981820534	15	20	16
5	1	20	241128.33704364	193431.981820534	15	20	16
5	1	20	241128.33704364	193431.981820534	15	20	16
5	1	20	241128.33704364	193431.981820534	15	20	16
6	1	20	241128.33704364	196903.707822244	17	20	20
6	1	20	241128.33704364	196903.707822244	17	20	20
6	1	20	241128.33704364	196903.707822244	17	20	20
6	1	20	241128.33704364	196903.707822244	17	20	20
