"V2","V5","V7","V9","V10","V11","V15","V17","V21","V23","V25","V26","V27","V28","V29","V30","V31","V33","V34","V37","V40","V41","V42","V45"
67,78,63,60,63,62,73,61,73,76,79,70,70,68,67,65,67,75,63,56,74,77,76,68
75,71,58,64,71,68,71,58,72,73,72,66,60,63,66,70,64,70,64,62,69,66,64,52
83,67,74,72,64,68,73,57,65,73,69,63,57,63,53,67,60,74,69,64,68,54,65,42
72,65,61,78,73,69,65,66,61,71,65,64,60,73,69,70,69,72,61,68,71,72,65,60
62,61,63,68,70,65,65,68,70,73,75,76,67,74,69,66,71,61,54,66,72,73,71,42
68,67,72,72,70,71,67,69,65,69,67,64,59,67,65,73,70,69,63,70,77,71,77,59
80,76,68,76,69,66,71,61,72,75,66,58,62,69,66,55,40,71,67,58,59,45,53,55
68,58,57,78,59,53,50,50,59,77,49,53,44,76,74,64,66,63,52,67,77,74,66,56
77,69,66,55,67,67,71,54,47,76,71,63,44,22,25,21,18,79,57,40,19,16,68,65
69,74,67,73,67,65,68,57,63,71,69,40,38,55,59,67,67,78,65,65,74,73,64,45
65,71,63,70,44,51,49,52,51,65,48,58,43,64,62,71,70,73,71,73,62,59,59,55
65,75,61,65,62,62,70,52,63,72,50,39,36,51,51,41,43,70,56,46,49,43,43,43
71,80,67,77,66,68,74,62,73,78,77,60,59,61,61,53,46,75,67,65,62,60,61,56
64,46,54,78,61,68,28,58,55,78,32,40,43,66,78,49,49,39,31,75,60,56,41,22
62,65,31,66,53,54,50,25,55,78,47,27,34,56,78,68,68,68,60,68,68,71,31,18
57,50,57,44,44,24,69,61,63,72,71,42,44,67,74,29,19,77,65,41,27,12,41,49
67,61,62,74,68,68,75,68,70,75,70,67,63,66,67,69,66,77,64,69,75,66,71,63
62,68,71,76,62,52,65,70,52,59,55,72,65,68,70,69,66,66,61,72,74,68,73,52
67,48,67,78,71,61,50,72,73,67,50,39,33,54,50,57,50,41,38,77,61,48,63,36
65,58,79,71,59,50,64,73,50,65,62,63,70,66,55,59,52,60,59,63,57,52,71,65
71,74,69,73,65,63,74,64,69,81,60,39,39,72,72,58,64,71,56,61,57,63,41,40
73,61,52,46,70,59,75,33,49,66,58,30,14,54,41,54,41,66,77,26,58,47,40,19
77,79,59,68,57,54,66,36,60,71,63,43,38,64,49,53,42,73,62,52,55,43,41,26
66,74,61,65,59,58,67,52,71,59,72,54,45,66,64,61,60,74,58,59,75,74,70,61
69,67,61,67,62,71,77,54,63,69,72,51,39,57,50,64,63,70,59,55,66,67,67,54
74,75,57,68,70,62,70,56,64,72,66,60,57,68,62,59,38,66,71,59,70,50,45,35
66,75,64,66,66,69,65,52,65,69,63,51,50,54,43,41,49,74,67,52,65,69,69,56
79,78,65,71,64,54,69,64,53,64,67,60,57,58,51,65,68,75,66,62,71,67,71,60
61,65,66,67,60,62,70,67,69,78,80,76,76,69,73,65,73,63,53,65,73,73,67,61
63,72,70,72,71,67,71,69,73,77,66,62,59,62,58,61,65,75,63,67,68,70,74,60
73,73,75,77,61,60,77,71,64,76,80,72,69,61,59,71,68,79,68,67,68,66,74,57
66,72,71,71,60,67,72,66,77,80,69,70,65,66,65,62,66,76,59,63,70,75,74,65
55,74,25,27,69,64,70,38,62,75,58,42,37,64,54,20,15,73,66,36,24,35,18,22
70,70,54,67,68,70,59,62,45,55,61,46,49,55,52,66,72,65,62,70,67,70,56,52
71,82,63,71,66,64,59,57,68,79,65,63,63,70,67,68,70,77,60,67,71,75,72,60
57,68,76,62,66,67,70,69,74,71,71,69,65,58,63,54,63,74,73,65,71,71,71,60
72,72,69,73,71,71,71,74,71,78,67,62,60,59,59,69,66,75,57,69,69,64,58,54
