"V2","V5","V7","V9","V10","V11","V15","V17","V21","V23","V25","V26","V27","V28","V29","V30","V31","V33","V34","V37","V40","V41","V42","V45"
59,67,66,61,58,52,77,65,57,66,74,63,64,56,54,67,54,74,65,56,72,62,74,67
72,67,82,65,69,63,74,71,65,78,79,74,69,69,70,71,69,70,62,71,69,73,67,58
71,64,64,65,70,69,65,61,74,74,47,53,37,77,68,72,59,68,60,70,64,55,61,46
69,78,63,65,59,59,75,58,59,66,74,64,60,57,54,70,73,76,62,61,72,73,68,63
70,66,58,69,72,68,71,59,69,77,70,41,37,39,40,58,46,73,65,69,70,64,60,41
57,75,74,71,57,61,69,58,62,70,71,65,63,69,55,61,68,74,63,58,79,77,72,65
69,75,71,76,69,70,80,64,61,67,69,65,57,69,65,68,65,73,63,70,69,68,70,59
61,62,72,67,74,68,71,74,66,62,60,66,65,68,59,64,59,65,55,66,60,58,60,52
65,68,67,71,64,56,69,57,66,76,78,53,47,48,36,68,65,73,60,63,77,79,68,56
74,79,61,66,65,64,57,36,63,70,57,52,36,69,49,55,65,73,58,62,62,67,60,46
70,62,60,77,69,69,70,65,64,74,60,54,44,68,69,68,68,73,61,67,64,76,64,49
67,77,70,72,72,67,76,71,61,70,73,70,70,62,51,70,68,77,75,71,65,61,73,67
76,73,67,70,77,70,75,71,79,78,76,66,76,65,67,67,57,75,50,59,75,65,74,48
70,66,60,77,70,67,79,64,54,65,67,59,52,56,50,67,61,72,67,66,74,68,77,62
78,74,69,74,68,67,71,67,66,71,62,64,66,65,67,66,62,75,61,66,71,62,69,59
67,65,56,63,64,56,62,58,59,69,59,64,55,65,60,70,60,65,58,59,74,60,76,56
70,66,46,58,68,52,58,32,51,57,54,58,30,69,41,59,59,73,62,55,65,44,73,28
63,72,62,57,68,53,78,58,61,67,68,57,55,61,53,66,60,77,73,58,77,67,78,58
62,57,75,59,65,59,65,69,72,74,63,62,72,62,66,66,61,68,59,62,76,67,77,58
80,77,74,77,64,61,72,66,61,75,75,59,64,63,69,66,66,77,62,65,74,71,66,62
63,55,58,74,44,48,67,73,63,74,72,77,75,70,71,71,67,73,60,70,70,69,71,61
70,62,67,74,62,61,74,62,70,78,70,67,65,67,70,49,48,71,65,73,73,72,73,64
61,62,60,75,61,57,59,62,75,84,71,69,69,69,71,49,43,64,56,72,69,70,65,62
70,58,89,72,26,30,59,40,17,52,72,23,46,8,31,17,20,72,61,13,31,30,57,57
75,51,50,69,46,55,48,60,45,59,73,54,60,55,66,54,41,52,58,65,64,54,36,52
77,68,58,68,77,71,75,57,58,76,68,56,53,57,54,69,70,79,65,68,71,67,60,57
75,79,68,77,69,66,73,58,65,68,65,58,54,68,60,67,66,78,63,64,73,61,52,37
78,72,71,74,70,64,73,57,73,80,66,59,44,62,63,62,59,74,59,61,62,67,44,30
69,74,72,72,61,57,72,68,66,67,78,64,68,62,62,64,63,77,66,65,64,59,74,67
72,67,59,63,61,67,48,56,68,75,67,68,71,70,68,48,47,79,63,62,56,52,69,73
64,75,71,71,59,60,66,72,63,60,66,69,71,62,63,67,65,58,52,66,64,65,71,63
72,62,63,61,57,49,57,37,56,78,55,35,37,57,57,41,35,70,75,46,53,43,38,26
79,63,62,70,72,71,65,62,68,71,48,23,26,66,59,66,66,74,56,63,70,74,34,12
66,72,67,81,67,73,64,57,62,78,50,37,38,65,73,61,61,73,61,66,46,58,35,20
65,72,75,83,70,74,68,71,73,80,68,57,59,59,56,62,68,73,65,73,63,65,65,42
71,74,68,68,69,75,58,69,72,78,72,69,72,63,61,59,70,75,61,71,64,60,72,63
70,68,69,61,68,67,71,63,81,82,71,52,47,67,64,66,67,75,58,65,70,71,67,53
73,74,59,76,54,48,53,19,54,79,53,19,14,58,50,67,71,54,49,65,57,72,31,11
68,78,73,78,64,71,71,57,64,74,72,36,44,52,54,49,56,81,65,60,58,64,52,50
68,68,64,73,75,72,71,61,62,73,69,48,59,62,44,66,59,74,64,61,74,67,51,45
