"V2","V5","V7","V9","V11","V21","V23","V25","V27","V29","V31","V34","V37","V40","V41","V42","V45","Class"
59,67,66,61,52,57,66,74,64,54,54,65,56,72,62,74,67,"1"
72,67,82,65,63,65,78,79,69,70,69,62,71,69,73,67,58,"1"
71,64,64,65,69,74,74,47,37,68,59,60,70,64,55,61,46,"1"
69,78,63,65,59,59,66,74,60,54,73,62,61,72,73,68,63,"1"
70,66,58,69,68,69,77,70,37,40,46,65,69,70,64,60,41,"1"
57,75,74,71,61,62,70,71,63,55,68,63,58,79,77,72,65,"1"
69,75,71,76,70,61,67,69,57,65,65,63,70,69,68,70,59,"1"
61,62,72,67,68,66,62,60,65,59,59,55,66,60,58,60,52,"1"
65,68,67,71,56,66,76,78,47,36,65,60,63,77,79,68,56,"1"
74,79,61,66,64,63,70,57,36,49,65,58,62,62,67,60,46,"1"
70,62,60,77,69,64,74,60,44,69,68,61,67,64,76,64,49,"1"
67,77,70,72,67,61,70,73,70,51,68,75,71,65,61,73,67,"1"
76,73,67,70,70,79,78,76,76,67,57,50,59,75,65,74,48,"1"
70,66,60,77,67,54,65,67,52,50,61,67,66,74,68,77,62,"1"
78,74,69,74,67,66,71,62,66,67,62,61,66,71,62,69,59,"1"
67,65,56,63,56,59,69,59,55,60,60,58,59,74,60,76,56,"1"
70,66,46,58,52,51,57,54,30,41,59,62,55,65,44,73,28,"1"
63,72,62,57,53,61,67,68,55,53,60,73,58,77,67,78,58,"1"
62,57,75,59,59,72,74,63,72,66,61,59,62,76,67,77,58,"1"
80,77,74,77,61,61,75,75,64,69,66,62,65,74,71,66,62,"1"
63,55,58,74,48,63,74,72,75,71,67,60,70,70,69,71,61,"1"
70,62,67,74,61,70,78,70,65,70,48,65,73,73,72,73,64,"1"
61,62,60,75,57,75,84,71,69,71,43,56,72,69,70,65,62,"1"
70,58,89,72,30,17,52,72,46,31,20,61,13,31,30,57,57,"1"
75,51,50,69,55,45,59,73,60,66,41,58,65,64,54,36,52,"1"
77,68,58,68,71,58,76,68,53,54,70,65,68,71,67,60,57,"1"
75,79,68,77,66,65,68,65,54,60,66,63,64,73,61,52,37,"1"
78,72,71,74,64,73,80,66,44,63,59,59,61,62,67,44,30,"1"
69,74,72,72,57,66,67,78,68,62,63,66,65,64,59,74,67,"1"
72,67,59,63,67,68,75,67,71,68,47,63,62,56,52,69,73,"1"
64,75,71,71,60,63,60,66,71,63,65,52,66,64,65,71,63,"1"
72,62,63,61,49,56,78,55,37,57,35,75,46,53,43,38,26,"1"
79,63,62,70,71,68,71,48,26,59,66,56,63,70,74,34,12,"1"
66,72,67,81,73,62,78,50,38,73,61,61,66,46,58,35,20,"1"
65,72,75,83,74,73,80,68,59,56,68,65,73,63,65,65,42,"1"
71,74,68,68,75,72,78,72,72,61,70,61,71,64,60,72,63,"1"
70,68,69,61,67,81,82,71,47,64,67,58,65,70,71,67,53,"1"
73,74,59,76,48,54,79,53,14,50,71,49,65,57,72,31,11,"1"
68,78,73,78,71,64,74,72,44,54,56,65,60,58,64,52,50,"1"
68,68,64,73,72,62,73,69,59,44,59,64,61,74,67,51,45,"1"
62,70,58,74,66,65,77,73,58,67,69,61,67,71,71,71,61,"0"
62,70,70,77,70,67,73,74,67,68,69,69,73,73,77,72,66,"0"
59,67,59,73,65,68,73,79,65,66,65,59,64,81,75,74,66,"0"
75,77,75,75,66,63,75,68,68,69,74,63,69,70,73,66,59,"0"
77,77,76,81,68,62,67,69,64,61,68,70,70,73,76,79,63,"0"
68,80,72,75,64,60,82,68,60,60,56,59,58,73,70,69,41,"0"
76,76,69,76,69,69,81,68,69,70,65,74,64,78,68,75,60,"0"
61,68,69,69,75,71,79,65,66,65,68,59,65,74,71,69,59,"0"
67,74,66,70,64,72,76,81,65,63,67,63,64,76,75,72,64,"0"
71,74,74,56,78,71,78,68,60,67,74,67,64,83,76,74,54,"0"
64,69,70,78,66,72,78,81,70,79,75,65,72,71,74,68,57,"0"
76,78,72,75,65,63,72,73,56,52,68,65,67,77,75,74,61,"0"
74,75,62,67,74,78,80,73,62,67,69,66,66,66,69,62,56,"0"
65,76,68,66,64,65,74,69,59,59,69,65,60,69,74,69,57,"0"
59,76,70,74,67,69,73,68,64,68,75,59,69,65,72,61,55,"0"
76,69,73,72,65,58,76,75,64,60,71,61,70,73,76,62,59,"0"
71,78,67,72,68,66,80,75,72,67,65,61,66,77,67,78,59,"0"
80,75,68,75,77,73,77,67,58,67,63,66,61,69,67,65,58,"0"
68,72,71,82,63,73,78,77,69,74,63,58,69,77,77,69,64,"0"
67,78,68,73,59,77,68,75,66,78,69,65,67,69,72,70,59,"0"
72,69,70,81,70,70,79,68,58,64,68,62,70,74,77,71,65,"0"
62,84,68,74,57,57,71,74,57,57,64,62,64,72,77,62,65,"0"
69,76,67,73,75,72,72,62,61,62,73,58,68,70,72,64,56,"0"
59,60,74,69,67,70,78,71,71,64,71,62,73,64,71,70,49,"0"
