"V2","V5","V7","V9","V10","V11","V15","V17","V21","V23","V24","V25","V26","V27","V28","V29","V30","V31","V33","V34","V37","V40","V41","V42","V43","V44","V45"
59,67,66,61,58,52,77,65,57,66,72,74,63,64,56,54,67,54,74,65,56,72,62,74,74,64,67
72,67,82,65,69,63,74,71,65,78,74,79,74,69,69,70,71,69,70,62,71,69,73,67,71,56,58
71,64,64,65,70,69,65,61,74,74,54,47,53,37,77,68,72,59,68,60,70,64,55,61,41,51,46
69,78,63,65,59,59,75,58,59,66,74,74,64,60,57,54,70,73,76,62,61,72,73,68,68,59,63
70,66,58,69,72,68,71,59,69,77,73,70,41,37,39,40,58,46,73,65,69,70,64,60,55,49,41
57,75,74,71,57,61,69,58,62,70,77,71,65,63,69,55,61,68,74,63,58,79,77,72,70,61,65
69,75,71,76,69,70,80,64,61,67,71,69,65,57,69,65,68,65,73,63,70,69,68,70,73,63,59
61,62,72,67,74,68,71,74,66,62,65,60,66,65,68,59,64,59,65,55,66,60,58,60,67,49,52
65,68,67,71,64,56,69,57,66,76,80,78,53,47,48,36,68,65,73,60,63,77,79,68,70,59,56
74,79,61,66,65,64,57,36,63,70,61,57,52,36,69,49,55,65,73,58,62,62,67,60,56,53,46
70,62,60,77,69,69,70,65,64,74,56,60,54,44,68,69,68,68,73,61,67,64,76,64,61,54,49
67,77,70,72,72,67,76,71,61,70,76,73,70,70,62,51,70,68,77,75,71,65,61,73,73,64,67
76,73,67,70,77,70,75,71,79,78,75,76,66,76,65,67,67,57,75,50,59,75,65,74,70,51,48
70,66,60,77,70,67,79,64,54,65,72,67,59,52,56,50,67,61,72,67,66,74,68,77,69,65,62
78,74,69,74,68,67,71,67,66,71,60,62,64,66,65,67,66,62,75,61,66,71,62,69,67,61,59
67,65,56,63,64,56,62,58,59,69,68,59,64,55,65,60,70,60,65,58,59,74,60,76,65,62,56
70,66,46,58,68,52,58,32,51,57,76,54,58,30,69,41,59,59,73,62,55,65,44,73,36,51,28
63,72,62,57,68,53,78,58,61,67,72,68,57,55,61,53,66,60,77,73,58,77,67,78,68,64,58
62,57,75,59,65,59,65,69,72,74,71,63,62,72,62,66,66,61,68,59,62,76,67,77,71,62,58
80,77,74,77,64,61,72,66,61,75,70,75,59,64,63,69,66,66,77,62,65,74,71,66,71,59,62
63,55,58,74,44,48,67,73,63,74,70,72,77,75,70,71,71,67,73,60,70,70,69,71,70,58,61
70,62,67,74,62,61,74,62,70,78,69,70,67,65,67,70,49,48,71,65,73,73,72,73,70,65,64
61,62,60,75,61,57,59,62,75,84,69,71,69,69,69,71,49,43,64,56,72,69,70,65,68,65,62
70,58,89,72,26,30,59,40,17,52,66,72,23,46,8,31,17,20,72,61,13,31,30,57,67,41,57
75,51,50,69,46,55,48,60,45,59,65,73,54,60,55,66,54,41,52,58,65,64,54,36,46,45,52
77,68,58,68,77,71,75,57,58,76,69,68,56,53,57,54,69,70,79,65,68,71,67,60,60,53,57
75,79,68,77,69,66,73,58,65,68,69,65,58,54,68,60,67,66,78,63,64,73,61,52,44,34,37
78,72,71,74,70,64,73,57,73,80,68,66,59,44,62,63,62,59,74,59,61,62,67,44,42,44,30
69,74,72,72,61,57,72,68,66,67,74,78,64,68,62,62,64,63,77,66,65,64,59,74,75,63,67
72,67,59,63,61,67,48,56,68,75,69,67,68,71,70,68,48,47,79,63,62,56,52,69,83,59,73
64,75,71,71,59,60,66,72,63,60,62,66,69,71,62,63,67,65,58,52,66,64,65,71,73,57,63
72,62,63,61,57,49,57,37,56,78,57,55,35,37,57,57,41,35,70,75,46,53,43,38,35,32,26
79,63,62,70,72,71,65,62,68,71,52,48,23,26,66,59,66,66,74,56,63,70,74,34,33,11,12
66,72,67,81,67,73,64,57,62,78,55,50,37,38,65,73,61,61,73,61,66,46,58,35,37,24,20
65,72,75,83,70,74,68,71,73,80,69,68,57,59,59,56,62,68,73,65,73,63,65,65,67,53,42
71,74,68,68,69,75,58,69,72,78,69,72,69,72,63,61,59,70,75,61,71,64,60,72,61,55,63
70,68,69,61,68,67,71,63,81,82,67,71,52,47,67,64,66,67,75,58,65,70,71,67,64,52,53
73,74,59,76,54,48,53,19,54,79,47,53,19,14,58,50,67,71,54,49,65,57,72,31,30,15,11
68,78,73,78,64,71,71,57,64,74,53,72,36,44,52,54,49,56,81,65,60,58,64,52,57,49,50
68,68,64,73,75,72,71,61,62,73,69,69,48,59,62,44,66,59,74,64,61,74,67,51,48,45,45
62,70,58,74,60,66,71,63,65,77,69,73,59,58,58,67,65,69,76,61,67,71,71,71,69,66,61
62,70,70,77,69,70,74,71,67,73,70,74,63,67,58,68,66,69,79,69,73,73,77,72,76,64,66
59,67,59,73,66,65,66,55,68,73,80,79,69,65,69,66,68,65,71,59,64,81,75,74,65,69,66
75,77,75,75,67,66,72,70,63,75,72,68,69,68,75,69,71,74,76,63,69,70,73,66,68,58,59
77,77,76,81,65,68,73,68,62,67,76,69,68,64,64,61,69,68,75,70,70,73,76,79,73,65,63
68,80,72,75,67,64,77,64,60,82,70,68,63,60,64,60,54,56,73,59,58,73,70,69,65,42,41
76,76,69,76,68,69,62,69,69,81,58,68,75,69,73,70,58,65,76,74,64,78,68,75,68,62,60
61,68,69,69,64,75,72,69,71,79,64,65,62,66,61,65,71,68,71,59,65,74,71,69,68,63,59
67,74,66,70,65,64,74,60,72,76,74,81,66,65,65,63,63,67,80,63,64,76,75,72,74,65,64
71,74,74,56,68,78,64,72,71,78,67,68,63,60,67,67,76,74,79,67,64,83,76,74,73,54,54
64,69,70,78,61,66,70,70,72,78,79,81,74,70,72,79,73,75,73,65,72,71,74,68,67,58,57
76,78,72,75,61,65,75,58,63,72,74,73,56,56,52,52,67,68,78,65,67,77,75,74,70,63,61
74,75,62,67,73,74,71,67,78,80,71,73,60,62,69,67,69,69,75,66,66,66,69,62,65,55,56
65,76,68,66,65,64,75,63,65,74,69,69,66,59,68,59,69,69,79,65,60,69,74,69,70,62,57
59,76,70,74,65,67,73,61,69,73,70,68,67,64,79,68,70,75,77,59,69,65,72,61,61,51,55
76,69,73,72,60,65,73,67,58,76,69,75,65,64,63,60,74,71,79,61,70,73,76,62,69,52,59
71,78,67,72,67,68,74,66,66,80,73,75,67,72,67,67,67,65,78,61,66,77,67,78,76,60,59
80,75,68,75,77,77,70,65,73,77,68,67,61,58,60,67,61,63,75,66,61,69,67,65,66,61,58
68,72,71,82,61,63,65,62,73,78,74,77,69,69,77,74,64,63,70,58,69,77,77,69,77,65,64
67,78,68,73,61,59,72,66,77,68,71,75,62,66,70,78,68,69,76,65,67,69,72,70,68,60,59
72,69,70,81,66,70,80,65,70,79,64,68,56,58,67,64,68,68,74,62,70,74,77,71,72,63,65
62,84,68,74,53,57,72,53,57,71,70,74,54,57,54,57,62,64,72,62,64,72,77,62,62,61,65
69,76,67,73,68,75,77,61,72,72,56,62,56,61,57,62,67,73,74,58,68,70,72,64,68,60,56
59,60,74,69,64,67,70,71,70,78,72,71,71,71,67,64,67,71,74,62,73,64,71,70,69,53,49
66,70,70,72,61,62,71,67,65,78,71,70,65,64,68,71,70,71,74,58,71,77,79,79,79,66,66
62,68,76,71,62,62,75,68,58,66,65,76,64,70,63,60,70,72,77,67,71,70,72,75,79,62,59
71,71,65,73,67,66,76,62,66,78,78,74,68,66,69,68,68,68,74,59,66,78,74,68,70,57,55
63,72,71,70,64,56,73,72,68,76,68,76,66,73,58,68,72,75,75,65,67,72,72,68,71,57,58
74,78,69,77,69,71,68,61,70,80,68,74,57,62,57,65,61,65,76,63,67,63,72,68,70,61,64
69,72,70,71,57,56,74,62,63,76,78,80,75,77,51,62,74,68,77,70,64,69,66,74,75,62,59
70,67,68,69,67,64,65,67,65,75,64,69,63,63,64,64,56,61,68,66,58,75,64,79,74,59,58
65,78,72,74,64,69,68,62,75,78,72,76,66,67,62,61,68,76,78,65,63,67,77,66,66,59,57
64,70,63,70,57,57,74,59,62,73,79,76,75,68,60,58,69,66,76,64,65,75,80,74,67,71,67
70,74,66,70,66,69,69,66,73,81,76,75,71,70,74,82,69,72,74,60,66,73,72,66,63,54,58
72,80,70,73,66,56,75,65,72,77,80,79,67,64,64,66,69,68,75,63,63,81,78,79,75,65,66
70,72,71,78,63,67,74,61,71,77,70,72,61,61,62,58,63,69,75,64,67,70,71,64,67,56,54
59,71,68,70,56,62,71,71,54,75,71,72,76,79,75,70,71,77,69,56,64,71,68,64,63,56,56
67,75,77,70,65,62,67,70,60,75,62,64,66,71,62,61,64,69,76,64,64,68,75,74,80,67,68
68,72,74,74,67,66,67,64,74,77,73,60,49,48,42,69,70,69,79,63,69,73,75,68,56,58,44
66,66,69,72,63,62,70,68,68,72,65,73,67,63,60,57,70,68,75,65,65,67,69,71,68,59,59
