"V5","V7","V9","V17","V24","V26","V27","V28","V29","V31","V34","V37","V40","V41","V42","V44","Class"
67,66,61,65,72,63,64,56,54,54,65,56,72,62,74,64,"1"
67,82,65,71,74,74,69,69,70,69,62,71,69,73,67,56,"1"
64,64,65,61,54,53,37,77,68,59,60,70,64,55,61,51,"1"
78,63,65,58,74,64,60,57,54,73,62,61,72,73,68,59,"1"
66,58,69,59,73,41,37,39,40,46,65,69,70,64,60,49,"1"
75,74,71,58,77,65,63,69,55,68,63,58,79,77,72,61,"1"
75,71,76,64,71,65,57,69,65,65,63,70,69,68,70,63,"1"
62,72,67,74,65,66,65,68,59,59,55,66,60,58,60,49,"1"
68,67,71,57,80,53,47,48,36,65,60,63,77,79,68,59,"1"
79,61,66,36,61,52,36,69,49,65,58,62,62,67,60,53,"1"
62,60,77,65,56,54,44,68,69,68,61,67,64,76,64,54,"1"
77,70,72,71,76,70,70,62,51,68,75,71,65,61,73,64,"1"
73,67,70,71,75,66,76,65,67,57,50,59,75,65,74,51,"1"
66,60,77,64,72,59,52,56,50,61,67,66,74,68,77,65,"1"
74,69,74,67,60,64,66,65,67,62,61,66,71,62,69,61,"1"
65,56,63,58,68,64,55,65,60,60,58,59,74,60,76,62,"1"
66,46,58,32,76,58,30,69,41,59,62,55,65,44,73,51,"1"
72,62,57,58,72,57,55,61,53,60,73,58,77,67,78,64,"1"
57,75,59,69,71,62,72,62,66,61,59,62,76,67,77,62,"1"
77,74,77,66,70,59,64,63,69,66,62,65,74,71,66,59,"1"
55,58,74,73,70,77,75,70,71,67,60,70,70,69,71,58,"1"
62,67,74,62,69,67,65,67,70,48,65,73,73,72,73,65,"1"
62,60,75,62,69,69,69,69,71,43,56,72,69,70,65,65,"1"
58,89,72,40,66,23,46,8,31,20,61,13,31,30,57,41,"1"
51,50,69,60,65,54,60,55,66,41,58,65,64,54,36,45,"1"
68,58,68,57,69,56,53,57,54,70,65,68,71,67,60,53,"1"
79,68,77,58,69,58,54,68,60,66,63,64,73,61,52,34,"1"
72,71,74,57,68,59,44,62,63,59,59,61,62,67,44,44,"1"
74,72,72,68,74,64,68,62,62,63,66,65,64,59,74,63,"1"
67,59,63,56,69,68,71,70,68,47,63,62,56,52,69,59,"1"
75,71,71,72,62,69,71,62,63,65,52,66,64,65,71,57,"1"
62,63,61,37,57,35,37,57,57,35,75,46,53,43,38,32,"1"
63,62,70,62,52,23,26,66,59,66,56,63,70,74,34,11,"1"
72,67,81,57,55,37,38,65,73,61,61,66,46,58,35,24,"1"
72,75,83,71,69,57,59,59,56,68,65,73,63,65,65,53,"1"
74,68,68,69,69,69,72,63,61,70,61,71,64,60,72,55,"1"
68,69,61,63,67,52,47,67,64,67,58,65,70,71,67,52,"1"
74,59,76,19,47,19,14,58,50,71,49,65,57,72,31,15,"1"
78,73,78,57,53,36,44,52,54,56,65,60,58,64,52,49,"1"
68,64,73,61,69,48,59,62,44,59,64,61,74,67,51,45,"1"
70,58,74,63,69,59,58,58,67,69,61,67,71,71,71,66,"0"
70,70,77,71,70,63,67,58,68,69,69,73,73,77,72,64,"0"
67,59,73,55,80,69,65,69,66,65,59,64,81,75,74,69,"0"
77,75,75,70,72,69,68,75,69,74,63,69,70,73,66,58,"0"
77,76,81,68,76,68,64,64,61,68,70,70,73,76,79,65,"0"
80,72,75,64,70,63,60,64,60,56,59,58,73,70,69,42,"0"
76,69,76,69,58,75,69,73,70,65,74,64,78,68,75,62,"0"
68,69,69,69,64,62,66,61,65,68,59,65,74,71,69,63,"0"
74,66,70,60,74,66,65,65,63,67,63,64,76,75,72,65,"0"
74,74,56,72,67,63,60,67,67,74,67,64,83,76,74,54,"0"
69,70,78,70,79,74,70,72,79,75,65,72,71,74,68,58,"0"
78,72,75,58,74,56,56,52,52,68,65,67,77,75,74,63,"0"
75,62,67,67,71,60,62,69,67,69,66,66,66,69,62,55,"0"
76,68,66,63,69,66,59,68,59,69,65,60,69,74,69,62,"0"
76,70,74,61,70,67,64,79,68,75,59,69,65,72,61,51,"0"
69,73,72,67,69,65,64,63,60,71,61,70,73,76,62,52,"0"
78,67,72,66,73,67,72,67,67,65,61,66,77,67,78,60,"0"
75,68,75,65,68,61,58,60,67,63,66,61,69,67,65,61,"0"
72,71,82,62,74,69,69,77,74,63,58,69,77,77,69,65,"0"
78,68,73,66,71,62,66,70,78,69,65,67,69,72,70,60,"0"
69,70,81,65,64,56,58,67,64,68,62,70,74,77,71,63,"0"
84,68,74,53,70,54,57,54,57,64,62,64,72,77,62,61,"0"
76,67,73,61,56,56,61,57,62,73,58,68,70,72,64,60,"0"
60,74,69,71,72,71,71,67,64,71,62,73,64,71,70,53,"0"
70,70,72,67,71,65,64,68,71,71,58,71,77,79,79,66,"0"
68,76,71,68,65,64,70,63,60,72,67,71,70,72,75,62,"0"
71,65,73,62,78,68,66,69,68,68,59,66,78,74,68,57,"0"
72,71,70,72,68,66,73,58,68,75,65,67,72,72,68,57,"0"
78,69,77,61,68,57,62,57,65,65,63,67,63,72,68,61,"0"
72,70,71,62,78,75,77,51,62,68,70,64,69,66,74,62,"0"
67,68,69,67,64,63,63,64,64,61,66,58,75,64,79,59,"0"
78,72,74,62,72,66,67,62,61,76,65,63,67,77,66,59,"0"
70,63,70,59,79,75,68,60,58,66,64,65,75,80,74,71,"0"
74,66,70,66,76,71,70,74,82,72,60,66,73,72,66,54,"0"
80,70,73,65,80,67,64,64,66,68,63,63,81,78,79,65,"0"
72,71,78,61,70,61,61,62,58,69,64,67,70,71,64,56,"0"
71,68,70,71,71,76,79,75,70,77,56,64,71,68,64,56,"0"
75,77,70,70,62,66,71,62,61,69,64,64,68,75,74,67,"0"
72,74,74,64,73,49,48,42,69,69,63,69,73,75,68,58,"0"
66,69,72,68,65,67,63,60,57,68,65,65,67,69,71,59,"0"
