"V5","V23","V25","V26","V27","V29","V30","V31","V33","V40","V41"
78,76,79,70,70,67,65,67,75,74,77
71,73,72,66,60,66,70,64,70,69,66
67,73,69,63,57,53,67,60,74,68,54
65,71,65,64,60,69,70,69,72,71,72
61,73,75,76,67,69,66,71,61,72,73
67,69,67,64,59,65,73,70,69,77,71
76,75,66,58,62,66,55,40,71,59,45
58,77,49,53,44,74,64,66,63,77,74
69,76,71,63,44,25,21,18,79,19,16
74,71,69,40,38,59,67,67,78,74,73
71,65,48,58,43,62,71,70,73,62,59
75,72,50,39,36,51,41,43,70,49,43
80,78,77,60,59,61,53,46,75,62,60
46,78,32,40,43,78,49,49,39,60,56
65,78,47,27,34,78,68,68,68,68,71
50,72,71,42,44,74,29,19,77,27,12
61,75,70,67,63,67,69,66,77,75,66
68,59,55,72,65,70,69,66,66,74,68
48,67,50,39,33,50,57,50,41,61,48
58,65,62,63,70,55,59,52,60,57,52
74,81,60,39,39,72,58,64,71,57,63
61,66,58,30,14,41,54,41,66,58,47
79,71,63,43,38,49,53,42,73,55,43
74,59,72,54,45,64,61,60,74,75,74
67,69,72,51,39,50,64,63,70,66,67
75,72,66,60,57,62,59,38,66,70,50
75,69,63,51,50,43,41,49,74,65,69
78,64,67,60,57,51,65,68,75,71,67
65,78,80,76,76,73,65,73,63,73,73
72,77,66,62,59,58,61,65,75,68,70
73,76,80,72,69,59,71,68,79,68,66
72,80,69,70,65,65,62,66,76,70,75
74,75,58,42,37,54,20,15,73,24,35
70,55,61,46,49,52,66,72,65,67,70
82,79,65,63,63,67,68,70,77,71,75
68,71,71,69,65,63,54,63,74,71,71
72,78,67,62,60,59,69,66,75,69,64
68,52,42,20,23,60,38,41,70,65,55
54,78,67,62,47,57,23,26,74,11,13
73,64,58,60,59,70,45,40,74,36,39
43,61,56,48,63,77,13,7,52,17,6
71,79,64,60,55,68,76,74,75,73,73
61,73,70,47,39,75,67,64,66,74,63
78,56,47,12,6,23,56,48,55,56,57
72,73,67,49,42,51,58,48,73,72,51
82,69,63,54,50,53,59,60,74,73,70
71,78,57,56,56,61,60,62,76,61,74
74,66,62,43,35,65,61,56,73,55,61
76,81,69,59,63,63,67,66,73,69,63
73,69,74,48,48,66,64,68,71,65,70
70,47,77,62,66,62,57,69,75,74,76
68,79,60,49,52,45,31,36,71,26,35
74,84,67,33,38,69,62,65,72,58,67
75,74,69,56,44,65,68,69,71,66,62
70,77,74,72,73,71,67,69,73,77,69
71,78,72,41,38,48,63,68,77,77,81
69,63,70,33,19,46,44,43,57,47,57
