"V5","V23","V25","V26","V27","V29","V30","V31","V33","V40","V41"
67,66,74,63,64,54,67,54,74,72,62
67,78,79,74,69,70,71,69,70,69,73
64,74,47,53,37,68,72,59,68,64,55
78,66,74,64,60,54,70,73,76,72,73
66,77,70,41,37,40,58,46,73,70,64
75,70,71,65,63,55,61,68,74,79,77
75,67,69,65,57,65,68,65,73,69,68
62,62,60,66,65,59,64,59,65,60,58
68,76,78,53,47,36,68,65,73,77,79
79,70,57,52,36,49,55,65,73,62,67
62,74,60,54,44,69,68,68,73,64,76
77,70,73,70,70,51,70,68,77,65,61
73,78,76,66,76,67,67,57,75,75,65
66,65,67,59,52,50,67,61,72,74,68
74,71,62,64,66,67,66,62,75,71,62
65,69,59,64,55,60,70,60,65,74,60
66,57,54,58,30,41,59,59,73,65,44
72,67,68,57,55,53,66,60,77,77,67
57,74,63,62,72,66,66,61,68,76,67
77,75,75,59,64,69,66,66,77,74,71
55,74,72,77,75,71,71,67,73,70,69
62,78,70,67,65,70,49,48,71,73,72
62,84,71,69,69,71,49,43,64,69,70
58,52,72,23,46,31,17,20,72,31,30
51,59,73,54,60,66,54,41,52,64,54
68,76,68,56,53,54,69,70,79,71,67
79,68,65,58,54,60,67,66,78,73,61
72,80,66,59,44,63,62,59,74,62,67
74,67,78,64,68,62,64,63,77,64,59
67,75,67,68,71,68,48,47,79,56,52
75,60,66,69,71,63,67,65,58,64,65
62,78,55,35,37,57,41,35,70,53,43
63,71,48,23,26,59,66,66,74,70,74
72,78,50,37,38,73,61,61,73,46,58
72,80,68,57,59,56,62,68,73,63,65
74,78,72,69,72,61,59,70,75,64,60
68,82,71,52,47,64,66,67,75,70,71
74,79,53,19,14,50,67,71,54,57,72
78,74,72,36,44,54,49,56,81,58,64
68,73,69,48,59,44,66,59,74,74,67
70,77,73,59,58,67,65,69,76,71,71
70,73,74,63,67,68,66,69,79,73,77
67,73,79,69,65,66,68,65,71,81,75
77,75,68,69,68,69,71,74,76,70,73
77,67,69,68,64,61,69,68,75,73,76
80,82,68,63,60,60,54,56,73,73,70
76,81,68,75,69,70,58,65,76,78,68
68,79,65,62,66,65,71,68,71,74,71
74,76,81,66,65,63,63,67,80,76,75
74,78,68,63,60,67,76,74,79,83,76
69,78,81,74,70,79,73,75,73,71,74
78,72,73,56,56,52,67,68,78,77,75
75,80,73,60,62,67,69,69,75,66,69
76,74,69,66,59,59,69,69,79,69,74
76,73,68,67,64,68,70,75,77,65,72
69,76,75,65,64,60,74,71,79,73,76
78,80,75,67,72,67,67,65,78,77,67
75,77,67,61,58,67,61,63,75,69,67
72,78,77,69,69,74,64,63,70,77,77
78,68,75,62,66,78,68,69,76,69,72
69,79,68,56,58,64,68,68,74,74,77
84,71,74,54,57,57,62,64,72,72,77
76,72,62,56,61,62,67,73,74,70,72
60,78,71,71,71,64,67,71,74,64,71
70,78,70,65,64,71,70,71,74,77,79
68,66,76,64,70,60,70,72,77,70,72
71,78,74,68,66,68,68,68,74,78,74
72,76,76,66,73,68,72,75,75,72,72
78,80,74,57,62,65,61,65,76,63,72
72,76,80,75,77,62,74,68,77,69,66
67,75,69,63,63,64,56,61,68,75,64
78,78,76,66,67,61,68,76,78,67,77
70,73,76,75,68,58,69,66,76,75,80
74,81,75,71,70,82,69,72,74,73,72
80,77,79,67,64,66,69,68,75,81,78
72,77,72,61,61,58,63,69,75,70,71
71,75,72,76,79,70,71,77,69,71,68
75,75,64,66,71,61,64,69,76,68,75
72,77,60,49,48,69,70,69,79,73,75
66,72,73,67,63,57,70,68,75,67,69
