"V5","V19","V27","V32","V38","V39","V41","V44","Class"
67,55,64,76,62,56,62,64,1
67,75,69,72,63,60,73,56,1
64,71,37,72,66,65,55,51,1
78,55,60,69,66,65,73,59,1
66,75,37,75,70,66,64,49,1
75,55,63,75,69,67,77,61,1
75,77,57,76,72,72,68,63,1
62,70,65,72,66,60,58,49,1
68,62,47,74,74,63,79,59,1
79,50,36,74,73,69,67,53,1
62,75,44,74,64,68,76,54,1
77,73,70,79,69,63,61,64,1
73,68,76,68,47,49,65,51,1
66,76,52,74,73,68,68,65,1
74,68,66,74,68,65,62,61,1
65,62,55,72,71,62,60,62,1
66,59,30,67,65,56,44,51,1
72,54,55,76,75,70,67,64,1
57,66,72,73,73,73,67,62,1
77,68,64,70,67,66,71,59,1
55,66,75,75,65,62,69,58,1
62,71,65,73,75,71,72,65,1
62,76,69,59,70,73,70,65,1
58,37,46,49,40,23,30,41,1
51,77,60,53,33,23,54,45,1
68,74,53,73,67,66,67,53,1
79,69,54,75,72,69,61,34,1
72,65,44,71,77,76,67,44,1
74,62,68,75,62,63,59,63,1
67,68,71,74,64,67,52,59,1
75,69,71,62,61,56,65,57,1
62,52,37,67,63,62,43,32,1
63,71,26,72,66,69,74,11,1
72,74,38,73,60,71,58,24,1
72,76,59,75,66,70,65,53,1
74,74,72,72,59,64,60,55,1
68,73,47,66,71,67,71,52,1
74,56,14,63,62,58,72,15,1
78,63,44,73,63,70,64,49,1
68,68,59,75,70,69,67,45,1
70,74,58,78,72,74,71,66,0
70,75,67,78,72,71,77,64,0
67,66,65,75,73,71,75,69,0
77,70,68,75,66,63,73,58,0
77,73,64,73,70,70,76,65,0
80,67,60,70,50,51,70,42,0
76,66,69,79,65,62,68,62,0
68,73,66,67,60,68,71,63,0
74,65,65,76,73,72,75,65,0
74,68,60,67,70,74,76,54,0
69,76,70,77,59,62,74,58,0
78,67,56,73,69,74,75,63,0
75,69,62,75,71,73,69,55,0
76,62,59,76,69,64,74,62,0
76,67,64,76,64,64,72,51,0
69,70,64,77,62,63,76,52,0
78,67,72,77,51,57,67,60,0
75,75,58,75,77,74,67,61,0
72,77,69,66,75,77,77,65,0
78,68,66,70,62,72,72,60,0
69,77,58,69,73,77,77,63,0
84,67,57,75,64,67,77,61,0
76,70,61,76,66,76,72,60,0
60,70,71,71,57,57,71,53,0
70,69,64,73,70,72,79,66,0
68,68,70,71,63,63,72,62,0
71,71,66,71,73,71,74,57,0
72,73,73,72,58,57,72,57,0
78,68,62,71,70,74,72,61,0
72,58,77,77,59,58,66,62,0
67,68,63,62,57,48,64,59,0
78,62,67,72,64,67,77,59,0
70,63,68,72,63,65,80,71,0
74,72,70,76,64,64,72,54,0
80,69,64,70,74,77,78,65,0
72,64,61,76,68,70,71,56,0
71,64,79,71,56,53,68,56,0
75,69,71,73,65,60,75,67,0
72,68,48,76,71,73,75,58,0
66,69,63,75,65,64,69,59,0
