"V4","V5","V7","V15","V17","V23","V25","V26","V27","V29","V30","V31","V33","V40","V41","V42","V43","V44","V45"
70,67,66,77,65,66,74,63,64,54,67,54,74,72,62,74,74,64,67
69,67,82,74,71,78,79,74,69,70,71,69,70,69,73,67,71,56,58
70,64,64,65,61,74,47,53,37,68,72,59,68,64,55,61,41,51,46
70,78,63,75,58,66,74,64,60,54,70,73,76,72,73,68,68,59,63
61,66,58,71,59,77,70,41,37,40,58,46,73,70,64,60,55,49,41
68,75,74,69,58,70,71,65,63,55,61,68,74,79,77,72,70,61,65
62,75,71,80,64,67,69,65,57,65,68,65,73,69,68,70,73,63,59
60,62,72,71,74,62,60,66,65,59,64,59,65,60,58,60,67,49,52
67,68,67,69,57,76,78,53,47,36,68,65,73,77,79,68,70,59,56
72,79,61,57,36,70,57,52,36,49,55,65,73,62,67,60,56,53,46
60,62,60,70,65,74,60,54,44,69,68,68,73,64,76,64,61,54,49
65,77,70,76,71,70,73,70,70,51,70,68,77,65,61,73,73,64,67
78,73,67,75,71,78,76,66,76,67,67,57,75,75,65,74,70,51,48
67,66,60,79,64,65,67,59,52,50,67,61,72,74,68,77,69,65,62
68,74,69,71,67,71,62,64,66,67,66,62,75,71,62,69,67,61,59
73,65,56,62,58,69,59,64,55,60,70,60,65,74,60,76,65,62,56
66,66,46,58,32,57,54,58,30,41,59,59,73,65,44,73,36,51,28
69,72,62,78,58,67,68,57,55,53,66,60,77,77,67,78,68,64,58
66,57,75,65,69,74,63,62,72,66,66,61,68,76,67,77,71,62,58
82,77,74,72,66,75,75,59,64,69,66,66,77,74,71,66,71,59,62
66,55,58,67,73,74,72,77,75,71,71,67,73,70,69,71,70,58,61
65,62,67,74,62,78,70,67,65,70,49,48,71,73,72,73,70,65,64
58,62,60,59,62,84,71,69,69,71,49,43,64,69,70,65,68,65,62
52,58,89,59,40,52,72,23,46,31,17,20,72,31,30,57,67,41,57
54,51,50,48,60,59,73,54,60,66,54,41,52,64,54,36,46,45,52
62,68,58,75,57,76,68,56,53,54,69,70,79,71,67,60,60,53,57
75,79,68,73,58,68,65,58,54,60,67,66,78,73,61,52,44,34,37
71,72,71,73,57,80,66,59,44,63,62,59,74,62,67,44,42,44,30
75,74,72,72,68,67,78,64,68,62,64,63,77,64,59,74,75,63,67
75,67,59,48,56,75,67,68,71,68,48,47,79,56,52,69,83,59,73
