"V2","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V16","V17","V19","V20","V21","V23","V24","V26","V27","V28","V29","V30","V31","V32","V33","V34","V36","V38","V39","V40","V41","V43","V45","Class"
59,70,67,73,66,72,61,58,52,72,71,70,66,65,55,61,57,66,72,63,64,56,54,67,54,76,74,65,66,62,56,72,62,74,67,1
72,69,67,78,82,74,65,69,63,70,70,72,70,71,75,66,65,78,74,74,69,69,70,71,69,72,70,62,65,63,60,69,73,71,58,1
71,70,64,67,64,79,65,70,69,72,71,68,61,61,71,75,74,74,54,53,37,77,68,72,59,72,68,60,73,66,65,64,55,41,46,1
69,70,78,61,63,67,65,59,59,66,69,71,65,58,55,62,59,66,74,64,60,57,54,70,73,69,76,62,61,66,65,72,73,68,63,1
70,61,66,61,58,69,69,72,68,62,71,71,63,59,75,70,69,77,73,41,37,39,40,58,46,75,73,65,67,70,66,70,64,55,41,1
57,68,75,69,74,73,71,57,61,72,74,73,61,58,55,71,62,70,77,65,63,69,55,61,68,75,74,63,63,69,67,79,77,70,65,1
69,62,75,67,71,72,76,69,70,66,69,71,66,64,77,65,61,67,71,65,57,69,65,68,65,76,73,63,69,72,72,69,68,73,59,1
61,60,62,64,72,68,67,74,68,76,70,74,76,74,70,75,66,62,65,66,65,68,59,64,59,72,65,55,66,66,60,60,58,67,52,1
65,67,68,65,67,71,71,64,56,73,72,68,56,57,62,74,66,76,80,53,47,48,36,68,65,74,73,60,67,74,63,77,79,70,56,1
74,72,79,66,61,76,66,65,64,78,74,62,48,36,50,67,63,70,61,52,36,69,49,55,65,74,73,58,64,73,69,62,67,56,46,1
70,60,62,58,60,71,77,69,69,73,68,68,69,65,75,63,64,74,56,54,44,68,69,68,68,74,73,61,68,64,68,64,76,61,49,1
67,65,77,66,70,72,72,72,67,76,72,73,74,71,73,69,61,70,76,70,70,62,51,70,68,79,77,75,72,69,63,65,61,73,67,1
76,78,73,68,67,75,70,77,70,79,73,79,74,71,68,81,79,78,75,66,76,65,67,67,57,68,75,50,62,47,49,75,65,70,48,1
70,67,66,68,60,76,77,70,67,71,71,79,70,64,76,63,54,65,72,59,52,56,50,67,61,74,72,67,68,73,68,74,68,69,62,1
78,68,74,68,69,63,74,68,67,73,73,66,64,67,68,61,66,71,60,64,66,65,67,66,62,74,75,61,63,68,65,71,62,67,59,1
67,73,65,69,56,72,63,64,56,68,67,70,70,58,62,65,59,69,68,64,55,65,60,70,60,72,65,58,66,71,62,74,60,65,56,1
70,66,66,76,46,74,58,68,52,81,58,67,68,32,59,76,51,57,76,58,30,69,41,59,59,67,73,62,60,65,56,65,44,36,28,1
63,69,72,67,62,65,57,68,53,68,71,73,64,58,54,70,61,67,72,57,55,61,53,66,60,76,77,73,66,75,70,77,67,68,58,1
62,66,57,74,75,68,59,65,59,74,66,71,67,69,66,71,72,74,71,62,72,62,66,66,61,73,68,59,63,73,73,76,67,71,58,1
