"Iteration #"	"Inertia"	"Number of features"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	44	10467.6766582802	10467.6766582802	21	44	44
2	1	44	10800.9043633087	10800.9043633087	23	17	17
3	1	44	10800.9043633087	10134.0911034706	33	17	28
4	1	44	10800.9043633087	10465.258654869	33	17	31
5	1	44	11320.4030813849	11320.4030813849	32	32	32
6	1	44	13786.339105305	13786.339105305	35	36	36
7	1	44	13786.339105305	10601.748734569	31	36	31
8	1	44	13786.339105305	11278.5624256719	38	36	38
9	1	44	13786.339105305	11280.263428317	22	36	24
10	1	44	13786.339105305	12762.3342399243	23	36	17
11	1	44	13786.339105305	11341.6625516758	35	36	31
12	1	44	13786.339105305	-1e+21	30	36	30
13	1	44	13786.339105305	11320.3687454051	33	36	30
14	1	44	13786.339105305	10315.3977472826	17	36	19
15	1	44	13786.339105305	10801.5381139303	30	36	29
16	1	44	13786.339105305	12910.7313925497	16	36	21
17	1	44	13786.339105305	10649.6593566512	32	36	30
18	1	44	13786.339105305	-1e+21	33	36	27
19	1	44	13786.339105305	11095.7159813253	32	36	23
20	1	44	13786.339105305	12627.4432376613	24	36	26
21	1	44	13786.339105305	10944.2196956204	40	36	43
22	1	44	13786.339105305	11480.6001552419	35	36	34
23	1	44	13786.339105305	11313.1351870891	30	36	31
24	1	44	13786.339105305	-1e+21	30	36	35
25	1	44	13786.339105305	12212.3565890702	23	36	22
26	1	44	13786.339105305	10933.5353171108	32	36	34
27	1	44	13786.339105305	11763.9973895617	34	36	29
28	1	44	13786.339105305	10774.1101466297	33	36	31
29	1	44	13786.339105305	11476.2927698085	21	36	20
30	1	44	13786.339105305	-1e+21	37	36	39
31	1	44	13786.339105305	11646.8745518891	32	36	28
32	1	44	13786.339105305	10810.5567170975	40	36	38
33	1	44	13786.339105305	11560.3681870325	26	36	32
34	1	44	13786.339105305	11727.9499105124	19	36	30
35	1	44	13786.339105305	11077.8837491686	13	36	17
