"V4","V17","V29","V30","V31","V34","V36","V38","V41","V44","V45","Class"
70,65,54,67,54,65,66,62,62,64,67,1
69,71,70,71,69,62,65,63,73,56,58,1
70,61,68,72,59,60,73,66,55,51,46,1
70,58,54,70,73,62,61,66,73,59,63,1
61,59,40,58,46,65,67,70,64,49,41,1
68,58,55,61,68,63,63,69,77,61,65,1
62,64,65,68,65,63,69,72,68,63,59,1
60,74,59,64,59,55,66,66,58,49,52,1
67,57,36,68,65,60,67,74,79,59,56,1
72,36,49,55,65,58,64,73,67,53,46,1
60,65,69,68,68,61,68,64,76,54,49,1
65,71,51,70,68,75,72,69,61,64,67,1
78,71,67,67,57,50,62,47,65,51,48,1
67,64,50,67,61,67,68,73,68,65,62,1
68,67,67,66,62,61,63,68,62,61,59,1
73,58,60,70,60,58,66,71,60,62,56,1
66,32,41,59,59,62,60,65,44,51,28,1
69,58,53,66,60,73,66,75,67,64,58,1
66,69,66,66,61,59,63,73,67,62,58,1
82,66,69,66,66,62,60,67,71,59,62,1
66,73,71,71,67,60,71,65,69,58,61,1
65,62,70,49,48,65,73,75,72,65,64,1
58,62,71,49,43,56,64,70,70,65,62,1
52,40,31,17,20,61,31,40,30,41,57,1
54,60,66,54,41,58,72,33,54,45,52,1
62,57,54,69,70,65,66,67,67,53,57,1
75,58,60,67,66,63,68,72,61,34,37,1
71,57,63,62,59,59,64,77,67,44,30,1
75,68,62,64,63,66,69,62,59,63,67,1
75,56,68,48,47,63,62,64,52,59,73,1
70,72,63,67,65,52,67,61,65,57,63,1
68,37,57,41,35,75,53,63,43,32,26,1
66,62,59,66,66,56,67,66,74,11,12,1
75,57,73,61,61,61,67,60,58,24,20,1
71,71,56,62,68,65,69,66,65,53,42,1
76,69,61,59,70,61,70,59,60,55,63,1
66,63,64,66,67,58,65,71,71,52,53,1
68,19,50,67,71,49,66,62,72,15,11,1
79,57,54,49,56,65,53,63,64,49,50,1
65,61,44,66,59,64,63,70,67,45,45,1
64,63,67,65,69,61,64,72,71,66,61,0
68,71,68,66,69,69,71,72,77,64,66,0
69,55,66,68,65,59,65,73,75,69,66,0
70,70,69,71,74,63,71,66,73,58,59,0
79,68,61,69,68,70,64,70,76,65,63,0
74,64,60,54,56,59,55,50,70,42,41,0
74,69,70,58,65,74,66,65,68,62,60,0
71,69,65,71,68,59,66,60,71,63,59,0
77,60,63,63,67,63,63,73,75,65,64,0
74,72,67,76,74,67,71,70,76,54,54,0
71,70,79,73,75,65,72,59,74,58,57,0
68,58,52,67,68,65,61,69,75,63,61,0
72,67,67,69,69,66,67,71,69,55,56,0
69,63,59,69,69,65,60,69,74,62,57,0
70,61,68,70,75,59,72,64,72,51,55,0
73,67,60,74,71,61,71,62,76,52,59,0
78,66,67,67,65,61,63,51,67,60,59,0
75,65,67,61,63,66,59,77,67,61,58,0
66,62,74,64,63,58,65,75,77,65,64,0
73,66,78,68,69,65,66,62,72,60,59,0
67,65,64,68,68,62,66,73,77,63,65,0
78,53,57,62,64,62,60,64,77,61,65,0
74,61,62,67,73,58,64,66,72,60,56,0
53,71,64,67,71,62,72,57,71,53,49,0
63,67,71,70,71,58,68,70,79,66,66,0
66,68,60,70,72,67,72,63,72,62,59,0
69,62,68,68,68,59,65,73,74,57,55,0
75,72,68,72,75,65,66,58,72,57,58,0
80,61,65,61,65,63,67,70,72,61,64,0
73,62,62,74,68,70,68,59,66,62,59,0
68,67,64,56,61,66,62,57,64,59,58,0
70,62,61,68,76,65,67,64,77,59,57,0
74,59,58,69,66,64,63,63,80,71,67,0
71,66,82,69,72,60,66,64,72,54,58,0
75,65,66,69,68,63,66,74,78,65,66,0
72,61,58,63,69,64,66,68,71,56,54,0
67,71,70,71,77,56,62,56,68,56,56,0
73,70,61,64,69,64,61,65,75,67,68,0
72,64,69,70,69,63,64,71,75,58,44,0
69,68,57,70,68,65,69,65,69,59,59,0
