"V38","V40","V41","Class"
62,72,62,1
63,69,73,1
66,64,55,1
66,72,73,1
70,70,64,1
69,79,77,1
72,69,68,1
66,60,58,1
74,77,79,1
73,62,67,1
64,64,76,1
69,65,61,1
47,75,65,1
73,74,68,1
68,71,62,1
71,74,60,1
65,65,44,1
75,77,67,1
73,76,67,1
67,74,71,1
65,70,69,1
75,73,72,1
70,69,70,1
40,31,30,1
33,64,54,1
67,71,67,1
72,73,61,1
77,62,67,1
62,64,59,1
64,56,52,1
61,64,65,1
63,53,43,1
66,70,74,1
60,46,58,1
66,63,65,1
59,64,60,1
71,70,71,1
62,57,72,1
63,58,64,1
70,74,67,1
72,71,71,0
72,73,77,0
73,81,75,0
66,70,73,0
70,73,76,0
50,73,70,0
65,78,68,0
60,74,71,0
73,76,75,0
70,83,76,0
59,71,74,0
69,77,75,0
71,66,69,0
69,69,74,0
64,65,72,0
62,73,76,0
51,77,67,0
77,69,67,0
75,77,77,0
62,69,72,0
73,74,77,0
64,72,77,0
66,70,72,0
57,64,71,0
70,77,79,0
63,70,72,0
73,78,74,0
58,72,72,0
70,63,72,0
59,69,66,0
57,75,64,0
64,67,77,0
63,75,80,0
64,73,72,0
74,81,78,0
68,70,71,0
56,71,68,0
65,68,75,0
71,73,75,0
65,67,69,0
