"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	0.98	44	79.1479957476633	-Inf	10786.1044381606	10786.1044381606	21	44	44
2	0.96	44	79.1479957476633	-Inf	10786.1044381606	10008.4170229474	29	44	24
3	0.94	44	79.5331143717841	-Inf	12575.5759191225	12575.5759191225	32	35	35
4	0.92	44	79.5331143717841	-Inf	12575.5759191225	11171.9454309409	29	35	29
5	0.9	44	80.7282140338496	-Inf	13841.0056887041	13841.0056887041	29	35	35
6	0.88	44	80.7282140338496	-Inf	13841.0056887041	11364.601429451	31	35	39
7	0.86	44	83.9519339784759	-Inf	14175.9029507029	14175.9029507029	35	31	31
8	0.84	44	83.9519339784759	-Inf	14175.9029507029	11182.4312120419	27	31	34
9	0.82	44	83.9519339784759	-Inf	14175.9029507029	12927.7825342713	29	31	31
10	0.8	44	83.9519339784759	-Inf	14175.9029507029	11460.3491696162	27	31	28
11	0.78	44	83.9519339784759	-Inf	14175.9029507029	11539.1512642457	23	31	27
12	0.76	44	83.9519339784759	-Inf	14175.9029507029	13131.3424489201	30	31	32
13	0.74	44	81.5804712197012	-Inf	14423.4121901965	14423.4121901965	35	30	30
14	0.72	44	81.5804712197012	-Inf	14423.4121901965	12223.2372110857	18	30	23
15	0.7	44	81.5804712197012	-Inf	14423.4121901965	13314.4806528565	19	30	22
16	0.68	44	81.5804712197012	-Inf	14423.4121901965	14401.5172886563	27	30	20
17	0.66	44	81.1556891015237	-Inf	15808.1963386505	15808.1963386505	10	16	16
18	0.64	44	81.1556891015237	-Inf	15808.1963386505	11620.1117496018	22	16	25
19	0.62	44	81.1556891015237	-Inf	15808.1963386505	13260.3692145598	32	16	29
20	0.6	44	81.1556891015237	-Inf	15808.1963386505	11767.3686406236	28	16	34
21	0.58	44	81.1556891015237	-Inf	15808.1963386505	13323.1365056142	23	16	26
22	0.56	44	81.1556891015237	-Inf	15808.1963386505	12277.1734900977	17	16	22
23	0.54	44	81.1556891015237	-Inf	15808.1963386505	-1e+21	27	16	30
24	0.52	44	81.1556891015237	-Inf	15808.1963386505	12176.1222478621	29	16	27
25	0.5	44	81.1556891015237	-Inf	15808.1963386505	12512.4972299963	21	16	27
26	0.48	44	81.1556891015237	-Inf	15808.1963386505	12376.0046426476	22	16	31
27	0.46	44	81.1556891015237	-Inf	15808.1963386505	11830.3264238025	28	16	25
28	0.44	44	81.1556891015237	-Inf	15808.1963386505	11628.6648757195	22	16	25
