"V5","V29","V30","V31","V34","V36","V37","V41","V45","Class"
67,54,67,54,65,66,56,62,67,1
67,70,71,69,62,65,71,73,58,1
64,68,72,59,60,73,70,55,46,1
78,54,70,73,62,61,61,73,63,1
66,40,58,46,65,67,69,64,41,1
75,55,61,68,63,63,58,77,65,1
75,65,68,65,63,69,70,68,59,1
62,59,64,59,55,66,66,58,52,1
68,36,68,65,60,67,63,79,56,1
79,49,55,65,58,64,62,67,46,1
62,69,68,68,61,68,67,76,49,1
77,51,70,68,75,72,71,61,67,1
73,67,67,57,50,62,59,65,48,1
66,50,67,61,67,68,66,68,62,1
74,67,66,62,61,63,66,62,59,1
65,60,70,60,58,66,59,60,56,1
66,41,59,59,62,60,55,44,28,1
72,53,66,60,73,66,58,67,58,1
57,66,66,61,59,63,62,67,58,1
77,69,66,66,62,60,65,71,62,1
55,71,71,67,60,71,70,69,61,1
62,70,49,48,65,73,73,72,64,1
62,71,49,43,56,64,72,70,62,1
58,31,17,20,61,31,13,30,57,1
51,66,54,41,58,72,65,54,52,1
68,54,69,70,65,66,68,67,57,1
79,60,67,66,63,68,64,61,37,1
72,63,62,59,59,64,61,67,30,1
74,62,64,63,66,69,65,59,67,1
67,68,48,47,63,62,62,52,73,1
75,63,67,65,52,67,66,65,63,1
62,57,41,35,75,53,46,43,26,1
63,59,66,66,56,67,63,74,12,1
72,73,61,61,61,67,66,58,20,1
72,56,62,68,65,69,73,65,42,1
74,61,59,70,61,70,71,60,63,1
68,64,66,67,58,65,65,71,53,1
74,50,67,71,49,66,65,72,11,1
78,54,49,56,65,53,60,64,50,1
68,44,66,59,64,63,61,67,45,1
70,67,65,69,61,64,67,71,61,0
70,68,66,69,69,71,73,77,66,0
67,66,68,65,59,65,64,75,66,0
77,69,71,74,63,71,69,73,59,0
77,61,69,68,70,64,70,76,63,0
80,60,54,56,59,55,58,70,41,0
76,70,58,65,74,66,64,68,60,0
68,65,71,68,59,66,65,71,59,0
74,63,63,67,63,63,64,75,64,0
74,67,76,74,67,71,64,76,54,0
69,79,73,75,65,72,72,74,57,0
78,52,67,68,65,61,67,75,61,0
75,67,69,69,66,67,66,69,56,0
76,59,69,69,65,60,60,74,57,0
76,68,70,75,59,72,69,72,55,0
69,60,74,71,61,71,70,76,59,0
78,67,67,65,61,63,66,67,59,0
75,67,61,63,66,59,61,67,58,0
72,74,64,63,58,65,69,77,64,0
78,78,68,69,65,66,67,72,59,0
69,64,68,68,62,66,70,77,65,0
84,57,62,64,62,60,64,77,65,0
76,62,67,73,58,64,68,72,56,0
60,64,67,71,62,72,73,71,49,0
70,71,70,71,58,68,71,79,66,0
68,60,70,72,67,72,71,72,59,0
71,68,68,68,59,65,66,74,55,0
72,68,72,75,65,66,67,72,58,0
78,65,61,65,63,67,67,72,64,0
72,62,74,68,70,68,64,66,59,0
67,64,56,61,66,62,58,64,58,0
78,61,68,76,65,67,63,77,57,0
70,58,69,66,64,63,65,80,67,0
74,82,69,72,60,66,66,72,58,0
80,66,69,68,63,66,63,78,66,0
72,58,63,69,64,66,67,71,54,0
71,70,71,77,56,62,64,68,56,0
75,61,64,69,64,61,64,75,68,0
72,69,70,69,63,64,69,75,44,0
66,57,70,68,65,69,65,69,59,0
