"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	0.98	44	79.6959044037528	-Inf	12017.9664765269	12017.9664765269	21	44	44
2	0.96	44	79.6959044037528	-Inf	12017.9664765269	11163.0800721842	24	44	28
3	0.94	44	79.6959044037528	-Inf	12017.9664765269	11855.5825934584	27	44	31
4	0.92	44	80.7470043898865	-Inf	12717.9543110614	12717.9543110614	32	40	40
5	0.9	44	80.7470043898865	-Inf	12717.9543110614	12668.5309070272	33	40	38
6	0.88	44	81.6819043488635	-Inf	12988.3241950521	12988.3241950521	36	29	29
7	0.86	44	81.6819043488635	-Inf	12988.3241950521	11206.6381897824	30	29	29
8	0.84	44	80.2441194967304	-Inf	13903.5022323612	13903.5022323612	33	37	37
9	0.82	44	80.2441194967304	-Inf	13903.5022323612	13625.4508488206	26	37	20
10	0.8	44	80.2441194967304	-Inf	13903.5022323612	12204.3956629811	28	37	34
11	0.78	44	80.2441194967304	-Inf	13903.5022323612	12346.2252746959	28	37	29
12	0.76	44	80.2441194967304	-Inf	13903.5022323612	11338.992351363	31	37	34
13	0.74	44	80.2441194967304	-Inf	13903.5022323612	13122.2734850971	29	37	29
14	0.72	44	80.2441194967304	-Inf	13903.5022323612	-1e+21	33	37	34
15	0.7	44	80.2441194967304	-Inf	13903.5022323612	12340.027520092	29	37	33
16	0.68	44	80.2441194967304	-Inf	13903.5022323612	13252.7183415041	27	37	25
17	0.66	44	80.2441194967304	-Inf	13903.5022323612	12573.3198560463	26	37	34
18	0.64	44	80.2441194967304	-Inf	13903.5022323612	13092.994256435	28	37	28
19	0.62	44	80.2441194967304	-Inf	13903.5022323612	12553.9619702821	29	37	34
