"V2","V5","V12","V19","V24","V29","V40","V41","Class"
59,67,72,55,72,54,72,62,1
72,67,70,75,74,70,69,73,1
71,64,72,71,54,68,64,55,1
69,78,66,55,74,54,72,73,1
70,66,62,75,73,40,70,64,1
57,75,72,55,77,55,79,77,1
69,75,66,77,71,65,69,68,1
61,62,76,70,65,59,60,58,1
65,68,73,62,80,36,77,79,1
74,79,78,50,61,49,62,67,1
70,62,73,75,56,69,64,76,1
67,77,76,73,76,51,65,61,1
76,73,79,68,75,67,75,65,1
70,66,71,76,72,50,74,68,1
78,74,73,68,60,67,71,62,1
67,65,68,62,68,60,74,60,1
70,66,81,59,76,41,65,44,1
63,72,68,54,72,53,77,67,1
62,57,74,66,71,66,76,67,1
80,77,73,68,70,69,74,71,1
63,55,63,66,70,71,70,69,1
70,62,66,71,69,70,73,72,1
61,62,64,76,69,71,69,70,1
70,58,46,37,66,31,31,30,1
75,51,11,77,65,66,64,54,1
77,68,76,74,69,54,71,67,1
75,79,73,69,69,60,73,61,1
78,72,65,65,68,63,62,67,1
69,74,72,62,74,62,64,59,1
72,67,75,68,69,68,56,52,1
64,75,62,69,62,63,64,65,1
72,62,76,52,57,57,53,43,1
79,63,73,71,52,59,70,74,1
66,72,76,74,55,73,46,58,1
65,72,70,76,69,56,63,65,1
71,74,75,74,69,61,64,60,1
70,68,50,73,67,64,70,71,1
73,74,75,56,47,50,57,72,1
68,78,73,63,53,54,58,64,1
68,68,80,68,69,44,74,67,1
62,70,68,74,69,67,71,71,0
62,70,69,75,70,68,73,77,0
59,67,77,66,80,66,81,75,0
75,77,74,70,72,69,70,73,0
77,77,66,73,76,61,73,76,0
68,80,75,67,70,60,73,70,0
76,76,78,66,58,70,78,68,0
61,68,71,73,64,65,74,71,0
67,74,75,65,74,63,76,75,0
71,74,71,68,67,67,83,76,0
64,69,69,76,79,79,71,74,0
76,78,67,67,74,52,77,75,0
74,75,75,69,71,67,66,69,0
65,76,74,62,69,59,69,74,0
59,76,75,67,70,68,65,72,0
76,69,73,70,69,60,73,76,0
71,78,72,67,73,67,77,67,0
80,75,76,75,68,67,69,67,0
68,72,61,77,74,74,77,77,0
67,78,59,68,71,78,69,72,0
72,69,73,77,64,64,74,77,0
62,84,71,67,70,57,72,77,0
69,76,75,70,56,62,70,72,0
59,60,64,70,72,64,64,71,0
66,70,68,69,71,71,77,79,0
62,68,63,68,65,60,70,72,0
71,71,69,71,78,68,78,74,0
63,72,70,73,68,68,72,72,0
74,78,73,68,68,65,63,72,0
69,72,64,58,78,62,69,66,0
70,67,69,68,64,64,75,64,0
65,78,71,62,72,61,67,77,0
64,70,64,63,79,58,75,80,0
70,74,74,72,76,82,73,72,0
72,80,72,69,80,66,81,78,0
70,72,73,64,70,58,70,71,0
59,71,77,64,71,70,71,68,0
67,75,74,69,62,61,68,75,0
68,72,71,68,73,69,73,75,0
66,66,68,69,65,57,67,69,0
