"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	0.98	44	78.4091550285312	-Inf	11384.5769198214	11384.5769198214	25	44	44
2	0.96	44	78.4091550285312	-Inf	11384.5769198214	11368.8730045169	24	44	26
3	0.94	44	80.1288614216834	-Inf	12600.0687863973	12600.0687863973	29	28	28
4	0.92	44	80.1288614216834	-Inf	12600.0687863973	11538.7320953012	31	28	29
5	0.9	44	80.1288614216834	-Inf	12600.0687863973	12424.6633776083	27	28	31
6	0.88	44	80.1288614216834	-Inf	12600.0687863973	12120.8485758701	23	28	23
7	0.86	44	79.8393648098249	-Inf	13734.1029565875	13734.1029565875	22	30	30
8	0.84	44	79.8393648098249	-Inf	13734.1029565875	11858.6062185591	26	30	26
9	0.82	44	79.8393648098249	-Inf	13734.1029565875	12570.8056540655	28	30	26
10	0.8	44	79.8393648098249	-Inf	13734.1029565875	11803.7195513809	18	30	26
11	0.78	44	79.8393648098249	-Inf	13734.1029565875	11762.8876236367	27	30	29
12	0.76	44	79.8393648098249	-Inf	13734.1029565875	11137.7034692549	23	30	29
13	0.74	44	79.8393648098249	-Inf	13734.1029565875	-1e+21	24	30	24
14	0.72	44	79.8393648098249	-Inf	13734.1029565875	11895.8033339132	29	30	22
15	0.7	44	79.8393648098249	-Inf	13734.1029565875	13586.4941021374	25	30	24
16	0.68	44	79.8393648098249	-Inf	13734.1029565875	13290.6815837524	27	30	27
17	0.66	44	79.8393648098249	-Inf	13734.1029565875	13667.3063404629	27	30	27
18	0.64	44	79.8393648098249	-Inf	13734.1029565875	11600.7734603909	23	30	27
