"V5","V11","V13","V29","V41","Class"
67,52,71,54,62,1
67,63,70,70,73,1
64,69,71,68,55,1
78,59,69,54,73,1
66,68,71,40,64,1
75,61,74,55,77,1
75,70,69,65,68,1
62,68,70,59,58,1
68,56,72,36,79,1
79,64,74,49,67,1
62,69,68,69,76,1
77,67,72,51,61,1
73,70,73,67,65,1
66,67,71,50,68,1
74,67,73,67,62,1
65,56,67,60,60,1
66,52,58,41,44,1
72,53,71,53,67,1
57,59,66,66,67,1
77,61,73,69,71,1
55,48,60,71,69,1
62,61,61,70,72,1
62,57,71,71,70,1
58,30,55,31,30,1
51,55,12,66,54,1
68,71,77,54,67,1
79,66,77,60,61,1
72,64,76,63,67,1
74,57,71,62,59,1
67,67,76,68,52,1
75,60,68,63,65,1
62,49,75,57,43,1
63,71,78,59,74,1
72,73,75,73,58,1
72,74,76,56,65,1
74,75,74,61,60,1
68,67,53,64,71,1
74,48,78,50,72,1
78,71,77,54,64,1
68,72,77,44,67,1
70,66,68,67,71,0
70,70,73,68,77,0
67,65,73,66,75,0
77,66,73,69,73,0
77,68,66,61,76,0
80,64,80,60,70,0
76,69,79,70,68,0
68,75,81,65,71,0
74,64,78,63,75,0
74,78,78,67,76,0
69,66,68,79,74,0
78,65,70,52,75,0
75,74,79,67,69,0
76,64,73,59,74,0
76,67,76,68,72,0
69,65,66,60,76,0
78,68,75,67,67,0
75,77,78,67,67,0
72,63,62,74,77,0
78,59,76,78,72,0
69,70,78,64,77,0
84,57,70,57,77,0
76,75,76,62,72,0
60,67,65,64,71,0
70,62,68,71,79,0
68,62,68,60,72,0
71,66,79,68,74,0
72,56,75,68,72,0
78,71,76,65,72,0
72,56,62,62,66,0
67,64,65,64,64,0
78,69,73,61,77,0
70,57,64,58,80,0
74,69,72,82,72,0
80,56,70,66,78,0
72,67,76,58,71,0
71,62,61,70,68,0
75,62,75,61,75,0
72,66,69,69,75,0
66,62,66,57,69,0
