"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	0.995	44	78.5828584949879	-Inf	10209.9685478448	10209.9685478448	25	44	44
2	0.99	44	80.8829834359177	-Inf	12378.8338120641	12378.8338120641	24	18	18
3	0.985	44	80.8829834359177	-Inf	12378.8338120641	11794.3371485267	24	18	24
4	0.98	44	83.0018186069712	-Inf	14606.5298421188	14606.5298421188	24	16	16
5	0.975	44	83.0018186069712	-Inf	14606.5298421188	11867.5146614813	20	16	18
6	0.97	44	83.0018186069712	-Inf	14606.5298421188	12911.4448243548	17	16	21
7	0.965	44	83.0018186069712	-Inf	14606.5298421188	13282.4552995741	26	16	24
8	0.96	44	82.377900030964	-Inf	15136.7023434954	15136.7023434954	18	15	15
9	0.955	44	82.377900030964	-Inf	15136.7023434954	13853.5614110811	21	15	17
10	0.95	44	82.377900030964	-Inf	15136.7023434954	13589.5393331079	17	15	16
11	0.945	44	82.377900030964	-Inf	15136.7023434954	14744.5081707405	21	15	15
12	0.94	44	82.377900030964	-Inf	15136.7023434954	13851.7437579044	21	15	18
13	0.935	44	82.2641867416272	-Inf	16290.4735475815	16290.4735475815	22	19	19
14	0.93	44	82.2641867416272	-Inf	16290.4735475815	15340.1924084475	15	19	19
15	0.925	44	82.2641867416272	-Inf	16290.4735475815	14166.8016326191	19	19	13
16	0.92	44	82.2641867416272	-Inf	16290.4735475815	13287.2265118235	18	19	18
17	0.915	44	82.2641867416272	-Inf	16290.4735475815	14749.6390554351	20	19	17
18	0.91	44	82.2641867416272	-Inf	16290.4735475815	14848.2890235519	18	19	19
19	0.905	44	82.2641867416272	-Inf	16290.4735475815	-1e+21	17	19	18
20	0.9	44	82.2641867416272	-Inf	16290.4735475815	13554.6687389525	20	19	17
21	0.895	44	82.2641867416272	-Inf	16290.4735475815	14446.6774920746	19	19	23
22	0.89	44	82.2641867416272	-Inf	16290.4735475815	13701.528046128	15	19	20
23	0.885	44	82.2641867416272	-Inf	16290.4735475815	13255.0097616021	20	19	20
24	0.88	44	82.2641867416272	-Inf	16290.4735475815	13798.5918334353	22	19	19
25	0.875	44	87.8208443432752	-Inf	17915.5201492198	17915.5201492198	19	18	18
26	0.87	44	87.8208443432752	-Inf	17915.5201492198	14934.1238235955	22	18	16
27	0.865	44	87.8208443432752	-Inf	17915.5201492198	13166.3987658647	21	18	19
28	0.86	44	87.8208443432752	-Inf	17915.5201492198	14398.8436450438	21	18	19
29	0.855	44	87.8208443432752	-Inf	17915.5201492198	12704.563794236	23	18	23
30	0.85	44	87.8208443432752	-Inf	17915.5201492198	13635.1864237736	20	18	17
31	0.845	44	87.8208443432752	-Inf	17915.5201492198	-1e+21	16	18	18
32	0.84	44	87.8208443432752	-Inf	17915.5201492198	14678.8163222699	22	18	19
33	0.835	44	87.8208443432752	-Inf	17915.5201492198	14146.511639981	24	18	20
34	0.83	44	87.8208443432752	-Inf	17915.5201492198	12613.7277213906	21	18	21
35	0.825	44	87.8208443432752	-Inf	17915.5201492198	14689.7928703599	24	18	18
36	0.82	44	87.8208443432752	-Inf	17915.5201492198	15414.6093135212	25	18	15
37	0.815	44	87.8208443432752	-Inf	17915.5201492198	-1e+21	19	18	22
38	0.81	44	87.8208443432752	-Inf	17915.5201492198	13973.9540761595	22	18	19
39	0.805	44	87.8208443432752	-Inf	17915.5201492198	13802.2382439326	20	18	21
40	0.8	44	87.8208443432752	-Inf	17915.5201492198	13744.7185093629	21	18	24
41	0.795	44	87.8208443432752	-Inf	17915.5201492198	14989.1371386443	17	18	18
42	0.79	44	87.8208443432752	-Inf	17915.5201492198	15287.1043628677	22	18	17
43	0.785	44	87.8208443432752	-Inf	17915.5201492198	-1e+21	16	18	24
44	0.78	44	87.8208443432752	-Inf	17915.5201492198	14969.4536367071	20	18	17
