"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	0.98	44	79.868111905473	-Inf	11121.4303056639	11121.4303056639	25	44	44
2	0.96	44	78.7244656671746	-Inf	11299.9922752495	11299.9922752495	14	20	20
3	0.94	44	81.762000970385	-Inf	12341.0569403264	12341.0569403264	25	24	24
4	0.92	44	81.762000970385	-Inf	12341.0569403264	11080.86487873	13	24	21
5	0.9	44	81.4106890699597	-Inf	13867.0262596447	13867.0262596447	30	28	28
6	0.88	44	81.4106890699597	-Inf	13867.0262596447	12450.0510351479	28	28	29
7	0.86	44	81.4106890699597	-Inf	13867.0262596447	12763.1929743962	37	28	35
8	0.84	44	81.4106890699597	-Inf	13867.0262596447	13145.9039856988	32	28	29
9	0.82	44	81.4106890699597	-Inf	13867.0262596447	13576.8204389854	26	28	32
10	0.8	44	81.4106890699597	-Inf	13867.0262596447	11670.2322836777	25	28	19
11	0.78	44	81.4106890699597	-Inf	13867.0262596447	-1e+21	27	28	32
12	0.76	44	84.2272344659549	-Inf	15401.78299309	15401.78299309	30	23	23
13	0.74	44	84.2272344659549	-Inf	15401.78299309	12653.3272877681	25	23	24
14	0.72	44	84.2272344659549	-Inf	15401.78299309	12324.0737257276	24	23	26
15	0.7	44	84.2272344659549	-Inf	15401.78299309	13221.1378554189	21	23	19
16	0.68	44	84.2272344659549	-Inf	15401.78299309	13476.9777805928	22	23	27
17	0.66	44	84.2272344659549	-Inf	15401.78299309	10747.9847145323	28	23	23
18	0.64	44	84.2272344659549	-Inf	15401.78299309	-1e+21	18	23	23
19	0.62	44	84.2272344659549	-Inf	15401.78299309	13706.7876619904	26	23	25
20	0.6	44	84.643556798657	-Inf	15582.7363118272	15582.7363118272	22	29	29
21	0.58	44	84.643556798657	-Inf	15582.7363118272	13924.4562221598	25	29	24
22	0.56	44	84.643556798657	-Inf	15582.7363118272	11901.6956147557	22	29	27
23	0.54	44	84.643556798657	-Inf	15582.7363118272	11157.4451079006	13	29	30
24	0.52	44	84.643556798657	-Inf	15582.7363118272	12335.9577539583	29	29	19
25	0.5	44	84.643556798657	-Inf	15582.7363118272	12409.8219773262	25	29	28
26	0.48	44	84.643556798657	-Inf	15582.7363118272	-1e+21	24	29	19
27	0.46	44	82.6261182610772	-Inf	16708.2208775345	16708.2208775345	19	28	28
28	0.44	44	82.6261182610772	-Inf	16708.2208775345	12110.9728691493	15	28	21
29	0.42	44	82.6261182610772	-Inf	16708.2208775345	13195.513276182	27	28	27
30	0.4	44	82.6261182610772	-Inf	16708.2208775345	13785.5591697468	21	28	30
31	0.38	44	82.6261182610772	-Inf	16708.2208775345	12178.2322807166	29	28	22
32	0.36	44	82.6261182610772	-Inf	16708.2208775345	13875.5161307311	19	28	29
33	0.34	44	82.6261182610772	-Inf	16708.2208775345	-1e+21	22	28	26
34	0.32	44	82.6261182610772	-Inf	16708.2208775345	13787.2612957504	25	28	22
35	0.3	44	82.6261182610772	-Inf	16708.2208775345	14117.6500079282	22	28	27
36	0.28	44	82.6261182610772	-Inf	16708.2208775345	12729.3976295601	23	28	21
37	0.26	44	82.6261182610772	-Inf	16708.2208775345	12277.7308873926	25	28	25
38	0.24	44	82.6261182610772	-Inf	16708.2208775345	13213.2070641522	23	28	17
39	0.22	44	82.6261182610772	-Inf	16708.2208775345	-1e+21	17	28	22
40	0.2	44	82.6261182610772	-Inf	16708.2208775345	12138.5234255527	22	28	24
41	0.18	44	82.6261182610772	-Inf	16708.2208775345	11193.4813342907	24	28	29
42	0.16	44	82.6261182610772	-Inf	16708.2208775345	12227.8636399863	26	28	23
43	0.14	44	82.6261182610772	-Inf	16708.2208775345	11625.849310032	26	28	24
44	0.12	44	82.6261182610772	-Inf	16708.2208775345	12054.3351550587	16	28	29
45	0.1	44	82.6261182610772	-Inf	16708.2208775345	-1e+21	25	28	26
46	0.0800000000000001	44	82.6261182610772	-Inf	16708.2208775345	12918.1856542391	20	28	22
47	0.0600000000000001	44	82.6261182610772	-Inf	16708.2208775345	12793.5928483642	24	28	26
48	0.04	44	82.6261182610772	-Inf	16708.2208775345	10685.3690337889	28	28	17
49	0.02	44	82.6261182610772	-Inf	16708.2208775345	12322.0481494463	28	28	27
50	0	44	82.6261182610772	-Inf	16708.2208775345	11876.9401766977	22	28	21
51	-0.02	44	82.6261182610772	-Inf	16708.2208775345	-1e+21	23	28	22
52	-0.04	44	82.6261182610772	-Inf	16708.2208775345	12811.8369033818	24	28	21
53	-0.0600000000000001	44	82.6261182610772	-Inf	16708.2208775345	12049.4602432449	25	28	24
54	-0.08	44	82.6261182610772	-Inf	16708.2208775345	12929.1111487878	21	28	24
55	-0.1	44	82.6261182610772	-Inf	16708.2208775345	12885.9027749803	30	28	20
56	-0.12	44	82.6261182610772	-Inf	16708.2208775345	11934.6968670417	23	28	24
57	-0.14	44	82.6261182610772	-Inf	16708.2208775345	-1e+21	20	28	19
58	-0.16	44	82.6261182610772	-Inf	16708.2208775345	13449.705125579	25	28	22
59	-0.18	44	82.6261182610772	-Inf	16708.2208775345	13141.5994444238	21	28	23
60	-0.2	44	82.6261182610772	-Inf	16708.2208775345	14136.8866466968	23	28	26
61	-0.22	44	82.6261182610772	-Inf	16708.2208775345	12007.4683125313	23	28	22
62	-0.24	44	82.6261182610772	-Inf	16708.2208775345	13203.8240712904	24	28	28
63	-0.26	44	82.6261182610772	-Inf	16708.2208775345	-1e+21	27	28	24
64	-0.28	44	82.6261182610772	-Inf	16708.2208775345	11595.1221678584	20	28	27
65	-0.3	44	82.6261182610772	-Inf	16708.2208775345	11755.8992035142	22	28	27
66	-0.32	44	82.6261182610772	-Inf	16708.2208775345	11351.9689818277	22	28	27
67	-0.34	44	82.6261182610772	-Inf	16708.2208775345	13368.2834316547	17	28	22
68	-0.36	44	82.6261182610772	-Inf	16708.2208775345	12748.1286752018	17	28	27
69	-0.38	44	82.6261182610772	-Inf	16708.2208775345	-1e+21	17	28	22
70	-0.4	44	82.6261182610772	-Inf	16708.2208775345	11663.9294311688	28	28	22
71	-0.42	44	82.6261182610772	-Inf	16708.2208775345	13393.0322031068	28	28	23
