"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	0.98	44	71.1995749402412	-Inf	2176.02776285669	2176.02776285669	22	44	1320
2	0.96	44	81.3997006835619	-Inf	7914.89347225997	7914.89347225997	27	26	26
3	0.94	44	79.6485099915389	-Inf	7989.28156135682	7989.28156135682	24	26	26
4	0.92	44	85.0562780503468	-Inf	11557.9567119558	11557.9567119558	21	27	27
5	0.9	44	85.0562780503468	-Inf	11557.9567119558	10628.1333704507	20	27	23
6	0.88	44	85.0562780503468	-Inf	11557.9567119558	7681.88396735854	35	27	27
7	0.86	44	85.6166241641499	-Inf	13201.3414149406	13201.3414149406	29	23	23
8	0.84	44	85.6166241641499	-Inf	13201.3414149406	8415.6147953533	25	23	28
9	0.82	44	85.6166241641499	-Inf	13201.3414149406	11407.8684833965	19	23	27
10	0.8	44	85.6166241641499	-Inf	13201.3414149406	11830.0823808085	30	23	23
11	0.78	44	85.6166241641499	-Inf	13201.3414149406	13113.014735153	24	23	22
12	0.76	44	82.6938309099199	-Inf	16190.4447664499	16190.4447664499	18	20	20
13	0.74	44	82.6938309099199	-Inf	16190.4447664499	11903.2228733226	23	20	24
14	0.72	44	82.6938309099199	-Inf	16190.4447664499	11061.6768979033	31	20	25
15	0.7	44	82.6938309099199	-Inf	16190.4447664499	10641.4430215607	20	20	21
16	0.68	44	82.6938309099199	-Inf	16190.4447664499	8474.4243615358	16	20	18
17	0.66	44	82.6938309099199	-Inf	16190.4447664499	13063.0813952054	29	20	22
18	0.64	44	82.6938309099199	-Inf	16190.4447664499	-1e+21	25	20	28
19	0.62	44	82.6938309099199	-Inf	16190.4447664499	13643.3826737038	25	20	23
20	0.6	44	82.6938309099199	-Inf	16190.4447664499	10516.3505070075	29	20	20
21	0.58	44	82.6938309099199	-Inf	16190.4447664499	10010.4328273585	25	20	29
22	0.56	44	82.6938309099199	-Inf	16190.4447664499	10535.2411747476	22	20	18
23	0.54	44	82.6938309099199	-Inf	16190.4447664499	11527.2754865502	18	20	27
24	0.52	44	82.6938309099199	-Inf	16190.4447664499	-1e+21	29	20	19
25	0.5	44	82.6938309099199	-Inf	16190.4447664499	12034.1169463785	27	20	32
26	0.48	44	82.6938309099199	-Inf	16190.4447664499	11917.9490824936	17	20	18
27	0.46	44	82.6938309099199	-Inf	16190.4447664499	9127.77839788603	31	20	30
28	0.44	44	82.6938309099199	-Inf	16190.4447664499	13503.7746792854	28	20	22
29	0.42	44	82.6938309099199	-Inf	16190.4447664499	11274.7106186522	16	20	23
30	0.4	44	82.6938309099199	-Inf	16190.4447664499	-1e+21	26	20	25
31	0.38	44	82.6938309099199	-Inf	16190.4447664499	10536.540953921	20	20	24
32	0.36	44	82.6938309099199	-Inf	16190.4447664499	15286.2662002603	22	20	24
33	0.34	44	82.6938309099199	-Inf	16190.4447664499	10849.8568553566	20	20	25
34	0.32	44	82.6938309099199	-Inf	16190.4447664499	14624.552051087	30	20	16
35	0.3	44	82.6938309099199	-Inf	16190.4447664499	11897.8303146397	24	20	26
36	0.28	44	82.6938309099199	-Inf	16190.4447664499	-1e+21	25	20	24
37	0.26	44	82.6938309099199	-Inf	16190.4447664499	12700.5656747902	21	20	22
38	0.24	44	82.6938309099199	-Inf	16190.4447664499	10360.3911434927	22	20	19
39	0.22	44	82.6938309099199	-Inf	16190.4447664499	12051.5296438907	26	20	22
40	0.2	44	82.6938309099199	-Inf	16190.4447664499	10968.2249543012	24	20	21
41	0.18	44	82.6938309099199	-Inf	16190.4447664499	9852.8670388653	27	20	23
42	0.16	44	82.6938309099199	-Inf	16190.4447664499	-1e+21	24	20	21
43	0.14	44	82.6938309099199	-Inf	16190.4447664499	10177.3691243603	21	20	24
44	0.12	44	82.6938309099199	-Inf	16190.4447664499	7811.20807966234	25	20	14
45	0.1	44	82.6938309099199	-Inf	16190.4447664499	9337.34805396348	20	20	21
46	0.0800000000000001	44	82.6938309099199	-Inf	16190.4447664499	11445.7609602529	21	20	24
47	0.0600000000000001	44	82.6938309099199	-Inf	16190.4447664499	9863.28521511731	21	20	25
