"V4","V5","V7","V8","V10","V11","V13","V16","V18","V21","V23","V25","V27","V29","V30","V31","V32","V34","V36","V38","V40","V41","V42","V44","Class"
70,67,66,72,58,52,71,66,67,57,66,74,64,54,67,54,76,65,66,62,72,62,74,64,1
69,67,82,74,69,63,70,70,72,65,78,79,69,70,71,69,72,62,65,63,69,73,67,56,1
70,64,64,79,70,69,71,61,73,74,74,47,37,68,72,59,72,60,73,66,64,55,61,51,1
70,78,63,67,59,59,69,65,60,59,66,74,60,54,70,73,69,62,61,66,72,73,68,59,1
61,66,58,69,72,68,71,63,74,69,77,70,37,40,58,46,75,65,67,70,70,64,60,49,1
68,75,74,73,57,61,74,61,60,62,70,71,63,55,61,68,75,63,63,69,79,77,72,61,1
62,75,71,72,69,70,69,66,71,61,67,69,57,65,68,65,76,63,69,72,69,68,70,63,1
60,62,72,68,74,68,70,76,74,66,62,60,65,59,64,59,72,55,66,66,60,58,60,49,1
67,68,67,71,64,56,72,56,67,66,76,78,47,36,68,65,74,60,67,74,77,79,68,59,1
72,79,61,76,65,64,74,48,62,63,70,57,36,49,55,65,74,58,64,73,62,67,60,53,1
60,62,60,71,69,69,68,69,76,64,74,60,44,69,68,68,74,61,68,64,64,76,64,54,1
65,77,70,72,72,67,72,74,74,61,70,73,70,51,70,68,79,75,72,69,65,61,73,64,1
78,73,67,75,77,70,73,74,76,79,78,76,76,67,67,57,68,50,62,47,75,65,74,51,1
67,66,60,76,70,67,71,70,77,54,65,67,52,50,67,61,74,67,68,73,74,68,77,65,1
68,74,69,63,68,67,73,64,66,66,71,62,66,67,66,62,74,61,63,68,71,62,69,61,1
73,65,56,72,64,56,67,70,68,59,69,59,55,60,70,60,72,58,66,71,74,60,76,62,1
66,66,46,74,68,52,58,68,73,51,57,54,30,41,59,59,67,62,60,65,65,44,73,51,1
69,72,62,65,68,53,71,64,61,61,67,68,55,53,66,60,76,73,66,75,77,67,78,64,1
66,57,75,68,65,59,66,67,66,72,74,63,72,66,66,61,73,59,63,73,76,67,77,62,1
82,77,74,73,64,61,73,62,66,61,75,75,64,69,66,66,70,62,60,67,74,71,66,59,1
66,55,58,69,44,48,60,73,58,63,74,72,75,71,71,67,75,60,71,65,70,69,71,58,1
65,62,67,77,62,61,61,64,71,70,78,70,65,70,49,48,73,65,73,75,73,72,73,65,1
58,62,60,67,61,57,71,66,73,75,84,71,69,71,49,43,59,56,64,70,69,70,65,65,1
