"V4","V5","V10","V12","V13","V17","V19","V20","V23","V25","V26","V29","V30","V31","V32","V34","V35","V36","V37","V40","V41","V42","V44","Class"
70,67,58,72,71,65,55,61,66,74,63,54,67,54,76,65,67,66,56,72,62,74,64,1
69,67,69,70,70,71,75,66,78,79,74,70,71,69,72,62,65,65,71,69,73,67,56,1
70,64,70,72,71,61,71,75,74,47,53,68,72,59,72,60,60,73,70,64,55,61,51,1
70,78,59,66,69,58,55,62,66,74,64,54,70,73,69,62,64,61,61,72,73,68,59,1
61,66,72,62,71,59,75,70,77,70,41,40,58,46,75,65,66,67,69,70,64,60,49,1
68,75,57,72,74,58,55,71,70,71,65,55,61,68,75,63,64,63,58,79,77,72,61,1
62,75,69,66,69,64,77,65,67,69,65,65,68,65,76,63,64,69,70,69,68,70,63,1
60,62,74,76,70,74,70,75,62,60,66,59,64,59,72,55,56,66,66,60,58,60,49,1
67,68,64,73,72,57,62,74,76,78,53,36,68,65,74,60,60,67,63,77,79,68,59,1
72,79,65,78,74,36,50,67,70,57,52,49,55,65,74,58,60,64,62,62,67,60,53,1
60,62,69,73,68,65,75,63,74,60,54,69,68,68,74,61,59,68,67,64,76,64,54,1
65,77,72,76,72,71,73,69,70,73,70,51,70,68,79,75,68,72,71,65,61,73,64,1
78,73,77,79,73,71,68,81,78,76,66,67,67,57,68,50,62,62,59,75,65,74,51,1
67,66,70,71,71,64,76,63,65,67,59,50,67,61,74,67,59,68,66,74,68,77,65,1
68,74,68,73,73,67,68,61,71,62,64,67,66,62,74,61,61,63,66,71,62,69,61,1
73,65,64,68,67,58,62,65,69,59,64,60,70,60,72,58,51,66,59,74,60,76,62,1
66,66,68,81,58,32,59,76,57,54,58,41,59,59,67,62,55,60,55,65,44,73,51,1
69,72,68,68,71,58,54,70,67,68,57,53,66,60,76,73,66,66,58,77,67,78,64,1
66,57,65,74,66,69,66,71,74,63,62,66,66,61,73,59,59,63,62,76,67,77,62,1
82,77,64,73,73,66,68,63,75,75,59,69,66,66,70,62,62,60,65,74,71,66,59,1
66,55,44,63,60,73,66,68,74,72,77,71,71,67,75,60,59,71,70,70,69,71,58,1
65,62,62,66,61,62,71,74,78,70,67,70,49,48,73,65,73,73,73,73,72,73,65,1
58,62,61,64,71,62,76,71,84,71,69,71,49,43,59,56,61,64,72,69,70,65,65,1
52,58,26,46,55,40,37,35,52,72,23,31,17,20,49,61,70,31,13,31,30,57,41,1
54,51,46,11,12,60,77,46,59,73,54,66,54,41,53,58,63,72,65,64,54,36,45,1
62,68,77,76,77,57,74,61,76,68,56,54,69,70,73,65,70,66,68,71,67,60,53,1
75,79,69,73,77,58,69,67,68,65,58,60,67,66,75,63,66,68,64,73,61,52,34,1
71,72,70,65,76,57,65,73,80,66,59,63,62,59,71,59,60,64,61,62,67,44,44,1
75,74,61,72,71,68,62,62,67,78,64,62,64,63,75,66,67,69,65,64,59,74,63,1
75,67,61,75,76,56,68,68,75,67,68,68,48,47,74,63,75,62,62,56,52,69,59,1
70,75,59,62,68,72,69,61,60,66,69,63,67,65,62,52,51,67,66,64,65,71,57,1
68,62,57,76,75,37,52,57,78,55,35,57,41,35,67,75,72,53,46,53,43,38,32,1
66,63,72,73,78,62,71,68,71,48,23,59,66,66,72,56,58,67,63,70,74,34,11,1
75,72,67,76,75,57,74,56,78,50,37,73,61,61,73,61,63,67,66,46,58,35,24,1
71,72,70,70,76,71,76,72,80,68,57,56,62,68,75,65,61,69,73,63,65,65,53,1
76,74,69,75,74,69,74,74,78,72,69,61,59,70,72,61,66,70,71,64,60,72,55,1
66,68,68,50,53,63,73,80,82,71,52,64,66,67,66,58,62,65,65,70,71,67,52,1
68,74,54,75,78,19,56,56,79,53,19,50,67,71,63,49,48,66,65,57,72,31,15,1
79,78,64,73,77,57,63,52,74,72,36,54,49,56,73,65,80,53,60,58,64,52,49,1
