"Iteration #"	"Inertia"	"Number of features"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	44	-30574.8857621697	-30574.8857621697	22	44	44
2	1	44	-1269.67265268979	-1269.67265268979	26	22	22
3	1	44	7245.68965220469	7245.68965220469	23	18	18
4	1	44	8016.66506617381	8016.66506617381	27	22	22
5	1	44	9814.4390824811	9814.4390824811	29	15	15
6	1	44	9814.4390824811	9526.19051551119	21	15	22
7	1	44	9814.4390824811	9339.6098641177	26	15	25
8	1	44	9814.4390824811	9488.95781970924	13	15	14
9	1	44	13979.8278764449	13979.8278764449	16	13	13
10	1	44	13979.8278764449	11660.0203308743	16	13	12
11	1	44	13979.8278764449	10726.6144152341	18	13	18
12	1	44	13979.8278764449	12913.242367698	13	13	16
13	1	44	13979.8278764449	10880.6863360334	17	13	11
14	1	44	13979.8278764449	13841.8997455291	8	13	11
15	1	44	13979.8278764449	-1e+21	17	13	16
16	1	44	13979.8278764449	13488.7184665244	19	13	20
17	1	44	13979.8278764449	12132.5252533114	19	13	16
18	1	44	13979.8278764449	11864.9210680189	13	13	17
19	1	44	13979.8278764449	13632.0034054383	15	13	17
20	1	44	15134.6920256705	15134.6920256705	18	15	15
21	1	44	15134.6920256705	12933.0773265468	16	15	20
22	1	44	15134.6920256705	11680.5709652322	25	15	24
23	1	44	15134.6920256705	13916.1543209223	16	15	14
24	1	44	15134.6920256705	12475.3757183138	20	15	19
25	1	44	15134.6920256705	11995.3624481186	16	15	19
26	1	44	15134.6920256705	-1e+21	17	15	15
27	1	44	15134.6920256705	14009.9290860204	33	15	29
28	1	44	15134.6920256705	13868.6011045768	19	15	16
29	1	44	15134.6920256705	13724.9914816347	17	15	16
30	1	44	15134.6920256705	13458.581031322	18	15	18
31	1	44	15134.6920256705	12221.6384877106	22	15	18
32	1	44	15134.6920256705	-1e+21	21	15	18
33	1	44	15134.6920256705	13185.4472863841	20	15	18
34	1	44	15271.0380463562	15271.0380463562	22	15	15
35	1	44	15271.0380463562	13821.5734108445	19	15	19
36	1	44	15271.0380463562	13479.5870888911	20	15	18
37	1	44	17229.8240015524	17229.8240015524	15	17	17
38	1	44	17229.8240015524	12849.927838892	14	17	14
39	1	44	17229.8240015524	12979.3556749229	22	17	22
40	1	44	17229.8240015524	13051.7812648619	17	17	16
41	1	44	17229.8240015524	12638.0793628964	18	17	16
42	1	44	17229.8240015524	13254.1315216731	26	17	17
43	1	44	17229.8240015524	-1e+21	34	17	32
44	1	44	17229.8240015524	15573.6431006154	20	17	21
45	1	44	17229.8240015524	13933.1670788594	21	17	18
46	1	44	17229.8240015524	12560.411308014	26	17	21
47	1	44	17229.8240015524	14656.18642327	20	17	19
48	1	44	17229.8240015524	13940.3571624358	20	17	17
49	1	44	17229.8240015524	-1e+21	19	17	17
50	1	44	17229.8240015524	15909.4513940899	20	17	23
51	1	44	17229.8240015524	13129.8254419908	12	17	13
52	1	44	17229.8240015524	14185.5494317733	19	17	18
53	1	44	17229.8240015524	13712.8389412229	25	17	24
54	1	44	17229.8240015524	15771.8835246792	23	17	20
55	1	44	17229.8240015524	-1e+21	15	17	13
56	1	44	17229.8240015524	13675.4985950626	22	17	26
57	1	44	17229.8240015524	15250.0984300208	19	17	16
58	1	44	17229.8240015524	15376.9576032418	20	17	23
59	1	44	17229.8240015524	14856.8087628577	24	17	24
60	1	44	17229.8240015524	13477.3933827607	28	17	30
61	1	44	17229.8240015524	-1e+21	18	17	16
62	1	44	17229.8240015524	14905.9122876687	16	17	16
63	1	44	17229.8240015524	16280.912021769	19	17	19
64	1	44	17229.8240015524	15139.4804484975	17	17	17
65	1	44	17685.7083588758	17685.7083588758	15	18	18
66	1	44	17685.7083588758	15432.0686394993	24	18	18
67	1	44	17685.7083588758	17000.7634261452	16	18	18
68	1	44	17685.7083588758	14249.0273555032	18	18	20
69	1	44	17685.7083588758	15959.3691027107	17	18	18
70	1	44	17685.7083588758	16256.3297303347	19	18	18
71	1	44	17685.7083588758	-1e+21	18	18	18
72	1	44	17685.7083588758	15297.0766970189	17	18	20
73	1	44	17685.7083588758	15908.3598880792	18	18	18
74	1	44	17685.7083588758	15204.0908504611	19	18	17
75	1	44	17685.7083588758	15786.832614138	19	18	23
76	1	44	17685.7083588758	15082.9189427949	22	18	25
77	1	44	17685.7083588758	-1e+21	22	18	22
78	1	44	17685.7083588758	15068.6994430899	20	18	17
79	1	44	17685.7083588758	15533.2922737898	17	18	21
80	1	44	17685.7083588758	15105.7708069695	17	18	20
81	1	44	17685.7083588758	15715.4607023015	15	18	12
82	1	44	17685.7083588758	15937.1753684379	20	18	23
83	1	44	17685.7083588758	-1e+21	20	18	22
84	1	44	17685.7083588758	15447.9768065289	21	18	18
85	1	44	17685.7083588758	14803.25300828	20	18	19
86	1	44	17685.7083588758	15446.625346887	22	18	23
87	1	44	17685.7083588758	15461.3837973197	18	18	18
88	1	44	17685.7083588758	15477.1499081782	21	18	20
89	1	44	17685.7083588758	-1e+21	22	18	19
90	1	44	17685.7083588758	15932.7303712551	27	18	22
91	1	44	17685.7083588758	15576.282670507	21	18	17
92	1	44	17685.7083588758	14694.0300780252	19	18	20
93	1	44	17685.7083588758	13729.9675272024	16	18	17
94	1	44	17685.7083588758	16284.4439955111	22	18	19
95	1	44	17685.7083588758	-1e+21	18	18	19
96	1	44	17685.7083588758	14023.4369094939	22	18	21
97	1	44	17685.7083588758	16555.461521823	21	18	20
98	1	44	17685.7083588758	15298.4232643912	18	18	19
99	1	44	17685.7083588758	16155.7363463325	16	18	16
100	1	44	17685.7083588758	15920.4451887263	22	18	19
101	1	44	17685.7083588758	-1e+21	24	18	22
102	1	44	17685.7083588758	16879.9505140581	20	18	19
103	1	44	18382.3023063008	18382.3023063008	17	20	20
104	1	44	18382.3023063008	16014.4996625157	20	20	20
105	1	44	18382.3023063008	15715.4788864494	20	20	22
106	1	44	18382.3023063008	16482.5018522871	21	20	21
