"V4","V5","V7","V9","V10","V11","V12","V13","V17","V18","V19","V20","V23","V24","V29","V32","V34","V35","V37","V38","V40","V41","V42","V45","Class"
70,67,66,61,58,52,72,71,65,67,55,61,66,72,54,76,65,67,56,62,72,62,74,67,1
69,67,82,65,69,63,70,70,71,72,75,66,78,74,70,72,62,65,71,63,69,73,67,58,1
70,64,64,65,70,69,72,71,61,73,71,75,74,54,68,72,60,60,70,66,64,55,61,46,1
70,78,63,65,59,59,66,69,58,60,55,62,66,74,54,69,62,64,61,66,72,73,68,63,1
61,66,58,69,72,68,62,71,59,74,75,70,77,73,40,75,65,66,69,70,70,64,60,41,1
68,75,74,71,57,61,72,74,58,60,55,71,70,77,55,75,63,64,58,69,79,77,72,65,1
62,75,71,76,69,70,66,69,64,71,77,65,67,71,65,76,63,64,70,72,69,68,70,59,1
60,62,72,67,74,68,76,70,74,74,70,75,62,65,59,72,55,56,66,66,60,58,60,52,1
67,68,67,71,64,56,73,72,57,67,62,74,76,80,36,74,60,60,63,74,77,79,68,56,1
72,79,61,66,65,64,78,74,36,62,50,67,70,61,49,74,58,60,62,73,62,67,60,46,1
60,62,60,77,69,69,73,68,65,76,75,63,74,56,69,74,61,59,67,64,64,76,64,49,1
65,77,70,72,72,67,76,72,71,74,73,69,70,76,51,79,75,68,71,69,65,61,73,67,1
78,73,67,70,77,70,79,73,71,76,68,81,78,75,67,68,50,62,59,47,75,65,74,48,1
67,66,60,77,70,67,71,71,64,77,76,63,65,72,50,74,67,59,66,73,74,68,77,62,1
68,74,69,74,68,67,73,73,67,66,68,61,71,60,67,74,61,61,66,68,71,62,69,59,1
73,65,56,63,64,56,68,67,58,68,62,65,69,68,60,72,58,51,59,71,74,60,76,56,1
66,66,46,58,68,52,81,58,32,73,59,76,57,76,41,67,62,55,55,65,65,44,73,28,1
69,72,62,57,68,53,68,71,58,61,54,70,67,72,53,76,73,66,58,75,77,67,78,58,1
66,57,75,59,65,59,74,66,69,66,66,71,74,71,66,73,59,59,62,73,76,67,77,58,1
82,77,74,77,64,61,73,73,66,66,68,63,75,70,69,70,62,62,65,67,74,71,66,62,1
66,55,58,74,44,48,63,60,73,58,66,68,74,70,71,75,60,59,70,65,70,69,71,61,1
65,62,67,74,62,61,66,61,62,71,71,74,78,69,70,73,65,73,73,75,73,72,73,64,1
58,62,60,75,61,57,64,71,62,73,76,71,84,69,71,59,56,61,72,70,69,70,65,62,1
52,58,89,72,26,30,46,55,40,39,37,35,52,66,31,49,61,70,13,40,31,30,57,57,1
54,51,50,69,46,55,11,12,60,73,77,46,59,65,66,53,58,63,65,33,64,54,36,52,1
62,68,58,68,77,71,76,77,57,77,74,61,76,69,54,73,65,70,68,67,71,67,60,57,1
75,79,68,77,69,66,73,77,58,69,69,67,68,69,60,75,63,66,64,72,73,61,52,37,1
71,72,71,74,70,64,65,76,57,65,65,73,80,68,63,71,59,60,61,77,62,67,44,30,1
75,74,72,72,61,57,72,71,68,68,62,62,67,74,62,75,66,67,65,62,64,59,74,67,1
75,67,59,63,61,67,75,76,56,69,68,68,75,69,68,74,63,75,62,64,56,52,69,73,1
70,75,71,71,59,60,62,68,72,69,69,61,60,62,63,62,52,51,66,61,64,65,71,63,1
