"Iteration #"	"Inertia"	"Number of features"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	44	-25359.3224706557	-25359.3224706557	21	44	44
2	1	44	-4161.09704303874	-4161.09704303874	22	21	21
3	1	44	-1632.31414695464	-1632.31414695464	19	17	17
4	1	44	2864.53259245434	2864.53259245434	14	16	16
5	1	44	2864.53259245434	2752.77041755788	23	16	18
6	1	44	2864.53259245434	2516.40756979311	22	16	17
7	1	44	5204.24731221622	5204.24731221622	25	20	20
8	1	44	10163.2342214425	10163.2342214425	14	8	8
9	1	44	10941.6059873093	10941.6059873093	16	18	18
10	1	44	13927.3308438748	13927.3308438748	20	14	14
11	1	44	13927.3308438748	12737.0662602144	32	14	23
12	1	44	13927.3308438748	12314.2982951362	22	14	14
13	1	44	13927.3308438748	13166.5126793893	11	14	18
14	1	44	14190.8194596486	14190.8194596486	11	13	13
15	1	44	14190.8194596486	12260.9664949652	18	13	17
16	1	44	14190.8194596486	13116.0693004507	23	13	25
17	1	44	16699.8611400584	16699.8611400584	24	19	19
18	1	44	16699.8611400584	11816.2948425649	32	19	21
19	1	44	16699.8611400584	13915.5968944676	15	19	12
20	1	44	16699.8611400584	14819.429157334	16	19	16
21	1	44	16699.8611400584	14890.0273505677	19	19	19
22	1	44	16699.8611400584	12521.0381751607	22	19	18
23	1	44	16699.8611400584	-1e+21	28	19	29
24	1	44	16699.8611400584	13050.0882453384	25	19	23
25	1	44	16699.8611400584	13790.124064944	30	19	22
26	1	44	16699.8611400584	12964.1544955955	29	19	32
27	1	44	16908.6854916608	16908.6854916608	19	20	20
28	1	44	16908.6854916608	12384.9810825247	21	20	26
29	1	44	16908.6854916608	16906.4308561848	31	20	22
30	1	44	16908.6854916608	12891.0508659089	28	20	27
31	1	44	16921.8260394676	16921.8260394676	23	22	22
32	1	44	16921.8260394676	15741.6363344963	21	22	24
33	1	44	16921.8260394676	15396.1471573159	34	22	38
34	1	44	16921.8260394676	14674.6624078644	28	22	22
35	1	44	16921.8260394676	15287.555140013	22	22	20
36	1	44	16921.8260394676	14153.2677063434	25	22	20
37	1	44	16921.8260394676	-1e+21	35	22	38
38	1	44	16921.8260394676	16238.1278482976	21	22	21
39	1	44	16921.8260394676	14044.5060780042	24	22	23
40	1	44	16921.8260394676	14898.445486286	21	22	28
41	1	44	16921.8260394676	13371.966814809	32	22	34
42	1	44	16921.8260394676	13354.4913631763	17	22	18
43	1	44	16921.8260394676	-1e+21	26	22	27
44	1	44	16921.8260394676	15272.9863422302	23	22	21
45	1	44	16921.8260394676	15449.1829543427	36	22	31
46	1	44	16921.8260394676	14428.6752778858	18	22	21
47	1	44	16921.8260394676	15064.4480952247	27	22	26
48	1	44	16921.8260394676	14696.9063817692	23	22	23
49	1	44	16921.8260394676	-1e+21	23	22	21
50	1	44	16921.8260394676	13460.4582694333	37	22	39
51	1	44	17024.0300776125	17024.0300776125	19	23	23
52	1	44	17024.0300776125	16026.2806354996	22	23	21
53	1	44	17024.0300776125	13492.6984119271	22	23	21
54	1	44	17024.0300776125	12085.1506642204	22	23	21
55	1	44	17024.0300776125	13957.7666516246	29	23	28
56	1	44	17024.0300776125	13399.1325082566	22	23	20
57	1	44	17024.0300776125	-1e+21	26	23	21
58	1	44	17024.0300776125	14234.563538195	31	23	29
59	1	44	17024.0300776125	12845.284696582	31	23	25
60	1	44	17024.0300776125	15288.9714812541	32	23	37
61	1	44	17024.0300776125	14819.1790833996	26	23	30
62	1	44	17024.0300776125	14540.2744628502	37	23	32
63	1	44	17024.0300776125	-1e+21	23	23	26
64	1	44	17024.0300776125	14278.6824658942	24	23	24
65	1	44	17024.0300776125	13880.9925839182	25	23	26
66	1	44	17024.0300776125	14909.3363191811	26	23	24
67	1	44	17024.0300776125	14656.7949918426	28	23	25
68	1	44	17024.0300776125	13768.262661123	29	23	26
69	1	44	17024.0300776125	-1e+21	26	23	28
70	1	44	20472.8228745126	20472.8228745126	25	24	24
71	1	44	20472.8228745126	14635.2271988577	27	24	19
72	1	44	20472.8228745126	12848.0138460608	27	24	27
73	1	44	20472.8228745126	16350.7333231266	28	24	30
74	1	44	20472.8228745126	14135.4272607764	24	24	28
75	1	44	20472.8228745126	14839.8856017699	27	24	28
76	1	44	20472.8228745126	-1e+21	31	24	24
77	1	44	20472.8228745126	15651.445706297	36	24	33
78	1	44	20472.8228745126	16559.3079247069	18	24	15
79	1	44	20472.8228745126	15454.9151829642	25	24	26
80	1	44	20472.8228745126	15049.4039374325	21	24	24
81	1	44	20472.8228745126	15516.6612302069	29	24	29
82	1	44	20472.8228745126	-1e+21	24	24	26
83	1	44	20472.8228745126	15024.8811093626	25	24	21
84	1	44	20472.8228745126	16697.4418323124	24	24	25
85	1	44	20472.8228745126	14111.0690449184	21	24	25
86	1	44	20472.8228745126	15670.1973692637	21	24	22
87	1	44	20472.8228745126	15216.3378395412	29	24	28
88	1	44	20472.8228745126	-1e+21	24	24	23
