"V4","V6","V8","V9","V27","V29","V31","V34","V41","Class"
70,73,72,61,64,54,54,65,62,"1"
69,78,74,65,69,70,69,62,73,"1"
70,67,79,65,37,68,59,60,55,"1"
70,61,67,65,60,54,73,62,73,"1"
61,61,69,69,37,40,46,65,64,"1"
68,69,73,71,63,55,68,63,77,"1"
62,67,72,76,57,65,65,63,68,"1"
60,64,68,67,65,59,59,55,58,"1"
67,65,71,71,47,36,65,60,79,"1"
72,66,76,66,36,49,65,58,67,"1"
60,58,71,77,44,69,68,61,76,"1"
65,66,72,72,70,51,68,75,61,"1"
78,68,75,70,76,67,57,50,65,"1"
67,68,76,77,52,50,61,67,68,"1"
68,68,63,74,66,67,62,61,62,"1"
73,69,72,63,55,60,60,58,60,"1"
66,76,74,58,30,41,59,62,44,"1"
69,67,65,57,55,53,60,73,67,"1"
66,74,68,59,72,66,61,59,67,"1"
82,74,73,77,64,69,66,62,71,"1"
66,56,69,74,75,71,67,60,69,"1"
65,68,77,74,65,70,48,65,72,"1"
58,56,67,75,69,71,43,56,70,"1"
52,75,70,72,46,31,20,61,30,"1"
54,53,68,69,60,66,41,58,54,"1"
62,62,72,68,53,54,70,65,67,"1"
75,72,79,77,54,60,66,63,61,"1"
71,65,75,74,44,63,59,59,67,"1"
75,78,75,72,68,62,63,66,59,"1"
75,61,64,63,71,68,47,63,52,"1"
70,70,74,71,71,63,65,52,65,"1"
68,72,79,61,37,57,35,75,43,"1"
66,69,78,70,26,59,66,56,74,"1"
75,69,74,81,38,73,61,61,58,"1"
71,67,76,83,59,56,68,65,65,"1"
76,71,67,68,72,61,70,61,60,"1"
66,71,64,61,47,64,67,58,71,"1"
68,56,73,76,14,50,71,49,72,"1"
79,63,68,78,44,54,56,65,64,"1"
65,63,77,73,59,44,59,64,67,"1"
64,59,67,74,58,67,69,61,71,"0"
68,65,73,77,67,68,69,69,77,"0"
69,69,78,73,65,66,65,59,75,"0"
70,67,75,75,68,69,74,63,73,"0"
79,74,76,81,64,61,68,70,76,"0"
74,76,78,75,60,60,56,59,70,"0"
74,60,76,76,69,70,65,74,68,"0"
71,77,77,69,66,65,68,59,71,"0"
77,67,67,70,65,63,67,63,75,"0"
74,76,69,56,60,67,74,67,76,"0"
71,72,75,78,70,79,75,65,74,"0"
68,71,72,75,56,52,68,65,75,"0"
72,63,67,67,62,67,69,66,69,"0"
69,62,65,66,59,59,69,65,74,"0"
70,62,65,74,64,68,75,59,72,"0"
73,67,74,72,64,60,71,61,76,"0"
78,68,75,72,72,67,65,61,67,"0"
75,69,74,75,58,67,63,66,67,"0"
66,63,77,82,69,74,63,58,77,"0"
73,63,72,73,66,78,69,65,72,"0"
67,69,74,81,58,64,68,62,77,"0"
78,64,72,74,57,57,64,62,77,"0"
74,70,69,73,61,62,73,58,72,"0"
53,72,67,69,71,64,71,62,71,"0"
63,69,73,72,64,71,71,58,79,"0"
66,73,68,71,70,60,72,67,72,"0"
69,65,76,73,66,68,68,59,74,"0"
75,68,69,70,73,68,75,65,72,"0"
80,70,74,77,62,65,65,63,72,"0"
73,49,66,71,77,62,68,70,66,"0"
68,76,76,69,63,64,61,66,64,"0"
70,65,72,74,67,61,76,65,77,"0"
74,65,70,70,68,58,66,64,80,"0"
71,68,72,70,70,82,72,60,72,"0"
75,73,76,73,64,66,68,63,78,"0"
72,67,71,78,61,58,69,64,71,"0"
67,66,68,70,79,70,77,56,68,"0"
73,77,74,70,71,61,69,64,75,"0"
72,47,76,74,48,69,69,63,75,"0"
69,69,75,72,63,57,68,65,69,"0"
