"Iteration #"	"Inertia"	"Number of features"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	16	19.6673559118051	19.6673559118051	13	13	13
2	1	16	19.8020771717472	19.8020771717472	13	13	13
3	1	16	19.8020771717472	19.6956095302586	8	13	8
4	1	16	20.3960233596857	20.3960233596857	13	8	8
5	1	16	20.3960233596857	18.1986334638484	16	8	16
6	1	16	29.9139963472416	29.9139963472416	10	10	10
7	1	16	29.9139963472416	19.3940583125758	15	10	15
8	1	16	29.9139963472416	28.1813252931273	11	10	10
9	1	16	29.9139963472416	19.0581199744414	14	10	14
10	1	16	29.9139963472416	15.0697875970103	16	10	16
11	1	16	29.9139963472416	16.2610102416572	16	10	16
12	1	16	29.9139963472416	-1e+21	13	10	10
13	1	16	31.5049123979872	31.5049123979872	10	10	10
14	1	16	31.5049123979872	28.4449790222964	10	10	10
15	1	16	31.5049123979872	24.3034569460464	10	10	10
16	1	16	31.5049123979872	29.4243706977746	10	10	10
17	1	16	31.5049123979872	22.5058437001768	11	10	10
18	1	16	31.5049123979872	26.9096855360744	10	10	10
19	1	16	31.5049123979872	-1e+21	12	10	10
20	1	16	32.5579184841575	32.5579184841575	10	9	9
21	1	16	32.5579184841575	24.9220406880324	10	9	9
22	1	16	32.5579184841575	30.5634485494101	9	9	9
23	1	16	32.5579184841575	31.302722695538	10	9	10
24	1	16	32.5579184841575	28.4062621512529	9	9	9
25	1	16	32.5579184841575	29.8538790329794	9	9	9
26	1	16	32.5579184841575	-1e+21	9	9	9
27	1	16	32.5579184841575	30.326959832739	10	9	10
28	1	16	32.5579184841575	26.3336318804268	10	9	10
29	1	16	32.5579184841575	28.6708831539363	10	9	10
30	1	16	32.5579184841575	29.5306895196184	10	9	9
31	1	16	32.5579184841575	30.5703474397162	10	9	10
