"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V23","V27","V29","V31","V34","V35","V38","V41","V42","V44"
67,68,73,78,65,63,67,60,63,62,71,76,70,67,67,63,61,76,77,76,59
75,74,71,71,62,58,70,64,71,68,76,73,60,66,64,64,62,68,66,64,57
83,64,66,67,67,74,74,72,64,68,75,73,57,53,60,69,64,69,54,65,43
72,66,65,65,64,61,71,78,73,69,68,71,60,69,69,61,63,68,72,65,58
62,60,69,61,63,63,70,68,70,65,77,73,67,69,71,54,54,58,73,71,49
68,63,67,67,65,72,74,72,70,71,79,69,59,65,70,63,61,70,71,77,68
80,76,77,76,67,68,71,76,69,66,76,75,62,66,40,67,58,62,45,53,54
68,63,62,58,60,57,69,78,59,53,61,77,44,74,66,52,52,74,74,66,59
77,61,71,69,70,66,57,55,67,67,79,76,44,25,18,57,58,41,16,68,56
69,68,73,74,62,67,74,73,67,65,70,71,38,59,67,65,67,76,73,64,53
65,69,70,71,56,63,63,70,44,51,78,65,43,62,70,71,57,68,59,59,53
65,63,73,75,67,61,76,65,62,62,79,72,36,51,43,56,54,66,43,43,41
71,73,65,80,62,67,65,77,66,68,72,78,59,61,46,67,65,62,60,61,43
64,75,52,46,59,54,79,78,61,68,61,78,43,78,49,31,27,51,56,41,33
62,54,65,65,24,31,79,66,53,54,76,78,34,78,68,60,60,55,71,31,27
57,43,62,50,43,57,61,44,44,24,53,72,44,74,19,65,66,57,12,41,42
67,65,61,61,60,62,75,74,68,68,72,75,63,67,66,64,66,70,66,71,57
62,54,73,68,72,71,76,76,62,52,66,59,65,70,66,61,51,60,68,73,56
67,59,54,48,63,67,77,78,71,61,57,67,33,50,50,38,43,80,48,63,37
65,56,67,58,76,79,70,71,59,50,76,65,70,55,52,59,58,54,52,71,59
71,56,75,74,61,69,73,73,65,63,71,81,39,72,64,56,55,70,63,41,34
73,59,76,61,67,52,66,46,70,59,76,66,14,41,41,77,57,74,47,40,28
77,69,77,79,60,59,65,68,57,54,76,71,38,49,42,62,60,59,43,41,39
66,65,72,74,59,61,67,65,59,58,70,59,45,64,60,58,57,74,74,70,63
69,80,67,67,62,61,65,67,62,71,77,69,39,50,63,59,56,65,67,67,54
74,67,69,75,59,57,70,68,70,62,79,72,57,62,38,71,60,66,50,45,36
66,70,78,75,69,64,70,66,66,69,75,69,50,43,49,67,67,76,69,69,58
79,58,73,78,67,65,74,71,64,54,76,64,57,51,68,66,63,66,67,71,62
61,66,64,65,62,66,74,67,60,62,65,78,76,73,73,53,58,62,73,67,58
63,69,70,72,66,70,66,72,71,67,74,77,59,58,65,63,67,71,70,74,56
73,67,74,73,79,75,76,77,61,60,70,76,69,59,68,68,67,63,66,74,59
66,68,67,72,65,71,71,71,60,67,69,80,65,65,66,59,62,67,75,74,62
55,54,71,74,21,25,60,27,69,64,74,75,37,54,15,66,67,77,35,18,29
70,68,68,70,56,54,66,67,68,70,75,55,49,52,72,62,65,69,70,56,56
71,71,77,82,64,63,73,71,66,64,72,79,63,67,70,60,62,77,75,72,62
57,44,74,68,82,76,78,62,66,67,74,71,65,63,63,73,76,63,71,71,66
72,71,70,72,63,69,71,73,71,71,79,78,60,59,66,57,57,68,64,58,52
60,58,74,68,44,48,85,60,56,48,71,52,23,60,41,64,68,69,55,19,18
33,21,38,54,60,52,41,50,26,29,58,78,47,57,26,52,58,49,13,62,46
58,70,62,73,34,41,55,54,65,77,73,64,59,70,40,52,56,67,39,22,29
58,40,57,43,74,57,78,53,68,58,65,61,63,77,7,54,58,53,6,15,30
77,77,70,71,68,66,75,75,73,72,71,79,55,68,74,65,65,71,73,63,52
65,67,67,61,55,57,66,74,64,69,61,73,39,75,64,53,55,60,63,59,50
77,59,76,78,40,34,75,63,65,26,70,56,6,23,48,63,54,65,57,5,13
64,59,76,72,55,52,63,66,68,63,75,73,42,51,48,76,75,73,51,71,61
57,63,67,82,69,67,63,70,74,64,71,69,50,53,60,72,59,70,70,64,60
58,57,74,71,59,60,54,59,33,39,65,78,56,61,62,59,57,53,74,77,66
61,66,64,74,51,55,64,63,67,67,73,66,35,65,56,59,62,67,61,53,37
67,80,73,76,74,69,78,81,67,68,72,81,63,63,66,61,65,65,63,70,58
69,55,75,73,63,64,70,66,61,75,77,69,48,66,68,60,64,67,70,63,50
77,63,68,70,66,70,80,79,60,57,75,47,66,62,69,62,63,56,76,72,64
46,47,65,68,41,48,52,45,54,47,74,79,52,45,36,63,72,66,35,60,52
67,74,73,74,54,63,58,72,59,71,75,84,38,69,65,54,60,53,67,49,27
73,70,69,75,62,62,67,70,70,76,75,74,44,65,69,57,61,62,62,54,44
68,77,67,70,64,62,79,80,64,64,76,77,73,71,69,64,62,68,69,72,65
57,70,65,71,58,69,74,81,67,72,75,78,38,48,68,62,67,70,81,67,55
47,47,48,69,80,52,52,52,58,46,45,63,19,46,43,43,75,36,57,14,21
64,75,74,73,57,61,63,70,63,72,75,63,28,52,68,59,61,58,73,37,24
58,66,63,61,66,68,75,79,61,63,57,76,60,65,70,59,67,58,73,48,39
73,71,71,68,64,60,72,76,75,70,77,73,51,57,68,72,68,72,64,62,53
67,66,67,65,74,65,76,70,71,68,70,72,35,67,64,62,57,72,66,76,58
78,75,69,66,69,71,75,75,67,67,58,42,61,73,64,28,30,73,74,65,56
70,69,69,67,69,68,72,73,63,71,73,70,55,71,70,56,62,68,77,71,52
65,65,71,77,70,68,73,72,68,65,78,75,43,68,67,57,59,64,58,63,34
66,73,75,74,67,67,73,71,72,63,79,67,59,69,73,62,66,64,75,73,50
59,55,51,65,68,45,21,25,45,41,57,75,31,17,43,61,71,44,47,29,52
72,69,65,65,66,67,76,78,72,70,77,79,51,56,63,61,64,77,64,71,41
65,50,74,72,62,59,71,66,67,55,72,80,68,68,40,56,58,70,47,73,54
63,54,76,69,72,66,69,66,61,53,72,70,65,59,62,66,65,59,62,65,54
54,52,58,55,62,54,75,74,61,58,66,71,19,77,56,44,41,62,62,45,37
67,58,59,54,60,65,75,75,63,61,70,81,50,66,47,54,56,63,59,62,61
60,59,67,58,66,60,72,79,74,75,71,81,42,59,66,59,62,71,69,67,60
62,80,54,68,66,70,68,69,68,70,63,65,61,67,72,61,61,64,70,61,55
54,42,57,60,61,44,39,54,12,22,47,60,38,36,22,72,62,33,28,49,76
65,70,68,71,63,59,75,75,65,63,75,81,57,67,69,60,61,73,77,74,61
59,75,77,80,60,64,70,67,54,68,78,77,54,58,64,67,66,70,65,61,51
71,74,71,74,62,53,68,64,69,68,72,71,38,72,68,60,54,74,59,52,34
72,71,74,73,64,60,68,71,72,69,79,79,57,70,59,63,50,68,63,61,49
68,64,63,61,80,72,70,69,73,69,80,79,63,62,63,55,61,64,64,71,54
58,65,78,76,64,58,74,70,63,57,81,70,29,56,63,61,58,77,62,49,30
60,64,61,74,57,63,67,70,59,65,62,85,35,79,64,59,58,62,61,41,24
51,43,66,63,54,56,71,75,65,63,69,74,55,59,48,63,64,70,67,72,70
57,55,56,53,51,44,68,56,68,66,64,63,41,45,61,68,55,62,52,38,39
68,70,70,69,65,63,71,74,73,70,79,73,56,63,65,59,60,69,64,68,56
57,29,71,51,65,41,67,45,63,39,75,82,65,61,25,55,60,72,40,69,57
49,46,59,44,59,26,56,32,69,57,66,40,20,38,25,59,65,64,12,34,46
75,75,64,63,58,58,75,77,73,74,73,74,61,58,40,58,47,59,57,63,42
71,66,66,71,50,41,77,60,57,58,68,63,14,41,36,44,47,70,58,20,23
73,60,68,54,75,63,77,72,60,54,66,76,57,62,60,61,59,69,67,74,62
67,70,63,48,63,60,76,75,65,52,63,62,62,78,59,59,53,76,61,68,54
68,73,78,83,70,71,77,74,65,61,75,86,58,57,53,58,61,72,65,65,58
62,54,68,70,51,28,54,23,54,54,63,67,16,44,19,62,68,63,44,28,15
75,74,69,73,64,61,71,71,61,58,76,82,55,70,67,61,62,70,68,59,50
79,77,78,70,69,65,75,75,69,66,61,69,56,69,66,65,51,72,63,41,25
68,62,64,65,70,69,76,75,63,59,70,83,78,83,70,54,51,61,76,66,49
68,74,76,84,72,72,85,75,73,70,77,76,47,54,64,65,62,70,58,58,51
70,69,66,66,66,67,78,80,70,65,75,74,52,63,61,60,59,72,68,66,56
73,80,82,84,71,71,77,75,61,58,69,76,63,62,57,57,62,68,49,63,56
71,67,77,74,67,61,75,71,74,69,73,68,59,67,66,64,64,70,51,61,44
73,70,77,79,61,59,72,66,65,66,74,74,63,70,60,56,49,67,62,54,55
63,63,72,75,60,61,62,63,61,63,76,78,54,68,64,64,62,63,78,68,82
75,67,74,75,75,69,72,72,67,66,73,75,68,78,67,60,58,66,71,73,58
64,60,55,51,59,59,81,79,66,59,62,67,44,53,61,55,60,75,77,71,62
74,77,80,77,69,64,79,76,70,68,77,77,45,54,65,61,69,71,60,28,36
69,66,67,67,75,78,78,69,60,62,68,67,64,64,63,69,58,70,47,70,56
75,79,65,74,63,64,74,73,73,71,76,78,60,61,65,62,62,72,66,61,55
69,65,72,68,70,71,76,78,64,62,72,66,67,55,72,62,61,66,75,73,63
70,69,72,70,72,76,78,72,62,57,68,74,57,60,61,59,63,74,77,74,65
61,66,70,74,59,64,72,73,64,65,72,75,64,73,70,53,56,66,80,71,61
70,60,75,78,69,69,68,71,68,59,76,72,75,64,75,63,61,66,75,73,64
76,75,75,77,75,72,75,75,68,75,72,77,63,68,65,58,63,65,71,64,50
