"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V23","V27","V29","V31","V34","V35","V38","V41","V42","V44"
59,52,70,67,73,66,72,61,58,52,72,66,64,54,54,65,67,62,62,74,64
72,62,69,67,78,82,74,65,69,63,70,78,69,70,69,62,65,63,73,67,56
71,62,70,64,67,64,79,65,70,69,72,74,37,68,59,60,60,66,55,61,51
69,71,70,78,61,63,67,65,59,59,66,66,60,54,73,62,64,66,73,68,59
70,66,61,66,61,58,69,69,72,68,62,77,37,40,46,65,66,70,64,60,49
57,69,68,75,69,74,73,71,57,61,72,70,63,55,68,63,64,69,77,72,61
69,66,62,75,67,71,72,76,69,70,66,67,57,65,65,63,64,72,68,70,63
61,60,60,62,64,72,68,67,74,68,76,62,65,59,59,55,56,66,58,60,49
65,62,67,68,65,67,71,71,64,56,73,76,47,36,65,60,60,74,79,68,59
74,73,72,79,66,61,76,66,65,64,78,70,36,49,65,58,60,73,67,60,53
70,69,60,62,58,60,71,77,69,69,73,74,44,69,68,61,59,64,76,64,54
67,66,65,77,66,70,72,72,72,67,76,70,70,51,68,75,68,69,61,73,64
76,69,78,73,68,67,75,70,77,70,79,78,76,67,57,50,62,47,65,74,51
70,69,67,66,68,60,76,77,70,67,71,65,52,50,61,67,59,73,68,77,65
78,73,68,74,68,69,63,74,68,67,73,71,66,67,62,61,61,68,62,69,61
67,51,73,65,69,56,72,63,64,56,68,69,55,60,60,58,51,71,60,76,62
70,54,66,66,76,46,74,58,68,52,81,57,30,41,59,62,55,65,44,73,51
63,63,69,72,67,62,65,57,68,53,68,67,55,53,60,73,66,75,67,78,64
62,56,66,57,74,75,68,59,65,59,74,74,72,66,61,59,59,73,67,77,62
80,74,82,77,74,74,73,77,64,61,73,75,64,69,66,62,62,67,71,66,59
63,58,66,55,56,58,69,74,44,48,63,74,75,71,67,60,59,65,69,71,58
70,65,65,62,68,67,77,74,62,61,66,78,65,70,48,65,73,75,72,73,65
61,63,58,62,56,60,67,75,61,57,64,84,69,71,43,56,61,70,70,65,65
70,64,52,58,75,89,70,72,26,30,46,52,46,31,20,61,70,40,30,57,41
75,71,54,51,53,50,68,69,46,55,11,59,60,66,41,58,63,33,54,36,45
77,61,62,68,62,58,72,68,77,71,76,76,53,54,70,65,70,67,67,60,53
75,72,75,79,72,68,79,77,69,66,73,68,54,60,66,63,66,72,61,52,34
78,76,71,72,65,71,75,74,70,64,65,80,44,63,59,59,60,77,67,44,44
69,68,75,74,78,72,75,72,61,57,72,67,68,62,63,66,67,62,59,74,63
72,66,75,67,61,59,64,63,61,67,75,75,71,68,47,63,75,64,52,69,59
64,64,70,75,70,71,74,71,59,60,62,60,71,63,65,52,51,61,65,71,57
72,63,68,62,72,63,79,61,57,49,76,78,37,57,35,75,72,63,43,38,32
79,78,66,63,69,62,78,70,72,71,73,71,26,59,66,56,58,66,74,34,11
66,81,75,72,69,67,74,81,67,73,76,78,38,73,61,61,63,60,58,35,24
65,66,71,72,67,75,76,83,70,74,70,80,59,56,68,65,61,66,65,65,53
71,75,76,74,71,68,67,68,69,75,75,78,72,61,70,61,66,59,60,72,55
70,66,66,68,71,69,64,61,68,67,50,82,47,64,67,58,62,71,71,67,52
73,76,68,74,56,59,73,76,54,48,75,79,14,50,71,49,48,62,72,31,15
68,76,79,78,63,73,68,78,64,71,73,74,44,54,56,65,80,63,64,52,49
68,64,65,68,63,64,77,73,75,72,80,73,59,44,59,64,64,70,67,51,45
62,67,64,70,59,58,67,74,60,66,68,77,58,67,69,61,62,72,71,71,66
62,67,68,70,65,70,73,77,69,70,69,73,67,68,69,69,70,72,77,72,64
59,68,69,67,69,59,78,73,66,65,77,73,65,66,65,59,61,73,75,74,69
75,75,70,77,67,75,75,75,67,66,74,75,68,69,74,63,70,66,73,66,58
77,79,79,77,74,76,76,81,65,68,66,67,64,61,68,70,66,70,76,79,65
68,64,74,80,76,72,78,75,67,64,75,82,60,60,56,59,65,50,70,69,42
76,73,74,76,60,69,76,76,68,69,78,81,69,70,65,74,71,65,68,75,62
61,76,71,68,77,69,77,69,64,75,71,79,66,65,68,59,64,60,71,69,63
67,65,77,74,67,66,67,70,65,64,75,76,65,63,67,63,64,73,75,72,65
71,61,74,74,76,74,69,56,68,78,71,78,60,67,74,67,71,70,76,74,54
64,70,71,69,72,70,75,78,61,66,69,78,70,79,75,65,64,59,74,68,58
76,75,68,78,71,72,72,75,61,65,67,72,56,52,68,65,68,69,75,74,63
74,73,72,75,63,62,67,67,73,74,75,80,62,67,69,66,67,71,69,62,55
65,67,69,76,62,68,65,66,65,64,74,74,59,59,69,65,63,69,74,69,62
59,75,70,76,62,70,65,74,65,67,75,73,64,68,75,59,63,64,72,61,51
76,72,73,69,67,73,74,72,60,65,73,76,64,60,71,61,68,62,76,62,52
71,75,78,78,68,67,75,72,67,68,72,80,72,67,65,61,64,51,67,78,60
80,76,75,75,69,68,74,75,77,77,76,77,58,67,63,66,62,77,67,65,61
68,70,66,72,63,71,77,82,61,63,61,78,69,74,63,58,60,75,77,69,65
67,57,73,78,63,68,72,73,61,59,59,68,66,78,69,65,65,62,72,70,60
72,74,67,69,69,70,74,81,66,70,73,79,58,64,68,62,67,73,77,71,63
62,71,78,84,64,68,72,74,53,57,71,71,57,57,64,62,65,64,77,62,61
69,78,74,76,70,67,69,73,68,75,75,72,61,62,73,58,63,66,72,64,60
59,65,53,60,72,74,67,69,64,67,64,78,71,64,71,62,66,57,71,70,53
66,67,63,70,69,70,73,72,61,62,68,78,64,71,71,58,63,70,79,79,66
62,66,66,68,73,76,68,71,62,62,63,66,70,60,72,67,69,63,72,75,62
71,71,69,71,65,65,76,73,67,66,69,78,66,68,68,59,57,73,74,68,57
63,61,75,72,68,71,69,70,64,56,70,76,73,68,75,65,61,58,72,68,57
74,81,80,78,70,69,74,77,69,71,73,80,62,65,65,63,65,70,72,68,61
69,64,73,72,49,70,66,71,57,56,64,76,77,62,68,70,68,59,66,74,62
70,64,68,67,76,68,76,69,67,64,69,75,63,64,61,66,66,57,64,79,59
65,68,70,78,65,72,72,74,64,69,71,78,67,61,76,65,64,64,77,66,59
64,53,74,70,65,63,70,70,57,57,64,73,68,58,66,64,65,63,80,74,71
