"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V23","V27","V29","V31","V34","V38","V41"
67,68,73,78,65,63,67,60,63,62,76,70,67,67,63,76,77
75,74,71,71,62,58,70,64,71,68,73,60,66,64,64,68,66
83,64,66,67,67,74,74,72,64,68,73,57,53,60,69,69,54
72,66,65,65,64,61,71,78,73,69,71,60,69,69,61,68,72
62,60,69,61,63,63,70,68,70,65,73,67,69,71,54,58,73
68,63,67,67,65,72,74,72,70,71,69,59,65,70,63,70,71
80,76,77,76,67,68,71,76,69,66,75,62,66,40,67,62,45
68,63,62,58,60,57,69,78,59,53,77,44,74,66,52,74,74
77,61,71,69,70,66,57,55,67,67,76,44,25,18,57,41,16
69,68,73,74,62,67,74,73,67,65,71,38,59,67,65,76,73
65,69,70,71,56,63,63,70,44,51,65,43,62,70,71,68,59
65,63,73,75,67,61,76,65,62,62,72,36,51,43,56,66,43
71,73,65,80,62,67,65,77,66,68,78,59,61,46,67,62,60
64,75,52,46,59,54,79,78,61,68,78,43,78,49,31,51,56
62,54,65,65,24,31,79,66,53,54,78,34,78,68,60,55,71
57,43,62,50,43,57,61,44,44,24,72,44,74,19,65,57,12
67,65,61,61,60,62,75,74,68,68,75,63,67,66,64,70,66
62,54,73,68,72,71,76,76,62,52,59,65,70,66,61,60,68
67,59,54,48,63,67,77,78,71,61,67,33,50,50,38,80,48
65,56,67,58,76,79,70,71,59,50,65,70,55,52,59,54,52
71,56,75,74,61,69,73,73,65,63,81,39,72,64,56,70,63
73,59,76,61,67,52,66,46,70,59,66,14,41,41,77,74,47
77,69,77,79,60,59,65,68,57,54,71,38,49,42,62,59,43
66,65,72,74,59,61,67,65,59,58,59,45,64,60,58,74,74
69,80,67,67,62,61,65,67,62,71,69,39,50,63,59,65,67
74,67,69,75,59,57,70,68,70,62,72,57,62,38,71,66,50
66,70,78,75,69,64,70,66,66,69,69,50,43,49,67,76,69
79,58,73,78,67,65,74,71,64,54,64,57,51,68,66,66,67
61,66,64,65,62,66,74,67,60,62,78,76,73,73,53,62,73
63,69,70,72,66,70,66,72,71,67,77,59,58,65,63,71,70
73,67,74,73,79,75,76,77,61,60,76,69,59,68,68,63,66
66,68,67,72,65,71,71,71,60,67,80,65,65,66,59,67,75
55,54,71,74,21,25,60,27,69,64,75,37,54,15,66,77,35
70,68,68,70,56,54,66,67,68,70,55,49,52,72,62,69,70
71,71,77,82,64,63,73,71,66,64,79,63,67,70,60,77,75
57,44,74,68,82,76,78,62,66,67,71,65,63,63,73,63,71
72,71,70,72,63,69,71,73,71,71,78,60,59,66,57,68,64
60,58,74,68,44,48,85,60,56,48,52,23,60,41,64,69,55
33,21,38,54,60,52,41,50,26,29,78,47,57,26,52,49,13
58,70,62,73,34,41,55,54,65,77,64,59,70,40,52,67,39
58,40,57,43,74,57,78,53,68,58,61,63,77,7,54,53,6
77,77,70,71,68,66,75,75,73,72,79,55,68,74,65,71,73
65,67,67,61,55,57,66,74,64,69,73,39,75,64,53,60,63
77,59,76,78,40,34,75,63,65,26,56,6,23,48,63,65,57
64,59,76,72,55,52,63,66,68,63,73,42,51,48,76,73,51
57,63,67,82,69,67,63,70,74,64,69,50,53,60,72,70,70
58,57,74,71,59,60,54,59,33,39,78,56,61,62,59,53,74
61,66,64,74,51,55,64,63,67,67,66,35,65,56,59,67,61
67,80,73,76,74,69,78,81,67,68,81,63,63,66,61,65,63
69,55,75,73,63,64,70,66,61,75,69,48,66,68,60,67,70
77,63,68,70,66,70,80,79,60,57,47,66,62,69,62,56,76
46,47,65,68,41,48,52,45,54,47,79,52,45,36,63,66,35
67,74,73,74,54,63,58,72,59,71,84,38,69,65,54,53,67
73,70,69,75,62,62,67,70,70,76,74,44,65,69,57,62,62
68,77,67,70,64,62,79,80,64,64,77,73,71,69,64,68,69
57,70,65,71,58,69,74,81,67,72,78,38,48,68,62,70,81
47,47,48,69,80,52,52,52,58,46,63,19,46,43,43,36,57
64,75,74,73,57,61,63,70,63,72,63,28,52,68,59,58,73
58,66,63,61,66,68,75,79,61,63,76,60,65,70,59,58,73
73,71,71,68,64,60,72,76,75,70,73,51,57,68,72,72,64
