"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V23","V27","V29","V31","V34","V38","V41"
59,52,70,67,73,66,72,61,58,52,66,64,54,54,65,62,62
72,62,69,67,78,82,74,65,69,63,78,69,70,69,62,63,73
71,62,70,64,67,64,79,65,70,69,74,37,68,59,60,66,55
69,71,70,78,61,63,67,65,59,59,66,60,54,73,62,66,73
70,66,61,66,61,58,69,69,72,68,77,37,40,46,65,70,64
57,69,68,75,69,74,73,71,57,61,70,63,55,68,63,69,77
69,66,62,75,67,71,72,76,69,70,67,57,65,65,63,72,68
61,60,60,62,64,72,68,67,74,68,62,65,59,59,55,66,58
65,62,67,68,65,67,71,71,64,56,76,47,36,65,60,74,79
74,73,72,79,66,61,76,66,65,64,70,36,49,65,58,73,67
70,69,60,62,58,60,71,77,69,69,74,44,69,68,61,64,76
67,66,65,77,66,70,72,72,72,67,70,70,51,68,75,69,61
76,69,78,73,68,67,75,70,77,70,78,76,67,57,50,47,65
70,69,67,66,68,60,76,77,70,67,65,52,50,61,67,73,68
78,73,68,74,68,69,63,74,68,67,71,66,67,62,61,68,62
67,51,73,65,69,56,72,63,64,56,69,55,60,60,58,71,60
70,54,66,66,76,46,74,58,68,52,57,30,41,59,62,65,44
63,63,69,72,67,62,65,57,68,53,67,55,53,60,73,75,67
62,56,66,57,74,75,68,59,65,59,74,72,66,61,59,73,67
80,74,82,77,74,74,73,77,64,61,75,64,69,66,62,67,71
63,58,66,55,56,58,69,74,44,48,74,75,71,67,60,65,69
70,65,65,62,68,67,77,74,62,61,78,65,70,48,65,75,72
61,63,58,62,56,60,67,75,61,57,84,69,71,43,56,70,70
70,64,52,58,75,89,70,72,26,30,52,46,31,20,61,40,30
75,71,54,51,53,50,68,69,46,55,59,60,66,41,58,33,54
77,61,62,68,62,58,72,68,77,71,76,53,54,70,65,67,67
75,72,75,79,72,68,79,77,69,66,68,54,60,66,63,72,61
78,76,71,72,65,71,75,74,70,64,80,44,63,59,59,77,67
69,68,75,74,78,72,75,72,61,57,67,68,62,63,66,62,59
72,66,75,67,61,59,64,63,61,67,75,71,68,47,63,64,52
64,64,70,75,70,71,74,71,59,60,60,71,63,65,52,61,65
72,63,68,62,72,63,79,61,57,49,78,37,57,35,75,63,43
79,78,66,63,69,62,78,70,72,71,71,26,59,66,56,66,74
66,81,75,72,69,67,74,81,67,73,78,38,73,61,61,60,58
65,66,71,72,67,75,76,83,70,74,80,59,56,68,65,66,65
71,75,76,74,71,68,67,68,69,75,78,72,61,70,61,59,60
70,66,66,68,71,69,64,61,68,67,82,47,64,67,58,71,71
73,76,68,74,56,59,73,76,54,48,79,14,50,71,49,62,72
68,76,79,78,63,73,68,78,64,71,74,44,54,56,65,63,64
68,64,65,68,63,64,77,73,75,72,73,59,44,59,64,70,67
62,67,64,70,59,58,67,74,60,66,77,58,67,69,61,72,71
62,67,68,70,65,70,73,77,69,70,73,67,68,69,69,72,77
59,68,69,67,69,59,78,73,66,65,73,65,66,65,59,73,75
75,75,70,77,67,75,75,75,67,66,75,68,69,74,63,66,73
77,79,79,77,74,76,76,81,65,68,67,64,61,68,70,70,76
68,64,74,80,76,72,78,75,67,64,82,60,60,56,59,50,70
76,73,74,76,60,69,76,76,68,69,81,69,70,65,74,65,68
61,76,71,68,77,69,77,69,64,75,79,66,65,68,59,60,71
67,65,77,74,67,66,67,70,65,64,76,65,63,67,63,73,75
71,61,74,74,76,74,69,56,68,78,78,60,67,74,67,70,76
64,70,71,69,72,70,75,78,61,66,78,70,79,75,65,59,74
76,75,68,78,71,72,72,75,61,65,72,56,52,68,65,69,75
74,73,72,75,63,62,67,67,73,74,80,62,67,69,66,71,69
65,67,69,76,62,68,65,66,65,64,74,59,59,69,65,69,74
59,75,70,76,62,70,65,74,65,67,73,64,68,75,59,64,72
76,72,73,69,67,73,74,72,60,65,76,64,60,71,61,62,76
71,75,78,78,68,67,75,72,67,68,80,72,67,65,61,51,67
80,76,75,75,69,68,74,75,77,77,77,58,67,63,66,77,67
68,70,66,72,63,71,77,82,61,63,78,69,74,63,58,75,77
67,57,73,78,63,68,72,73,61,59,68,66,78,69,65,62,72
72,74,67,69,69,70,74,81,66,70,79,58,64,68,62,73,77
62,71,78,84,64,68,72,74,53,57,71,57,57,64,62,64,77
69,78,74,76,70,67,69,73,68,75,72,61,62,73,58,66,72
59,65,53,60,72,74,67,69,64,67,78,71,64,71,62,57,71
66,67,63,70,69,70,73,72,61,62,78,64,71,71,58,70,79
62,66,66,68,73,76,68,71,62,62,66,70,60,72,67,63,72
71,71,69,71,65,65,76,73,67,66,78,66,68,68,59,73,74
63,61,75,72,68,71,69,70,64,56,76,73,68,75,65,58,72
74,81,80,78,70,69,74,77,69,71,80,62,65,65,63,70,72
69,64,73,72,49,70,66,71,57,56,76,77,62,68,70,59,66
70,64,68,67,76,68,76,69,67,64,75,63,64,61,66,57,64
65,68,70,78,65,72,72,74,64,69,78,67,61,76,65,64,77
64,53,74,70,65,63,70,70,57,57,73,68,58,66,64,63,80
70,71,71,74,68,66,72,70,66,69,81,70,82,72,60,64,72
72,70,75,80,73,70,76,73,66,56,77,64,66,68,63,74,78
70,75,72,72,67,71,71,78,63,67,77,61,58,69,64,68,71
59,57,67,71,66,68,68,70,56,62,75,79,70,77,56,56,68
67,64,73,75,77,77,74,70,65,62,75,71,61,69,64,65,75
68,65,72,72,47,74,76,74,67,66,77,48,69,69,63,71,75
66,54,69,66,69,69,75,72,63,62,72,63,57,68,65,65,69
