"V2","V3","V4","V7","V11","V23","V29","V34","V38","V41","Class"
59,52,70,66,52,66,54,65,62,62,"1"
72,62,69,82,63,78,70,62,63,73,"1"
71,62,70,64,69,74,68,60,66,55,"1"
69,71,70,63,59,66,54,62,66,73,"1"
70,66,61,58,68,77,40,65,70,64,"1"
57,69,68,74,61,70,55,63,69,77,"1"
69,66,62,71,70,67,65,63,72,68,"1"
61,60,60,72,68,62,59,55,66,58,"1"
65,62,67,67,56,76,36,60,74,79,"1"
74,73,72,61,64,70,49,58,73,67,"1"
70,69,60,60,69,74,69,61,64,76,"1"
67,66,65,70,67,70,51,75,69,61,"1"
76,69,78,67,70,78,67,50,47,65,"1"
70,69,67,60,67,65,50,67,73,68,"1"
78,73,68,69,67,71,67,61,68,62,"1"
67,51,73,56,56,69,60,58,71,60,"1"
70,54,66,46,52,57,41,62,65,44,"1"
63,63,69,62,53,67,53,73,75,67,"1"
62,56,66,75,59,74,66,59,73,67,"1"
80,74,82,74,61,75,69,62,67,71,"1"
63,58,66,58,48,74,71,60,65,69,"1"
70,65,65,67,61,78,70,65,75,72,"1"
61,63,58,60,57,84,71,56,70,70,"1"
70,64,52,89,30,52,31,61,40,30,"1"
75,71,54,50,55,59,66,58,33,54,"1"
77,61,62,58,71,76,54,65,67,67,"1"
75,72,75,68,66,68,60,63,72,61,"1"
78,76,71,71,64,80,63,59,77,67,"1"
69,68,75,72,57,67,62,66,62,59,"1"
72,66,75,59,67,75,68,63,64,52,"1"
64,64,70,71,60,60,63,52,61,65,"1"
72,63,68,63,49,78,57,75,63,43,"1"
79,78,66,62,71,71,59,56,66,74,"1"
66,81,75,67,73,78,73,61,60,58,"1"
65,66,71,75,74,80,56,65,66,65,"1"
71,75,76,68,75,78,61,61,59,60,"1"
70,66,66,69,67,82,64,58,71,71,"1"
73,76,68,59,48,79,50,49,62,72,"1"
68,76,79,73,71,74,54,65,63,64,"1"
68,64,65,64,72,73,44,64,70,67,"1"
62,67,64,58,66,77,67,61,72,71,"0"
62,67,68,70,70,73,68,69,72,77,"0"
59,68,69,59,65,73,66,59,73,75,"0"
75,75,70,75,66,75,69,63,66,73,"0"
77,79,79,76,68,67,61,70,70,76,"0"
68,64,74,72,64,82,60,59,50,70,"0"
76,73,74,69,69,81,70,74,65,68,"0"
61,76,71,69,75,79,65,59,60,71,"0"
67,65,77,66,64,76,63,63,73,75,"0"
71,61,74,74,78,78,67,67,70,76,"0"
64,70,71,70,66,78,79,65,59,74,"0"
76,75,68,72,65,72,52,65,69,75,"0"
74,73,72,62,74,80,67,66,71,69,"0"
65,67,69,68,64,74,59,65,69,74,"0"
59,75,70,70,67,73,68,59,64,72,"0"
76,72,73,73,65,76,60,61,62,76,"0"
71,75,78,67,68,80,67,61,51,67,"0"
80,76,75,68,77,77,67,66,77,67,"0"
68,70,66,71,63,78,74,58,75,77,"0"
67,57,73,68,59,68,78,65,62,72,"0"
72,74,67,70,70,79,64,62,73,77,"0"
62,71,78,68,57,71,57,62,64,77,"0"
69,78,74,67,75,72,62,58,66,72,"0"
59,65,53,74,67,78,64,62,57,71,"0"
66,67,63,70,62,78,71,58,70,79,"0"
62,66,66,76,62,66,60,67,63,72,"0"
71,71,69,65,66,78,68,59,73,74,"0"
63,61,75,71,56,76,68,65,58,72,"0"
74,81,80,69,71,80,65,63,70,72,"0"
69,64,73,70,56,76,62,70,59,66,"0"
70,64,68,68,64,75,64,66,57,64,"0"
65,68,70,72,69,78,61,65,64,77,"0"
64,53,74,63,57,73,58,64,63,80,"0"
70,71,71,66,69,81,82,60,64,72,"0"
72,70,75,70,56,77,66,63,74,78,"0"
70,75,72,71,67,77,58,64,68,71,"0"
59,57,67,68,62,75,70,56,56,68,"0"
67,64,73,77,62,75,61,64,65,75,"0"
68,65,72,74,66,77,69,63,71,75,"0"
66,54,69,69,62,72,57,65,65,69,"0"
