"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V23","V25","V26","V27","V29","V30","V31","V33","V34","V38","V40","V41"
67,68,73,78,65,63,67,60,63,62,76,79,70,70,67,65,67,75,63,76,74,77
75,74,71,71,62,58,70,64,71,68,73,72,66,60,66,70,64,70,64,68,69,66
83,64,66,67,67,74,74,72,64,68,73,69,63,57,53,67,60,74,69,69,68,54
72,66,65,65,64,61,71,78,73,69,71,65,64,60,69,70,69,72,61,68,71,72
62,60,69,61,63,63,70,68,70,65,73,75,76,67,69,66,71,61,54,58,72,73
68,63,67,67,65,72,74,72,70,71,69,67,64,59,65,73,70,69,63,70,77,71
80,76,77,76,67,68,71,76,69,66,75,66,58,62,66,55,40,71,67,62,59,45
68,63,62,58,60,57,69,78,59,53,77,49,53,44,74,64,66,63,52,74,77,74
77,61,71,69,70,66,57,55,67,67,76,71,63,44,25,21,18,79,57,41,19,16
69,68,73,74,62,67,74,73,67,65,71,69,40,38,59,67,67,78,65,76,74,73
65,69,70,71,56,63,63,70,44,51,65,48,58,43,62,71,70,73,71,68,62,59
65,63,73,75,67,61,76,65,62,62,72,50,39,36,51,41,43,70,56,66,49,43
71,73,65,80,62,67,65,77,66,68,78,77,60,59,61,53,46,75,67,62,62,60
64,75,52,46,59,54,79,78,61,68,78,32,40,43,78,49,49,39,31,51,60,56
62,54,65,65,24,31,79,66,53,54,78,47,27,34,78,68,68,68,60,55,68,71
57,43,62,50,43,57,61,44,44,24,72,71,42,44,74,29,19,77,65,57,27,12
67,65,61,61,60,62,75,74,68,68,75,70,67,63,67,69,66,77,64,70,75,66
62,54,73,68,72,71,76,76,62,52,59,55,72,65,70,69,66,66,61,60,74,68
67,59,54,48,63,67,77,78,71,61,67,50,39,33,50,57,50,41,38,80,61,48
65,56,67,58,76,79,70,71,59,50,65,62,63,70,55,59,52,60,59,54,57,52
71,56,75,74,61,69,73,73,65,63,81,60,39,39,72,58,64,71,56,70,57,63
73,59,76,61,67,52,66,46,70,59,66,58,30,14,41,54,41,66,77,74,58,47
77,69,77,79,60,59,65,68,57,54,71,63,43,38,49,53,42,73,62,59,55,43
66,65,72,74,59,61,67,65,59,58,59,72,54,45,64,61,60,74,58,74,75,74
69,80,67,67,62,61,65,67,62,71,69,72,51,39,50,64,63,70,59,65,66,67
74,67,69,75,59,57,70,68,70,62,72,66,60,57,62,59,38,66,71,66,70,50
66,70,78,75,69,64,70,66,66,69,69,63,51,50,43,41,49,74,67,76,65,69
79,58,73,78,67,65,74,71,64,54,64,67,60,57,51,65,68,75,66,66,71,67
61,66,64,65,62,66,74,67,60,62,78,80,76,76,73,65,73,63,53,62,73,73
63,69,70,72,66,70,66,72,71,67,77,66,62,59,58,61,65,75,63,71,68,70
73,67,74,73,79,75,76,77,61,60,76,80,72,69,59,71,68,79,68,63,68,66
66,68,67,72,65,71,71,71,60,67,80,69,70,65,65,62,66,76,59,67,70,75
55,54,71,74,21,25,60,27,69,64,75,58,42,37,54,20,15,73,66,77,24,35
70,68,68,70,56,54,66,67,68,70,55,61,46,49,52,66,72,65,62,69,67,70
71,71,77,82,64,63,73,71,66,64,79,65,63,63,67,68,70,77,60,77,71,75
57,44,74,68,82,76,78,62,66,67,71,71,69,65,63,54,63,74,73,63,71,71
72,71,70,72,63,69,71,73,71,71,78,67,62,60,59,69,66,75,57,68,69,64
60,58,74,68,44,48,85,60,56,48,52,42,20,23,60,38,41,70,64,69,65,55
33,21,38,54,60,52,41,50,26,29,78,67,62,47,57,23,26,74,52,49,11,13
58,70,62,73,34,41,55,54,65,77,64,58,60,59,70,45,40,74,52,67,36,39
58,40,57,43,74,57,78,53,68,58,61,56,48,63,77,13,7,52,54,53,17,6
77,77,70,71,68,66,75,75,73,72,79,64,60,55,68,76,74,75,65,71,73,73
65,67,67,61,55,57,66,74,64,69,73,70,47,39,75,67,64,66,53,60,74,63
77,59,76,78,40,34,75,63,65,26,56,47,12,6,23,56,48,55,63,65,56,57
64,59,76,72,55,52,63,66,68,63,73,67,49,42,51,58,48,73,76,73,72,51
57,63,67,82,69,67,63,70,74,64,69,63,54,50,53,59,60,74,72,70,73,70
58,57,74,71,59,60,54,59,33,39,78,57,56,56,61,60,62,76,59,53,61,74
61,66,64,74,51,55,64,63,67,67,66,62,43,35,65,61,56,73,59,67,55,61
67,80,73,76,74,69,78,81,67,68,81,69,59,63,63,67,66,73,61,65,69,63
69,55,75,73,63,64,70,66,61,75,69,74,48,48,66,64,68,71,60,67,65,70
77,63,68,70,66,70,80,79,60,57,47,77,62,66,62,57,69,75,62,56,74,76
46,47,65,68,41,48,52,45,54,47,79,60,49,52,45,31,36,71,63,66,26,35
