"Iteration #"	"Inertia"	"Number of features"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	22	10.1690034383671	10.1690034383671	21	21	21
2	1	22	15.3850752375921	15.3850752375921	11	11	11
3	1	22	15.3850752375921	12.7830618470999	9	11	11
4	1	22	17.2200879358852	17.2200879358852	13	9	9
5	1	22	17.2200879358852	9.67202473636163	11	9	9
6	1	22	17.2200879358852	13.7325921580673	20	9	20
7	1	22	22.6224389087996	22.6224389087996	7	7	7
8	1	22	22.6224389087996	20.5925249135559	10	7	7
9	1	22	22.6224389087996	17.2526815013293	9	7	7
10	1	22	22.6224389087996	22.5423238233535	13	7	7
11	1	22	22.6224389087996	13.5139813931807	19	7	19
12	1	22	22.6224389087996	11.684598386477	21	7	21
13	1	22	22.6224389087996	-1e+21	10	7	9
14	1	22	27.0154129196449	27.0154129196449	9	9	9
15	1	22	28.9416009486671	28.9416009486671	9	9	9
16	1	22	28.9416009486671	25.8388599058454	8	9	8
17	1	22	28.9416009486671	27.4209455799822	9	9	9
18	1	22	28.9416009486671	25.6377105498084	10	9	10
19	1	22	28.9416009486671	26.6700507051836	9	9	9
20	1	22	31.3540610595589	31.3540610595589	9	9	9
21	1	22	31.3540610595589	25.6455108520475	9	9	9
22	1	22	31.3540610595589	27.7969660925866	10	9	9
23	1	22	31.3540610595589	30.2259970340462	9	9	9
24	1	22	31.3540610595589	21.1854540824934	12	9	12
25	1	22	31.3540610595589	23.7356219791619	9	9	9
26	1	22	31.3540610595589	-1e+21	11	9	8
27	1	22	31.3540610595589	30.0449039366748	9	9	9
28	1	22	31.3540610595589	30.851372691219	10	9	10
29	1	22	32.1296998406707	32.1296998406707	10	10	10
30	1	22	32.1296998406707	30.3752225541822	9	10	9
31	1	22	32.1296998406707	31.7514438986872	11	10	9
32	1	22	32.1296998406707	25.6570669868029	10	10	10
33	1	22	32.1296998406707	26.2625350150092	10	10	10
34	1	22	32.1296998406707	30.074568839863	9	10	9
35	1	22	32.1296998406707	-1e+21	15	10	10
36	1	22	32.1296998406707	22.3916710443539	9	10	8
37	1	22	32.1296998406707	28.6463002854274	10	10	9
38	1	22	32.1296998406707	21.9974818494335	11	10	9
39	1	22	32.1296998406707	21.8846121178984	11	10	11
40	1	22	32.1296998406707	21.5392764797531	12	10	12
41	1	22	32.1296998406707	-1e+21	9	10	10
42	1	22	32.1296998406707	22.2162182164979	12	10	9
43	1	22	32.1296998406707	22.6557259491431	12	10	12
44	1	22	32.1296998406707	24.0211249181104	11	10	11
45	1	22	32.1296998406707	20.2247982519636	14	10	14
46	1	22	32.1296998406707	24.5901903395183	11	10	11
47	1	22	32.1296998406707	-1e+21	16	10	10
48	1	22	32.1296998406707	30.5188022011537	10	10	10
49	1	22	32.1296998406707	25.7190265509703	10	10	10
50	1	22	32.1296998406707	25.7295151848959	10	10	10
51	1	22	32.1296998406707	26.1648481583929	10	10	10
52	1	22	33.1267225545787	33.1267225545787	10	10	10
53	1	22	33.1267225545787	29.2113698768653	10	10	10
54	1	22	33.1267225545787	25.9710756626011	10	10	10
55	1	22	33.1267225545787	25.1939305335968	10	10	10
56	1	22	33.1267225545787	30.6719417781241	10	10	10
