"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V18","V23","V25","V26","V27","V28","V29","V31","V34","V35","V38","V40","V41","V42","V44","V45"
67,68,73,78,65,63,67,60,63,62,62,76,79,70,70,68,67,67,63,61,76,74,77,76,59,68
75,74,71,71,62,58,70,64,71,68,70,73,72,66,60,63,66,64,64,62,68,69,66,64,57,52
83,64,66,67,67,74,74,72,64,68,71,73,69,63,57,63,53,60,69,64,69,68,54,65,43,42
72,66,65,65,64,61,71,78,73,69,72,71,65,64,60,73,69,69,61,63,68,71,72,65,58,60
62,60,69,61,63,63,70,68,70,65,74,73,75,76,67,74,69,71,54,54,58,72,73,71,49,42
68,63,67,67,65,72,74,72,70,71,75,69,67,64,59,67,65,70,63,61,70,77,71,77,68,59
80,76,77,76,67,68,71,76,69,66,61,75,66,58,62,69,66,40,67,58,62,59,45,53,54,55
68,63,62,58,60,57,69,78,59,53,72,77,49,53,44,76,74,66,52,52,74,77,74,66,59,56
77,61,71,69,70,66,57,55,67,67,62,76,71,63,44,22,25,18,57,58,41,19,16,68,56,65
69,68,73,74,62,67,74,73,67,65,66,71,69,40,38,55,59,67,65,67,76,74,73,64,53,45
65,69,70,71,56,63,63,70,44,51,58,65,48,58,43,64,62,70,71,57,68,62,59,59,53,55
65,63,73,75,67,61,76,65,62,62,62,72,50,39,36,51,51,43,56,54,66,49,43,43,41,43
71,73,65,80,62,67,65,77,66,68,67,78,77,60,59,61,61,46,67,65,62,62,60,61,43,56
64,75,52,46,59,54,79,78,61,68,67,78,32,40,43,66,78,49,31,27,51,60,56,41,33,22
62,54,65,65,24,31,79,66,53,54,73,78,47,27,34,56,78,68,60,60,55,68,71,31,27,18
57,43,62,50,43,57,61,44,44,24,30,72,71,42,44,67,74,19,65,66,57,27,12,41,42,49
67,65,61,61,60,62,75,74,68,68,72,75,70,67,63,66,67,66,64,66,70,75,66,71,57,63
62,54,73,68,72,71,76,76,62,52,73,59,55,72,65,68,70,66,61,51,60,74,68,73,56,52
67,59,54,48,63,67,77,78,71,61,77,67,50,39,33,54,50,50,38,43,80,61,48,63,37,36
65,56,67,58,76,79,70,71,59,50,71,65,62,63,70,66,55,52,59,58,54,57,52,71,59,65
71,56,75,74,61,69,73,73,65,63,70,81,60,39,39,72,72,64,56,55,70,57,63,41,34,40
73,59,76,61,67,52,66,46,70,59,68,66,58,30,14,54,41,41,77,57,74,58,47,40,28,19
77,69,77,79,60,59,65,68,57,54,63,71,63,43,38,64,49,42,62,60,59,55,43,41,39,26
66,65,72,74,59,61,67,65,59,58,64,59,72,54,45,66,64,60,58,57,74,75,74,70,63,61
69,80,67,67,62,61,65,67,62,71,65,69,72,51,39,57,50,63,59,56,65,66,67,67,54,54
74,67,69,75,59,57,70,68,70,62,71,72,66,60,57,68,62,38,71,60,66,70,50,45,36,35
66,70,78,75,69,64,70,66,66,69,61,69,63,51,50,54,43,49,67,67,76,65,69,69,58,56
79,58,73,78,67,65,74,71,64,54,69,64,67,60,57,58,51,68,66,63,66,71,67,71,62,60
61,66,64,65,62,66,74,67,60,62,75,78,80,76,76,69,73,73,53,58,62,73,73,67,58,61
63,69,70,72,66,70,66,72,71,67,69,77,66,62,59,62,58,65,63,67,71,68,70,74,56,60
