"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V18","V23","V25","V26","V27","V28","V29","V31","V34","V35","V38","V40","V41","V42","V44","V45"
59,52,70,67,73,66,72,61,58,52,67,66,74,63,64,56,54,54,65,67,62,72,62,74,64,67
72,62,69,67,78,82,74,65,69,63,72,78,79,74,69,69,70,69,62,65,63,69,73,67,56,58
71,62,70,64,67,64,79,65,70,69,73,74,47,53,37,77,68,59,60,60,66,64,55,61,51,46
69,71,70,78,61,63,67,65,59,59,60,66,74,64,60,57,54,73,62,64,66,72,73,68,59,63
70,66,61,66,61,58,69,69,72,68,74,77,70,41,37,39,40,46,65,66,70,70,64,60,49,41
57,69,68,75,69,74,73,71,57,61,60,70,71,65,63,69,55,68,63,64,69,79,77,72,61,65
69,66,62,75,67,71,72,76,69,70,71,67,69,65,57,69,65,65,63,64,72,69,68,70,63,59
61,60,60,62,64,72,68,67,74,68,74,62,60,66,65,68,59,59,55,56,66,60,58,60,49,52
65,62,67,68,65,67,71,71,64,56,67,76,78,53,47,48,36,65,60,60,74,77,79,68,59,56
74,73,72,79,66,61,76,66,65,64,62,70,57,52,36,69,49,65,58,60,73,62,67,60,53,46
70,69,60,62,58,60,71,77,69,69,76,74,60,54,44,68,69,68,61,59,64,64,76,64,54,49
67,66,65,77,66,70,72,72,72,67,74,70,73,70,70,62,51,68,75,68,69,65,61,73,64,67
76,69,78,73,68,67,75,70,77,70,76,78,76,66,76,65,67,57,50,62,47,75,65,74,51,48
70,69,67,66,68,60,76,77,70,67,77,65,67,59,52,56,50,61,67,59,73,74,68,77,65,62
78,73,68,74,68,69,63,74,68,67,66,71,62,64,66,65,67,62,61,61,68,71,62,69,61,59
67,51,73,65,69,56,72,63,64,56,68,69,59,64,55,65,60,60,58,51,71,74,60,76,62,56
70,54,66,66,76,46,74,58,68,52,73,57,54,58,30,69,41,59,62,55,65,65,44,73,51,28
63,63,69,72,67,62,65,57,68,53,61,67,68,57,55,61,53,60,73,66,75,77,67,78,64,58
62,56,66,57,74,75,68,59,65,59,66,74,63,62,72,62,66,61,59,59,73,76,67,77,62,58
80,74,82,77,74,74,73,77,64,61,66,75,75,59,64,63,69,66,62,62,67,74,71,66,59,62
63,58,66,55,56,58,69,74,44,48,58,74,72,77,75,70,71,67,60,59,65,70,69,71,58,61
70,65,65,62,68,67,77,74,62,61,71,78,70,67,65,67,70,48,65,73,75,73,72,73,65,64
61,63,58,62,56,60,67,75,61,57,73,84,71,69,69,69,71,43,56,61,70,69,70,65,65,62
70,64,52,58,75,89,70,72,26,30,39,52,72,23,46,8,31,20,61,70,40,31,30,57,41,57
75,71,54,51,53,50,68,69,46,55,73,59,73,54,60,55,66,41,58,63,33,64,54,36,45,52
77,61,62,68,62,58,72,68,77,71,77,76,68,56,53,57,54,70,65,70,67,71,67,60,53,57
75,72,75,79,72,68,79,77,69,66,69,68,65,58,54,68,60,66,63,66,72,73,61,52,34,37
78,76,71,72,65,71,75,74,70,64,65,80,66,59,44,62,63,59,59,60,77,62,67,44,44,30
69,68,75,74,78,72,75,72,61,57,68,67,78,64,68,62,62,63,66,67,62,64,59,74,63,67
72,66,75,67,61,59,64,63,61,67,69,75,67,68,71,70,68,47,63,75,64,56,52,69,59,73
64,64,70,75,70,71,74,71,59,60,69,60,66,69,71,62,63,65,52,51,61,64,65,71,57,63
