"V6","V7","V8","V9","V10","V11","V18","V23","V27","V28","V29","V34","V44","Class"
73,66,72,61,58,52,67,66,64,56,54,65,64,"1"
78,82,74,65,69,63,72,78,69,69,70,62,56,"1"
67,64,79,65,70,69,73,74,37,77,68,60,51,"1"
61,63,67,65,59,59,60,66,60,57,54,62,59,"1"
61,58,69,69,72,68,74,77,37,39,40,65,49,"1"
69,74,73,71,57,61,60,70,63,69,55,63,61,"1"
67,71,72,76,69,70,71,67,57,69,65,63,63,"1"
64,72,68,67,74,68,74,62,65,68,59,55,49,"1"
65,67,71,71,64,56,67,76,47,48,36,60,59,"1"
66,61,76,66,65,64,62,70,36,69,49,58,53,"1"
58,60,71,77,69,69,76,74,44,68,69,61,54,"1"
66,70,72,72,72,67,74,70,70,62,51,75,64,"1"
68,67,75,70,77,70,76,78,76,65,67,50,51,"1"
68,60,76,77,70,67,77,65,52,56,50,67,65,"1"
68,69,63,74,68,67,66,71,66,65,67,61,61,"1"
69,56,72,63,64,56,68,69,55,65,60,58,62,"1"
76,46,74,58,68,52,73,57,30,69,41,62,51,"1"
67,62,65,57,68,53,61,67,55,61,53,73,64,"1"
74,75,68,59,65,59,66,74,72,62,66,59,62,"1"
74,74,73,77,64,61,66,75,64,63,69,62,59,"1"
56,58,69,74,44,48,58,74,75,70,71,60,58,"1"
68,67,77,74,62,61,71,78,65,67,70,65,65,"1"
56,60,67,75,61,57,73,84,69,69,71,56,65,"1"
75,89,70,72,26,30,39,52,46,8,31,61,41,"1"
53,50,68,69,46,55,73,59,60,55,66,58,45,"1"
62,58,72,68,77,71,77,76,53,57,54,65,53,"1"
72,68,79,77,69,66,69,68,54,68,60,63,34,"1"
65,71,75,74,70,64,65,80,44,62,63,59,44,"1"
78,72,75,72,61,57,68,67,68,62,62,66,63,"1"
61,59,64,63,61,67,69,75,71,70,68,63,59,"1"
70,71,74,71,59,60,69,60,71,62,63,52,57,"1"
72,63,79,61,57,49,54,78,37,57,57,75,32,"1"
69,62,78,70,72,71,76,71,26,66,59,56,11,"1"
69,67,74,81,67,73,74,78,38,65,73,61,24,"1"
67,75,76,83,70,74,69,80,59,59,56,65,53,"1"
71,68,67,68,69,75,70,78,72,63,61,61,55,"1"
71,69,64,61,68,67,71,82,47,67,64,58,52,"1"
56,59,73,76,54,48,60,79,14,58,50,49,15,"1"
63,73,68,78,64,71,61,74,44,52,54,65,49,"1"
63,64,77,73,75,72,73,73,59,62,44,64,45,"1"
59,58,67,74,60,66,64,77,58,58,67,61,66,"0"
65,70,73,77,69,70,76,73,67,58,68,69,64,"0"
69,59,78,73,66,65,71,73,65,69,66,59,69,"0"
67,75,75,75,67,66,76,75,68,75,69,63,58,"0"
74,76,76,81,65,68,67,67,64,64,61,70,65,"0"
76,72,78,75,67,64,67,82,60,64,60,59,42,"0"
60,69,76,76,68,69,67,81,69,73,70,74,62,"0"
77,69,77,69,64,75,70,79,66,61,65,59,63,"0"
67,66,67,70,65,64,65,76,65,65,63,63,65,"0"
76,74,69,56,68,78,71,78,60,67,67,67,54,"0"
72,70,75,78,61,66,75,78,70,72,79,65,58,"0"
71,72,72,75,61,65,63,72,56,52,52,65,63,"0"
63,62,67,67,73,74,65,80,62,69,67,66,55,"0"
62,68,65,66,65,64,64,74,59,68,59,65,62,"0"
62,70,65,74,65,67,74,73,64,79,68,59,51,"0"
67,73,74,72,60,65,69,76,64,63,60,61,52,"0"
68,67,75,72,67,68,66,80,72,67,67,61,60,"0"
69,68,74,75,77,77,67,77,58,60,67,66,61,"0"
63,71,77,82,61,63,72,78,69,77,74,58,65,"0"
63,68,72,73,61,59,70,68,66,70,78,65,60,"0"
69,70,74,81,66,70,70,79,58,67,64,62,63,"0"
64,68,72,74,53,57,63,71,57,54,57,62,61,"0"
70,67,69,73,68,75,66,72,61,57,62,58,60,"0"
72,74,67,69,64,67,72,78,71,67,64,62,53,"0"
69,70,73,72,61,62,71,78,64,68,71,58,66,"0"
73,76,68,71,62,62,71,66,70,63,60,67,62,"0"
65,65,76,73,67,66,74,78,66,69,68,59,57,"0"
68,71,69,70,64,56,76,76,73,58,68,65,57,"0"
70,69,74,77,69,71,68,80,62,57,65,63,61,"0"
49,70,66,71,57,56,63,76,77,51,62,70,62,"0"
76,68,76,69,67,64,74,75,63,64,64,66,59,"0"
65,72,72,74,64,69,65,78,67,62,61,65,59,"0"
65,63,70,70,57,57,65,73,68,60,58,64,71,"0"
68,66,72,70,66,69,73,81,70,74,82,60,54,"0"
73,70,76,73,66,56,69,77,64,64,66,63,65,"0"
67,71,71,78,63,67,67,77,61,62,58,64,56,"0"
66,68,68,70,56,62,67,75,79,75,70,56,56,"0"
77,77,74,70,65,62,66,75,71,62,61,64,67,"0"
47,74,76,74,67,66,68,77,48,42,69,63,58,"0"
69,69,75,72,63,62,70,72,63,60,57,65,59,"0"
