"Iteration #"	"Inertia"	"Number of features"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	26	5.44847283356432	5.44847283356432	23	23	23
2	1	26	12.2543500904586	12.2543500904586	10	12	12
3	1	26	12.809330392319	12.809330392319	15	10	10
4	1	26	12.809330392319	5.56621524478151	16	10	10
5	1	26	12.809330392319	7.60762368831591	18	10	10
6	1	26	12.809330392319	5.15444794922344	18	10	10
7	1	26	12.809330392319	7.50230923842018	23	10	23
8	1	26	12.809330392319	2.89036308962069	25	10	25
9	1	26	12.809330392319	-1e+21	16	10	10
10	1	26	12.809330392319	12.5648449809388	13	10	13
11	1	26	12.8765034433794	12.8765034433794	16	12	12
12	1	26	12.8765034433794	11.5698162832843	14	12	14
13	1	26	12.8765034433794	12.0519250241119	13	12	13
14	1	26	13.084202740973	13.084202740973	14	15	15
15	1	26	13.084202740973	8.72310730770764	13	15	13
16	1	26	13.084202740973	10.7760766178604	14	15	14
17	1	26	14.2910630966308	14.2910630966308	13	13	13
18	1	26	14.2910630966308	8.77486555767944	12	13	12
19	1	26	14.2910630966308	10.7587008529406	15	13	15
20	1	26	14.2910630966308	9.20345461696768	14	13	14
21	1	26	14.2910630966308	10.3705104251955	15	13	15
22	1	26	14.2910630966308	12.1552868627681	13	13	13
23	1	26	18.311019306573	18.311019306573	13	13	13
24	1	26	18.311019306573	14.5588711331338	13	13	13
25	1	26	18.311019306573	9.34068543772278	15	13	15
26	1	26	18.311019306573	12.8971168550556	13	13	15
27	1	26	18.311019306573	16.8412200939447	13	13	13
28	1	26	18.311019306573	16.8535309457203	13	13	13
29	1	26	18.311019306573	-1e+21	18	13	13
30	1	26	18.311019306573	14.1978660942959	13	13	13
31	1	26	18.311019306573	8.75878484850326	16	13	16
32	1	26	18.311019306573	11.2080423294516	16	13	16
33	1	26	18.311019306573	12.5667851959423	17	13	17
34	1	26	18.311019306573	9.90513772723386	17	13	17
35	1	26	18.311019306573	-1e+21	16	13	13
36	1	26	18.311019306573	13.8358953443635	18	13	13
37	1	26	18.311019306573	13.6632380602842	17	13	17
38	1	26	18.311019306573	13.6430947339887	18	13	18
39	1	26	18.311019306573	13.202064658045	17	13	17
40	1	26	18.311019306573	11.9390499088505	17	13	17
41	1	26	18.311019306573	-1e+21	20	13	17
42	1	26	18.311019306573	10.9814378684828	12	13	11
43	1	26	18.311019306573	13.8109607009289	18	13	12
44	1	26	18.311019306573	8.41231085006873	13	13	13
45	1	26	18.311019306573	10.7020778706963	17	13	17
46	1	26	18.311019306573	12.3433489709204	16	13	16
47	1	26	18.311019306573	-1e+21	17	13	13
48	1	26	18.311019306573	17.1946305567168	15	13	15
49	1	26	18.311019306573	11.9336552001297	15	13	15
50	1	26	18.311019306573	12.3233449393271	15	13	15
51	1	26	18.311019306573	12.7909916360226	14	13	14
52	1	26	18.311019306573	10.7563598821591	16	13	16
53	1	26	18.311019306573	-1e+21	15	13	13
54	1	26	18.311019306573	11.5768055528862	15	13	15
55	1	26	18.311019306573	10.4031398319995	17	13	17
56	1	26	18.311019306573	14.4206703606236	15	13	15
57	1	26	18.311019306573	11.8443438252937	18	13	18
58	1	26	18.311019306573	12.7179685639985	15	13	15
59	1	26	18.311019306573	-1e+21	22	13	16
60	1	26	18.311019306573	11.7078817168382	16	13	16
61	1	26	18.311019306573	14.1597369963828	15	13	15
62	1	26	18.311019306573	11.63804931003	15	13	15
