"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V14","V15","V17","V21","V23","V25","V26","V27","V29","V30","V31","V33","V34","V35","V38","V40","V41","V42","V43","V44","V45"
59,52,70,67,73,66,72,61,58,52,72,70,77,65,57,66,74,63,64,54,67,54,74,65,67,62,72,62,74,74,64,67
72,62,69,67,78,82,74,65,69,63,70,72,74,71,65,78,79,74,69,70,71,69,70,62,65,63,69,73,67,71,56,58
71,62,70,64,67,64,79,65,70,69,72,68,65,61,74,74,47,53,37,68,72,59,68,60,60,66,64,55,61,41,51,46
69,71,70,78,61,63,67,65,59,59,66,71,75,58,59,66,74,64,60,54,70,73,76,62,64,66,72,73,68,68,59,63
70,66,61,66,61,58,69,69,72,68,62,71,71,59,69,77,70,41,37,40,58,46,73,65,66,70,70,64,60,55,49,41
57,69,68,75,69,74,73,71,57,61,72,73,69,58,62,70,71,65,63,55,61,68,74,63,64,69,79,77,72,70,61,65
69,66,62,75,67,71,72,76,69,70,66,71,80,64,61,67,69,65,57,65,68,65,73,63,64,72,69,68,70,73,63,59
61,60,60,62,64,72,68,67,74,68,76,74,71,74,66,62,60,66,65,59,64,59,65,55,56,66,60,58,60,67,49,52
65,62,67,68,65,67,71,71,64,56,73,68,69,57,66,76,78,53,47,36,68,65,73,60,60,74,77,79,68,70,59,56
74,73,72,79,66,61,76,66,65,64,78,62,57,36,63,70,57,52,36,49,55,65,73,58,60,73,62,67,60,56,53,46
70,69,60,62,58,60,71,77,69,69,73,68,70,65,64,74,60,54,44,69,68,68,73,61,59,64,64,76,64,61,54,49
67,66,65,77,66,70,72,72,72,67,76,73,76,71,61,70,73,70,70,51,70,68,77,75,68,69,65,61,73,73,64,67
76,69,78,73,68,67,75,70,77,70,79,79,75,71,79,78,76,66,76,67,67,57,75,50,62,47,75,65,74,70,51,48
70,69,67,66,68,60,76,77,70,67,71,79,79,64,54,65,67,59,52,50,67,61,72,67,59,73,74,68,77,69,65,62
78,73,68,74,68,69,63,74,68,67,73,66,71,67,66,71,62,64,66,67,66,62,75,61,61,68,71,62,69,67,61,59
67,51,73,65,69,56,72,63,64,56,68,70,62,58,59,69,59,64,55,60,70,60,65,58,51,71,74,60,76,65,62,56
70,54,66,66,76,46,74,58,68,52,81,67,58,32,51,57,54,58,30,41,59,59,73,62,55,65,65,44,73,36,51,28
63,63,69,72,67,62,65,57,68,53,68,73,78,58,61,67,68,57,55,53,66,60,77,73,66,75,77,67,78,68,64,58
62,56,66,57,74,75,68,59,65,59,74,71,65,69,72,74,63,62,72,66,66,61,68,59,59,73,76,67,77,71,62,58
80,74,82,77,74,74,73,77,64,61,73,73,72,66,61,75,75,59,64,69,66,66,77,62,62,67,74,71,66,71,59,62
63,58,66,55,56,58,69,74,44,48,63,76,67,73,63,74,72,77,75,71,71,67,73,60,59,65,70,69,71,70,58,61
70,65,65,62,68,67,77,74,62,61,66,69,74,62,70,78,70,67,65,70,49,48,71,65,73,75,73,72,73,70,65,64
61,63,58,62,56,60,67,75,61,57,64,56,59,62,75,84,71,69,69,71,49,43,64,56,61,70,69,70,65,68,65,62
70,64,52,58,75,89,70,72,26,30,46,54,59,40,17,52,72,23,46,31,17,20,72,61,70,40,31,30,57,67,41,57
75,71,54,51,53,50,68,69,46,55,11,43,48,60,45,59,73,54,60,66,54,41,52,58,63,33,64,54,36,46,45,52
77,61,62,68,62,58,72,68,77,71,76,72,75,57,58,76,68,56,53,54,69,70,79,65,70,67,71,67,60,60,53,57
75,72,75,79,72,68,79,77,69,66,73,67,73,58,65,68,65,58,54,60,67,66,78,63,66,72,73,61,52,44,34,37
78,76,71,72,65,71,75,74,70,64,65,65,73,57,73,80,66,59,44,63,62,59,74,59,60,77,62,67,44,42,44,30
69,68,75,74,78,72,75,72,61,57,72,75,72,68,66,67,78,64,68,62,64,63,77,66,67,62,64,59,74,75,63,67
72,66,75,67,61,59,64,63,61,67,75,66,48,56,68,75,67,68,71,68,48,47,79,63,75,64,56,52,69,83,59,73
64,64,70,75,70,71,74,71,59,60,62,70,66,72,63,60,66,69,71,63,67,65,58,52,51,61,64,65,71,73,57,63
72,63,68,62,72,63,79,61,57,49,76,55,57,37,56,78,55,35,37,57,41,35,70,75,72,63,53,43,38,35,32,26
79,78,66,63,69,62,78,70,72,71,73,75,65,62,68,71,48,23,26,59,66,66,74,56,58,66,70,74,34,33,11,12
66,81,75,72,69,67,74,81,67,73,76,69,64,57,62,78,50,37,38,73,61,61,73,61,63,60,46,58,35,37,24,20
65,66,71,72,67,75,76,83,70,74,70,70,68,71,73,80,68,57,59,56,62,68,73,65,61,66,63,65,65,67,53,42
71,75,76,74,71,68,67,68,69,75,75,59,58,69,72,78,72,69,72,61,59,70,75,61,66,59,64,60,72,61,55,63
70,66,66,68,71,69,64,61,68,67,50,73,71,63,81,82,71,52,47,64,66,67,75,58,62,71,70,71,67,64,52,53
