"V2","V6","V10","V11","V12","V25","V29","V31","V33","V44","Class"
59,73,58,52,72,74,54,54,74,64,"1"
72,78,69,63,70,79,70,69,70,56,"1"
71,67,70,69,72,47,68,59,68,51,"1"
69,61,59,59,66,74,54,73,76,59,"1"
70,61,72,68,62,70,40,46,73,49,"1"
57,69,57,61,72,71,55,68,74,61,"1"
69,67,69,70,66,69,65,65,73,63,"1"
61,64,74,68,76,60,59,59,65,49,"1"
65,65,64,56,73,78,36,65,73,59,"1"
74,66,65,64,78,57,49,65,73,53,"1"
70,58,69,69,73,60,69,68,73,54,"1"
67,66,72,67,76,73,51,68,77,64,"1"
76,68,77,70,79,76,67,57,75,51,"1"
70,68,70,67,71,67,50,61,72,65,"1"
78,68,68,67,73,62,67,62,75,61,"1"
67,69,64,56,68,59,60,60,65,62,"1"
70,76,68,52,81,54,41,59,73,51,"1"
63,67,68,53,68,68,53,60,77,64,"1"
62,74,65,59,74,63,66,61,68,62,"1"
80,74,64,61,73,75,69,66,77,59,"1"
63,56,44,48,63,72,71,67,73,58,"1"
70,68,62,61,66,70,70,48,71,65,"1"
61,56,61,57,64,71,71,43,64,65,"1"
70,75,26,30,46,72,31,20,72,41,"1"
75,53,46,55,11,73,66,41,52,45,"1"
77,62,77,71,76,68,54,70,79,53,"1"
75,72,69,66,73,65,60,66,78,34,"1"
78,65,70,64,65,66,63,59,74,44,"1"
69,78,61,57,72,78,62,63,77,63,"1"
72,61,61,67,75,67,68,47,79,59,"1"
64,70,59,60,62,66,63,65,58,57,"1"
72,72,57,49,76,55,57,35,70,32,"1"
79,69,72,71,73,48,59,66,74,11,"1"
66,69,67,73,76,50,73,61,73,24,"1"
65,67,70,74,70,68,56,68,73,53,"1"
71,71,69,75,75,72,61,70,75,55,"1"
70,71,68,67,50,71,64,67,75,52,"1"
73,56,54,48,75,53,50,71,54,15,"1"
68,63,64,71,73,72,54,56,81,49,"1"
68,63,75,72,80,69,44,59,74,45,"1"
62,59,60,66,68,73,67,69,76,66,"0"
62,65,69,70,69,74,68,69,79,64,"0"
59,69,66,65,77,79,66,65,71,69,"0"
75,67,67,66,74,68,69,74,76,58,"0"
77,74,65,68,66,69,61,68,75,65,"0"
68,76,67,64,75,68,60,56,73,42,"0"
76,60,68,69,78,68,70,65,76,62,"0"
61,77,64,75,71,65,65,68,71,63,"0"
67,67,65,64,75,81,63,67,80,65,"0"
71,76,68,78,71,68,67,74,79,54,"0"
64,72,61,66,69,81,79,75,73,58,"0"
76,71,61,65,67,73,52,68,78,63,"0"
74,63,73,74,75,73,67,69,75,55,"0"
65,62,65,64,74,69,59,69,79,62,"0"
59,62,65,67,75,68,68,75,77,51,"0"
76,67,60,65,73,75,60,71,79,52,"0"
71,68,67,68,72,75,67,65,78,60,"0"
80,69,77,77,76,67,67,63,75,61,"0"
68,63,61,63,61,77,74,63,70,65,"0"
67,63,61,59,59,75,78,69,76,60,"0"
72,69,66,70,73,68,64,68,74,63,"0"
62,64,53,57,71,74,57,64,72,61,"0"
69,70,68,75,75,62,62,73,74,60,"0"
59,72,64,67,64,71,64,71,74,53,"0"
66,69,61,62,68,70,71,71,74,66,"0"
62,73,62,62,63,76,60,72,77,62,"0"
71,65,67,66,69,74,68,68,74,57,"0"
63,68,64,56,70,76,68,75,75,57,"0"
74,70,69,71,73,74,65,65,76,61,"0"
69,49,57,56,64,80,62,68,77,62,"0"
70,76,67,64,69,69,64,61,68,59,"0"
65,65,64,69,71,76,61,76,78,59,"0"
64,65,57,57,64,76,58,66,76,71,"0"
70,68,66,69,74,75,82,72,74,54,"0"
72,73,66,56,72,79,66,68,75,65,"0"
70,67,63,67,73,72,58,69,75,56,"0"
59,66,56,62,77,72,70,77,69,56,"0"
67,77,65,62,74,64,61,69,76,67,"0"
68,47,67,66,71,60,69,69,79,58,"0"
66,69,63,62,68,73,57,68,75,59,"0"
