"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	12	100	77.8461560430946	44.4978868482652	44.4978868482652	3	12	240
2	1	12	100	77.8461560430946	44.4978868482652	39.5863959445289	11	12	12
3	1	10	100	73.4620193274538	47.9752792812398	47.9752792812398	10	10	10
4	1	10	100	73.4620193274538	47.9752792812398	47.9752792812398	10	10	20
5	1	10	100	73.4620193274538	47.9752792812398	47.9752792812398	4	10	20
6	1	7	100	72.8919723738921	48.9952271814128	48.9952271814128	9	9	9
7	1	7	100	72.8919723738921	48.9952271814128	48.9952271814128	9	9	9
8	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	1	3	3
9	1	3	100	62.8682495755449	55.3909181075761	47.9752792812398	9	3	9
10	1	3	100	62.8682495755449	55.3909181075761	48.9952271814128	7	3	9
11	1	3	100	62.8682495755449	55.3909181075761	48.9952271814128	9	3	18
12	1	3	100	62.8682495755449	55.3909181075761	48.9952271814128	6	3	18
13	1	3	100	62.8682495755449	55.3909181075761	48.3184165361418	9	3	9
14	1	3	100	62.8682495755449	55.3909181075761	48.9952271814128	8	3	9
15	1	3	100	62.8682495755449	55.3909181075761	48.3184165361418	8	3	9
16	1	3	100	62.8682495755449	55.3909181075761	50.2186603236858	9	3	7
17	1	3	100	62.8682495755449	55.3909181075761	48.4491354903902	7	3	8
18	1	3	100	62.8682495755449	55.3909181075761	48.9952271814128	9	3	9
19	1	3	100	62.8682495755449	55.3909181075761	48.9952271814128	8	3	9
20	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	4	3	3
21	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	3
22	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	5	3	6
23	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	6
24	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	6
25	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	6
26	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	9
27	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	9
28	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	12
29	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	12
30	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	4	3	15
31	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	12
32	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	15
33	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	18
34	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	18
35	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	21
36	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	12
37	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	21
38	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	21
39	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	21
40	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	24
41	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	21
42	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	18
43	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	24
44	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	24
45	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	27
46	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	24
47	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	30
48	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	30
49	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	30
50	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	30
51	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	24
52	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	5	3	30
53	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	21
54	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	24
55	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	24
56	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	21
57	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	21
58	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	27
59	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	24
60	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	30
61	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	18
62	1	3	100	62.8682495755449	55.3909181075761	55.3909181075761	3	3	24
