"var1","var2","var3","var187","var246","var255","var509","var742","var819","var842","var846","var1003","Class"
0.7733437,-2.438405,-0.4825622,-3.426515,1.604747,-1.514582,-1.844528,0.7311171,-2.108664,1.553629,-3.803169,-3.231455,"2"
-0.07817778,-2.415754,0.4127717,-2.361274,0.7924947,-1.701005,-1.699363,0.3808308,-3.272804,1.732505,-3.083471,-2.294617,"2"
-0.08446916,-1.649739,-0.2413075,-2.259526,1.552741,-1.256319,-1.478848,-0.2871489,-2.7678,1.454747,-2.285728,-2.154165,"2"
0.965614,-2.380547,0.6252965,-2.271086,1.135844,-1.657578,-1.197991,-0.8278221,-0.9197969,1.037233,-1.082345,-2.219163,"2"
0.0756639,-1.728785,0.8526265,-2.000261,1.259143,-2.291645,-1.974001,-0.1772146,-0.4663304,0.7275969,-1.577455,-1.539912,"2"
0.4588163,-2.875286,0.1358412,-2.877061,1.799992,-1.348613,-2.438405,-0.1532677,-0.9051035,0.294608,-2.118598,-1.576487,"2"
0.06709774,-1.624044,0.5196268,-3.068303,1.705112,-2.130314,-2.015153,0.4154814,-0.4111311,0.8826926,-1.702102,-1.835085,"2"
0.09412766,-1.795165,0.7027509,-2.106196,1.490587,-2.161086,-2.051048,-0.210721,-0.5118261,0.7069021,-1.623537,-1.607939,"2"
0.1083161,-1.944911,0.6000994,-2.868219,1.002175,-3.123566,-2.250942,-0.08045112,-0.8481649,0.9130856,-1.195674,-2.034851,"2"
-0.970747,-2.347582,-0.3920061,-2.312635,0.7878208,-1.88783,-1.658628,0.5140803,-2.304587,0.8567955,-2.275943,-1.633731,"2"
1.163932,-2.686778,0.04497337,-2.272056,1.086978,-1.4503,-1.639897,-1.697723,-0.3458763,1.282599,-0.951141,-2.429283,"2"
0.5036197,-2.645075,0.04008572,-1.67451,0.8735085,-1.615959,-0.7520483,-0.06999337,0.4515214,1.199965,-0.4560218,-2.251892,"2"
1.187203,-2.154165,-0.1136167,-0.1631073,-0.2596779,-1.664951,0.7812038,-1.31565,-0.04730127,1.269423,-1.140372,-1.708154,"2"
0.005982072,-1.657578,-0.843505,-1.118407,0.5122846,-0.9142927,1.321249,-0.4974159,-0.02572815,1.844194,-1.662311,-1.063342,"2"
0.9968748,-1.440962,-0.996146,-1.331049,1.61917,-1.103223,-0.7164158,-1.253864,-0.8991878,0.8010594,-1.296819,-1.515492,"2"
0.7221233,-2.497384,-0.1030299,-1.354021,1.729654,-1.398772,-0.3218595,-0.9856408,0.4281394,0.6905939,-1.063052,-1.535259,"2"
0.6142663,-2.092324,-0.001701447,-0.6375233,1.403397,-1.796973,0.07445791,-0.7164158,0.01449445,1.429402,-0.9560716,-0.9996723,"2"
0.9984236,-1.712025,-0.7003732,-1.46404,1.547711,-1.033387,-0.954512,-0.6343124,-0.6038551,1.425203,-1.275469,-1.700457,"2"
0.856753,-2.535779,-0.2725964,-1.547403,2.11031,-0.9867132,-0.5223923,-1.609938,0.3524862,0.5362594,-1.938637,-1.799993,"2"
0.6570536,-1.378326,-0.5542552,1.561549,1.90163,-1.942117,2.021137,-1.526476,-0.463783,0.7614131,0.3391116,-1.782602,"2"
1.285507,-2.248097,-0.5390536,-1.000488,0.6409587,-2.081043,0.05078817,-2.000261,-1.653912,0.4746802,-1.178955,-2.051826,"2"
0.7659329,-2.337177,-0.6947485,-0.9152912,1.580009,-1.92278,-0.4298603,-0.9085706,0.2359413,0.8518162,-0.7843857,-1.833832,"2"
0.8382427,-1.833207,-0.5471439,-1.804237,2.000804,-2.199126,-0.5466255,-0.4574428,-0.2347102,0.3205606,-1.321256,-1.79276,"2"
0.313496,-1.797576,-0.3166304,0.952854,0.9265183,-0.6254885,2.244628,0.7069021,-1.992164,0.5513532,-1.688481,0.4948182,"4"
0.7376424,-1.056703,-1.782602,1.508954,-0.5535592,-1.399582,1.814515,-0.6337468,0.1292723,0.6714127,-1.288079,-0.2699731,"4"
1.026257,-2.640859,-0.05013607,2.424643,-0.7145751,-2.869981,2.52704,-0.148268,0.2158369,0.5858403,-1.240983,-0.065072,"4"
0.2157563,-1.085597,-1.546463,1.727772,-1.102319,-2.628315,1.804643,0.09984533,0.3882511,0.4617194,-1.84833,0.3565549,"4"
-0.1619309,-1.025827,0.03101405,1.627533,-1.383099,-1.169893,1.583238,0.6004835,0.3789158,0.03207989,-1.064211,0.625457,"4"
0.3710117,-1.813392,-0.953214,1.824936,-0.9560716,-2.066723,1.823258,-0.1505904,-0.02613866,0.6450068,-2.407946,0.1150237,"4"
-0.03180031,-0.0790432,-0.573588,1.428467,-0.6126738,-1.643512,1.435323,-0.3578185,0.05211795,1.147879,-2.042531,-0.7940731,"4"
0.3067491,-1.259133,-1.851509,0.6173994,-0.6066026,-1.820776,2.431638,-0.8787541,-0.3329584,0.5704144,-1.258781,0.02058663,"4"
0.4324316,-2.700082,-0.4021207,1.319299,-0.671973,-2.079442,2.109413,-0.08088473,-0.463942,0.8067437,-3.162968,0.01410012,"4"
0.8929402,0.02683665,-0.06262036,1.106481,-0.7402388,-0.4480073,1.508224,-0.3875761,-1.297185,1.330359,-1.549755,0.2568878,"4"
0.1084059,0.3235317,-1.338266,1.927281,-0.5573933,-1.639382,1.978004,-0.1624013,0.05467756,1.169537,-0.451928,1.026006,"4"
0.7331368,-0.09025299,-0.5436932,1.622631,-0.3582476,-1.102319,1.609358,-0.8400244,-0.4732088,1.134751,-1.903809,0.991324,"4"
0.2394105,-0.7642136,-0.06785067,1.958319,-0.5987465,-0.409172,1.871525,0.0593061,-1.992164,1.595582,-1.857899,0.1935911,"4"
1.242309,0.2511477,-1.092133,2.078541,-0.7612119,-0.5020311,2.098202,-0.8027389,0.5149172,1.344508,0.0280042,0.5558372,"4"
0.6202539,-0.6462636,-0.3844867,2.401244,0.02936461,-1.284099,2.288831,-0.4531858,0.2506031,-0.02767957,-0.69555,0.2175278,"4"
1.131821,-0.9390477,-0.932166,2.438339,0.006776984,-2.45807,2.489181,-1.098112,0.9934,0.8162936,-0.6062358,-0.8622761,"4"
0.7066555,-0.5974734,-0.9975008,-0.244878,0.06803241,-2.046394,2.943639,-1.789761,-0.6115672,1.617446,-1.049536,-1.010052,"4"
0.8025844,0.6547701,-1.223156,2.393339,-0.7857012,-1.580365,2.367577,-1.205975,-0.6857744,0.979303,-0.3821393,0.2216224,"4"
0.2442003,-0.2523149,-1.508688,1.680884,-0.9670578,0.1019246,2.051839,-0.2838229,1.201199,1.028833,-0.596202,-0.5161732,"4"
0.7079373,-0.347149,0.0429637,2.950269,-1.549755,-0.4621942,3.486154,-1.388296,-1.385894,1.95229,-1.50914,-0.3339355,"4"
0.2240232,-1.495217,0.3864182,1.350356,-1.439695,1.002065,1.544686,1.386819,-2.935578,-0.5773216,-2.667868,-1.975442,"3"
0.216884,-2.058072,1.061257,1.046933,-1.00076,0.3848542,1.315308,1.125157,-2.344449,-1.572624,-1.996572,-1.679324,"3"
-0.2429637,-1.949818,0.1507449,2.185332,-1.597015,1.125092,2.093936,1.336579,-2.391416,-1.551169,-1.931022,-1.453717,"3"
-0.4193105,-2.552329,0.3343271,-0.9602426,-0.7254638,0.1819882,-1.398367,1.227943,-3.442019,0.5313927,-2.273998,-1.595535,"3"
-0.5261085,-2.068304,-1.134136,-1.729348,-1.404458,-0.1059162,-1.543182,1.254761,-2.933697,-1.29244,-2.217325,-0.9142927,"3"
-0.3273936,-2.504701,-0.4480073,-3.310443,0.1365394,0.2428677,-2.782235,0.824877,-4.635629,-0.565986,-2.62279,-1.831332,"3"
0.2965427,-2.065144,1.160742,-0.4812668,0.1908683,0.3490358,0.585005,0.6265799,-3.272804,-0.8896488,-1.563509,-1.805453,"3"
-0.5878867,-1.637837,-0.3465832,0.4262476,-1.056128,0.09157594,1.653991,1.055879,-4.615221,-0.2134408,-2.350725,-1.317142,"3"
-0.061131,-2.056507,0.6195006,-1.629641,-0.2851519,-0.5940261,-1.00076,1.362079,-2.7774,-1.064791,-2.271086,-1.669188,"3"
0.2040015,-2.043302,0.2456875,0.488764,-1.041571,0.2268168,1.07606,1.103202,-3.798694,-1.280854,-2.409057,-1.099613,"3"
0.2424755,-2.859455,0.2603623,-1.104429,-0.01227503,0.2302383,-0.03946874,0.857941,-3.79424,-1.550226,-3.402198,-2.204551,"3"
0.5337997,-1.529241,0.436059,-4.000854,-1.050966,0.293341,-3.557851,1.782567,-0.9296293,-0.9390477,-2.229335,-1.137249,"3"
