"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	12	100	50.9847596557119	61.3676535351193	61.3676535351193	3	12	240
2	1	4	97.2477669404877	45.5939267023667	62.2922401959243	62.2922401959243	3	4	4
3	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	8
4	1	5	96.8724624323724	28.0646732005422	74.2153695409624	66.7695172166864	8	8	6
5	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	6	8	8
6	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	9	8	8
7	1	5	96.8724624323724	28.0646732005422	74.2153695409624	70.3031092492612	8	8	7
8	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	8
9	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	8
10	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	7	8	8
11	1	5	96.8724624323724	28.0646732005422	74.2153695409624	68.6171072192078	8	8	8
12	1	5	96.8724624323724	28.0646732005422	74.2153695409624	65.6955354433229	8	8	8
13	1	5	96.8724624323724	28.0646732005422	74.2153695409624	65.6955354433229	8	8	8
14	1	5	96.8724624323724	28.0646732005422	74.2153695409624	65.6955354433229	8	8	8
15	1	5	96.8724624323724	28.0646732005422	74.2153695409624	65.6955354433229	8	8	8
16	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	8
17	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	8
18	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	8
19	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	16
20	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	5	8	16
21	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	8
22	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	16
23	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	40
24	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	24
25	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	32
26	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	16
27	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	32
28	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	32
29	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	32
30	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	9	8	32
31	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	7	8	24
32	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	16
33	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	24
34	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	24
35	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	7	8	24
36	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	16
37	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	24
38	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	24
39	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	32
40	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	40
41	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	32
42	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	32
43	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	40
44	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	7	8	48
45	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	40
46	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	48
47	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	48
48	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	48
49	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	48
50	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	48
51	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	48
52	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	56
53	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	48
54	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	56
55	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	56
56	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	40
57	1	5	96.8724624323724	28.0646732005422	74.2153695409624	74.2153695409624	8	8	56
